Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000b38a738bf38ab38d8412c2866883c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a2,ce36,ce2a,ce2f,ce29,2,0,0,00000,00000
1,1,0,0000000000000b38ab38c338af38dc412c28668c3c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a3,ce37,ce2b,ce30,ce2a,2,0,0,00000,00000
2,2,0,0000000000000b38af38c738b338e0412c2866903c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a4,ce38,ce2c,ce31,ce2b,2,0,0,00000,00000
3,3,0,0000000000000b38b338cb38b738e4412c2866943c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a5,ce39,ce2d,ce32,ce2c,2,0,0,00000,00000
4,4,0,0000000000000b38b738cf38bb38e8412c2866983c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a6,ce3a,ce2e,ce33,ce2d,2,0,0,00000,00000
5,5,0,0000000000000b38bb38d338bf38ec412c28669c3c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a7,ce3b,ce2f,ce34,ce2e,2,0,0,00000,00000
6,6,0,0000000000000b38bf38d738c338f0412c2866a03c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a8,ce3c,ce30,ce35,ce2f,2,0,0,00000,00000
7,7,0,0000000000000b38c338db38c738f4412c2866a43c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19a9,ce3d,ce31,ce36,ce30,2,0,0,00000,00000
8,8,0,0000000000000b38c738df38cb38f8412c2866a83c3c3c3c00000000000000000000000000000003c3c3c3c03c3c3c3c0000000000000000003c003c003c003fffc3fffffffeb03c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,3c3c3c3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,f,f,f,000f,000f,000f,000f,0000,0000,0000,0000,0f,0f,0f,0f,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,0f,0f,0f,0f,104b0a19aa,ce3e,ce32,ce37,ce31,2,0,0,00000,00000
