Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,b50aff63,2a0000000000000000000000000000000000000000f2f0f0f000000000000100000000000000000000000000000b5d750bc4a2850bcdaeb50bc251450bc5179bba1b0435189b043422db50aff63,b043422d,b0435189,5179bba1,251450bc,daeb50bc,4a2850bc,b5d750bc,0,0000,0000,0000,0000,0000,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
1,1,0,ad1aff63,2b0000000000000000000000000000000000000000f2f0f0f000000000000100000000000000000000000000000b5d550bc4a2a50bcdaea50bc251550bc517abba1b043518ab043422bad1aff63,b043422b,b043518a,517abba1,251550bc,daea50bc,4a2a50bc,b5d550bc,0,0000,0000,0000,0000,0000,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
2,2,0,0f1aff6c,3b0000000000000000000000000000000000000000f2f0f0f000000000000100000000000d00000000000000000b5d350bc4a2c50bcdae950bc251650bc516bbba1b043518bb04342290f1aff6c,b0434229,b043518b,516bbba1,251650bc,dae950bc,4a2c50bc,b5d350bc,0,0000,0000,0000,0000,000d,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
3,3,0,9f1aff6c,3a0000000000000000000000000000000000000000f2f0f0f000000000000100000000000400000000000000000b5d150bc4a2e50bcdae850bc251750bc517cbba1b043518cb04342389f1aff6c,b0434238,b043518c,517cbba1,251750bc,dae850bc,4a2e50bc,b5d150bc,0,0000,0000,0000,0000,0004,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
4,4,0,751aff6c,2a0000000000000000000000000000000000000000f2f0f0f000000000000100000000000d00000000000000000b5cf50bc4a3050bcdae750bc251850bc516dbba1b043518db0434225751aff6c,b0434225,b043518d,516dbba1,251850bc,dae750bc,4a3050bc,b5cf50bc,0,0000,0000,0000,0000,000d,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
5,5,0,a51aff6c,2a0000000000000000000000000000000000000000f2f0f0f800000000000100000000000d00000000000000080b5cd50bc4a3250bcdae650bc251950bc516ebba1b043518eb0434223a51aff6c,b0434223,b043518e,516ebba1,251950bc,dae650bc,4a3250bc,b5cd50bc,0,0008,0000,0000,0000,000d,0000,0000,0001,00,00,00,00,f8,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
6,6,0,a51aff6c,2b0000000000000000000000000000000000000000f6f0f0f800000000000f00000000000d00000000000000080b5cb50bc4a3450bcdae550bc251a50bc41c8bba1b0435190b043423ea51aff6c,b043423e,b0435190,41c8bba1,251a50bc,dae550bc,4a3450bc,b5cb50bc,0,0008,0000,0000,0000,000d,0000,0000,000f,00,00,00,00,f8,f0,f0,f6,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
7,7,0,051aff6c,3b0000000000000000000000000000000000000000f2f0f0f000000000000100000000000500000000000000000b5c950bc4a3650bcdae450bc251b50bc51c5bba1b043518fb04342e0051aff6c,b04342e0,b043518f,51c5bba1,251b50bc,dae450bc,4a3650bc,b5c950bc,0,0000,0000,0000,0000,0005,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
8,8,0,650aff63,3a0000000000000000000000000000000000000000f2f0f0f000000000000100000000000800000000000000000b5c750bc4a3850bcdae350bc251c50bc51d1bba1b0435191b04342e2650aff63,b04342e2,b0435191,51d1bba1,251c50bc,dae350bc,4a3850bc,b5c750bc,0,0000,0000,0000,0000,0008,0000,0000,0001,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
