Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
490,490,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000874a5b6f7503cb6f7503c7eab503c8154b7a2db925028503c7ead503c8152503c,8152503c,8152503c,7ead503c,7ead503c,5028503c,5028503c,b7a2db92,b7a2db92,503c8154,503c8154,503c7eab,503c7eab,503cb6f7,503cb6f7,74a5b6f7,74a5b6f7,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
491,491,0,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008963b652e503c652e503c7eaa503c815533ee969fe2be503c7eac503c8153503c,8153503c,8153503c,7eac503c,7eac503c,e2be503c,e2be503c,33ee969f,33ee969f,503c8155,503c8155,503c7eaa,503c7eaa,503c652e,503c652e,963b652e,963b652e,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
492,492,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000897c5ee5c503cee5c503c7ea9503c8156429f22fc2c7d503c7eab503c8154503c,8154503c,8154503c,7eab503c,7eab503c,2c7d503c,2c7d503c,429f22fc,429f22fc,503c8156,503c8156,503c7ea9,503c7ea9,503cee5c,503cee5c,97c5ee5c,97c5ee5c,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
493,493,0,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008063c6b5a503c6b5a503c7ea8503c8157981d2464da82503c7eaa503c8155503c,8155503c,8155503c,7eaa503c,7eaa503c,da82503c,da82503c,981d2464,981d2464,503c8157,503c8157,503c7ea8,503c7ea8,503c6b5a,503c6b5a,063c6b5a,063c6b5a,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
494,494,0,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008d926115c503c115c503c7ea7503c815802b61004986c503c7ea9503c8156503c,8156503c,8156503c,7ea9503c,7ea9503c,986c503c,986c503c,02b61004,02b61004,503c8158,503c8158,503c7ea7,503c7ea7,503c115c,503c115c,d926115c,d926115c,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
495,495,0,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008cbf1d823503cd823503c7ea6503c81599a9e6c08f706503c7ea8503c8157503c,8157503c,8157503c,7ea8503c,7ea8503c,f706503c,f706503c,9a9e6c08,9a9e6c08,503c8159,503c8159,503c7ea6,503c7ea6,503cd823,503cd823,cbf1d823,cbf1d823,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
496,496,0,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000086fea8c00503c8c00503c7ea5503c815a83a7ab831950503c7ea7503c8158503c,8158503c,8158503c,7ea7503c,7ea7503c,1950503c,1950503c,83a7ab83,83a7ab83,503c815a,503c815a,503c7ea5,503c7ea5,503c8c00,503c8c00,6fea8c00,6fea8c00,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
497,497,0,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008e282c339503cc339503c7ea4503c815bcabd0d6743a4503c7ea6503c8159503c,8159503c,8159503c,7ea6503c,7ea6503c,43a4503c,43a4503c,cabd0d67,cabd0d67,503c815b,503c815b,503c7ea4,503c7ea4,503cc339,503cc339,e282c339,e282c339,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
498,498,0,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000084dacbb74503cbb74503c7ea3503c815ca8e17fcf625c503c7ea5503c815a503c,815a503c,815a503c,7ea5503c,7ea5503c,625c503c,625c503c,a8e17fcf,a8e17fcf,503c815c,503c815c,503c7ea3,503c7ea3,503cbb74,503cbb74,4dacbb74,4dacbb74,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
499,499,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000875f9c30d503cc30d503c7ea2503c815d15deb7673abc503c7ea4503c815b503c,815b503c,815b503c,7ea4503c,7ea4503c,3abc503c,3abc503c,15deb767,15deb767,503c815d,503c815d,503c7ea2,503c7ea2,503cc30d,503cc30d,75f9c30d,75f9c30d,8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
