Sample in Buffer,Sample in Window,TRIGGER,ila_data[777:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
523,523,0,21cc955db9ff08d4409c44b48f80000000000000000000000000000000000000003c3c3c3c00000000000000008000000000000000000000003ffc03fffc3fc03b9bbbd36efbbbd36efbbbd36efbbbd36efae1095995d8d82a564fd89760216bc6a,0216bc6a,64fd8976,5d8d82a5,ae109599,bbbd36ef,bbbd36ef,bbbd36ef,bbbd36ef,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0000,0002,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d23e,2351,e7fc,5576,8732
524,524,0,21cc955fba0108d4409c44b49180000000000000000000000000000000000000003c3c7fbc0000000000000000c002c00000000001400040003ffc03fffc3fc03b9ab26cc24e19ecd24a066cd249b26f42fc87e88e2effb5f8a52f7749c97475300,97475300,52f7749c,effb5f8a,c87e88e2,9b26f42f,a066cd24,e19ecd24,ab26cc24,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0001,0005,0000,0000,000b,0003,0000,00,00,00,00,f0,fe,f1,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d246,2351,e804,557e,8732
525,525,0,21cc95617a02c8d4409c44b49340000000000000000000000000000000000000003c3c7d7c00000000000000000001000000000000000000003ffc03fffc3fc03b9008a2c1c008a2c1c008a2c1c008a2c1c6870d277df1cfa6b1c3cdb667d409be3,7d409be3,1c3cdb66,df1cfa6b,6870d277,008a2c1c,008a2c1c,008a2c1c,008a2c1c,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0004,0000,0000,00,00,00,00,f0,f5,f1,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d24d,2351,e80b,5585,8732
526,526,0,21cc95637a04c8d4409c44b49540000000000000000000000000000000000000003c3c3c3c00000000000000020000800000000000000000003ffc03fffc3fc02a9304d3ee3304d3ee3304d3ee3304d3ee361d714ce76745d4215d0fa12890904d4,890904d4,15d0fa12,76745d42,61d714ce,304d3ee3,304d3ee3,304d3ee3,304d3ee3,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0002,0008,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d255,2351,e813,558d,8732
527,527,0,21cc95657a06c8d4409c44b49740000000000000000000000000000000000000003c3cbc3c00000000000000038000000000000000800000003ffc03fffc3fc02a97b1201a17b1201a17b1201a17b1201a1a2972c3ff0ed44e253f8cabd149d1b23,149d1b23,53f8cabd,f0ed44e2,a2972c3f,7b1201a1,7b1201a1,7b1201a1,7b1201a1,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0002,0000,0000,0000,000e,0000,00,00,00,00,f0,f0,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d25d,2351,e81b,5595,8732
528,528,0,21cc95677a08c8d4409c44b49940000000000000000000000000000000000000003c3c3c7c00000000000000000001000000000000000000003ffc03fffc3fc03b9df4332cbdf4332cbdf4332cbdf4332cbc8c073f0f81d4d90d26ed8371713c138,1713c138,d26ed837,f81d4d90,c8c073f0,df4332cb,df4332cb,df4332cb,df4332cb,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0004,0000,0000,00,00,00,00,f0,f1,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d265,2351,e823,559d,8732
529,529,0,21cc95697a0ac8d4409c44b49b40000000000000000000000000000000000000003c3e3e3c00000000000000010000800000000000000000003ffc03fffc3fc03b9eb994cfba18bc93be09bcd1bff99ac1bc75db4145a6609a73c013753d024feb4,d024feb4,3c013753,5a6609a7,c75db414,ff99ac1b,e09bcd1b,a18bc93b,eb994cfb,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0002,0004,0000,00,00,00,00,f0,f8,f8,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d26d,2351,e82b,55a5,8732
530,530,0,21cc956b3a0c88d4409c44b49d00000000000000000000000000000000000000003c3e7c3c0000000000000003c000800000000002400000003ffc03fffc3fc03b9309e8f88309e8f88309e8f88309e8f889b1c5cff44e01092163783d3cbc0144f,cbc0144f,163783d3,44e01092,9b1c5cff,309e8f88,309e8f88,309e8f88,309e8f88,9,1,1,0,1,1,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0009,0000,0000,0002,000f,0000,00,00,00,00,f0,f0,f9,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d274,2351,e832,55ac,8732
531,531,0,21cc956d3a0e88d4409c44b49f00000000000000000000000000000000000000003c3c3cbc00000000000000000002000000000000000000003ffc03fffc3fc02a9687631b3687631b3687631b3687631b37ba4f7ec2880a4b0f1dd63ca3597cb77,3597cb77,f1dd63ca,2880a4b0,7ba4f7ec,687631b3,687631b3,687631b3,687631b3,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,0000,0000,0000,0000,0008,0000,0000,00,00,00,00,f0,f2,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d27c,2351,e83a,55b4,8732
532,532,0,21cc956f3a1088d4409c44b4a100000000000000000000000000000000000000003c3c7fbc00000000000000000003000000000000000300003ffc03fffc3fc02a95fd40df35fd40df35fd40df35fd40df3bd13907fd80ac57291372b425aa70ec7,5aa70ec7,91372b42,d80ac572,bd13907f,5fd40df3,5fd40df3,5fd40df3,5fd40df3,9,0,1,0,1,0,1,f,f,0,f,f,f,f,0,0,f,f,f,0000,000c,0000,0000,0000,000c,0000,0000,00,00,00,00,f0,fe,f1,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,027112d284,2351,e842,55bc,8732
