Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[325:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],tx8b10ben_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
627,627,0,8664bc3c,0083ffc03fffffffb08667bc3c8667bc3c8667bc3c8667bc3c8664bc3c8664bc3c418113d58664bc3c,418113d5,8664bc3c,8664bc3c,8667bc3c,8667bc3c,8667bc3c,8667bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
628,628,0,8665bc3c,0083ffc03fffffffb08668bc3c8668bc3c8668bc3c8668bc3c8665bc3c8665bc3c4181b8728665bc3c,4181b872,8665bc3c,8665bc3c,8668bc3c,8668bc3c,8668bc3c,8668bc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
629,629,0,8666bc3c,0083ffc03ffffffeb08669bc3c8669bc3c8669bc3c8669bc3c8666bc3c8666bc3c0181b8738666bc3c,0181b873,8666bc3c,8666bc3c,8669bc3c,8669bc3c,8669bc3c,8669bc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
630,630,0,8667bc3c,0083ffc03ffffffea0866abc3c866abc3c866abc3c866abc3c8667bc3c8667bc3c0181b8638667bc3c,0181b863,8667bc3c,8667bc3c,866abc3c,866abc3c,866abc3c,866abc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
631,631,0,8668bc3c,0083ffc03fffffffa0866bbc3c866bbc3c866bbc3c866bbc3c8668bc3c8668bc3c418113d38668bc3c,418113d3,8668bc3c,8668bc3c,866bbc3c,866bbc3c,866bbc3c,866bbc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
632,632,0,8669bc3c,0083ffc03fffffffb0866cbc3c866cbc3c866cbc3c866cbc3c8669bc3c8669bc3c418113c48669bc3c,418113c4,8669bc3c,8669bc3c,866cbc3c,866cbc3c,866cbc3c,866cbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
633,633,0,866abc3c,0083ffc03fffffffb0866dbc3c866dbc3c866dbc3c866dbc3c866abc3c866abc3c0181b875866abc3c,0181b875,866abc3c,866abc3c,866dbc3c,866dbc3c,866dbc3c,866dbc3c,0,1,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
634,634,0,866bbc3c,0083ffc03ffffffeb0866ebc3c866ebc3c866ebc3c866ebc3c866bbc3c866bbc3c4181b865866bbc3c,4181b865,866bbc3c,866bbc3c,866ebc3c,866ebc3c,866ebc3c,866ebc3c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
635,635,0,866cbc3c,0083ffc03ffffffea0866fbc3c866fbc3c866fbc3c866fbc3c866cbc3c866cbc3c0181b876866cbc3c,0181b876,866cbc3c,866cbc3c,866fbc3c,866fbc3c,866fbc3c,866fbc3c,0,0,1,0,1,0,1,f,f,f,f,f,f,f,0,0,f,f,f
636,636,0,866dbc3c,0083ffc03fffffffa08670bc3c8670bc3c8670bc3c8670bc3c866dbc3c866dbc3c4181b866866dbc3c,4181b866,866dbc3c,866dbc3c,8670bc3c,8670bc3c,8670bc3c,8670bc3c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,0,0,f,f,f
