Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,bd0d503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085df503c7a20503c42ef503cbd10503c85e5503c7a1a503c42f2503cbd0d503c,42f2503c,7a1a503c,85e5503c,bd10503c,42ef503c,7a20503c,85df503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
1,1,0,bd0e503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085dd503c7a22503c42ee503cbd11503c85e3503c7a1c503c42f1503cbd0e503c,42f1503c,7a1c503c,85e3503c,bd11503c,42ee503c,7a22503c,85dd503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
2,2,0,bd0f503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085db503c7a24503c42ed503cbd12503c85e1503c7a1e503c42f0503cbd0f503c,42f0503c,7a1e503c,85e1503c,bd12503c,42ed503c,7a24503c,85db503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
3,3,0,bd10503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085d9503c7a26503c42ec503cbd13503c85df503c7a20503c42ef503cbd10503c,42ef503c,7a20503c,85df503c,bd13503c,42ec503c,7a26503c,85d9503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
4,4,0,bd11503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085d7503c7a28503c42eb503cbd14503c85dd503c7a22503c42ee503cbd11503c,42ee503c,7a22503c,85dd503c,bd14503c,42eb503c,7a28503c,85d7503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
5,5,0,bd12503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085d5503c7a2a503c42ea503cbd15503c85db503c7a24503c42ed503cbd12503c,42ed503c,7a24503c,85db503c,bd15503c,42ea503c,7a2a503c,85d5503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
6,6,0,bd13503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085d3503c7a2c503c42e9503cbd16503c85d9503c7a26503c42ec503cbd13503c,42ec503c,7a26503c,85d9503c,bd16503c,42e9503c,7a2c503c,85d3503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
7,7,0,bd14503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085d1503c7a2e503c42e8503cbd17503c85d7503c7a28503c42eb503cbd14503c,42eb503c,7a28503c,85d7503c,bd17503c,42e8503c,7a2e503c,85d1503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
8,8,0,bd15503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085cf503c7a30503c42e7503cbd18503c85d5503c7a2a503c42ea503cbd15503c,42ea503c,7a2a503c,85d5503c,bd18503c,42e7503c,7a30503c,85cf503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
9,9,0,bd16503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085cd503c7a32503c42e6503cbd19503c85d3503c7a2c503c42e9503cbd16503c,42e9503c,7a2c503c,85d3503c,bd19503c,42e6503c,7a32503c,85cd503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
10,10,0,bd17503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085cb503c7a34503c42e5503cbd1a503c85d1503c7a2e503c42e8503cbd17503c,42e8503c,7a2e503c,85d1503c,bd1a503c,42e5503c,7a34503c,85cb503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
11,11,0,bd18503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000085c9503c7a36503c42e4503cbd1b503c85cf503c7a30503c42e7503cbd18503c,42e7503c,7a30503c,85cf503c,bd1b503c,42e4503c,7a36503c,85c9503c,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
