Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
791,791,0,00000000000000000000000000000000000000003c3dbc3d0000000000008001c000000100000003800000017fc003c0000000000000000000000000033333c003ffffc00000160b0582e2ba0da2d503c25d2503ced16503c12e9503cf06741749c42b39cac420003b7da76fd,b7da76fd,ac420003,9c42b39c,f0674174,12e9503c,ed16503c,25d2503c,da2d503c,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0005,0000,000e,0000,0004,0000,0007,0002,00,00,00,00,f4,f0,f6,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
792,792,0,00000000000000000000000000000000000000003d3cbc3c0000000000018000c001400000010002800000003fc003c0000000000000000000000000033333c003ffffc00000160b0582f22a0da2b503c25d4503ced15503c12ea503cf07689149cbfb39c9a8c001d3765653d,3765653d,9a8c001d,9cbfb39c,f0768914,12ea503c,ed15503c,25d4503c,da2b503c,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,000a,0004,0000,0005,0003,0006,00,00,00,00,f0,f0,f2,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
793,793,0,00000000000000000000000000000000000000003d3cbc3c0000000000018000c001400000010002800000003fc003c0000000000000000000000000033333c003ffffc00000160b0582fa2b0da29503c25d6503ced14503c12eb503cf076e9149ca2b39c968c001d376565bd,376565bd,968c001d,9ca2b39c,f076e914,12eb503c,ed14503c,25d6503c,da29503c,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,000a,0004,0000,0005,0003,0006,00,00,00,00,f0,f0,f2,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
794,794,0,00000000000000000000000000000000000000003c3cbc3c0000000000018000c001400000000000800000007fc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb0da27503c25d8503ced13503c12ec503cf06f6914873ab39ca28c001d376562fd,376562fd,a28c001d,873ab39c,f06f6914,12ec503c,ed13503c,25d8503c,da27503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0001,0000,0002,0000,0000,0005,0003,0006,00,00,00,00,f0,f0,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
795,795,0,00000000000000000000000000000000000000003cbcbc3cc000000000008000c0014000c000800280000000ffc003c0000000000000000000000000033333c003ffffc00000160b0582e3bb0da25503c25da503ced12503c12ed503cf067a9149cbdb39c488c001d3765245d,3765245d,488c001d,9cbdb39c,f067a914,12ed503c,ed12503c,25da503c,da25503c,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0003,0000,000a,0002,0003,0005,0003,0002,00,00,00,00,f3,f0,f2,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
796,796,0,00000000000000000000000000000000000000003d3cbc3c0000000000018000c001400000010000800000003fc003c0000000000000000000000000033333c003ffffc00000160b0582e23a0da23503c25dc503ced11503c12ee503cf03b8914872ab39cbf8c001d37656c3d,37656c3d,bf8c001d,872ab39c,f03b8914,12ee503c,ed11503c,25dc503c,da23503c,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,0002,0004,0000,0005,0003,0006,00,00,00,00,f0,f0,f2,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
797,797,0,00000000000000000000000000000000000000003d3cbc3c0000000000018000c001400000010000800000003fc003c0000000000000000000000000033333c003ffffc00000160b0582f22a0da21503c25de503ced10503c12ef503cf03be9148732b39ca08c001d37656cbd,37656cbd,a08c001d,8732b39c,f03be914,12ef503c,ed10503c,25de503c,da21503c,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0000,0002,0004,0000,0005,0003,0006,00,00,00,00,f0,f0,f2,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
798,798,0,00000000000000000000000000000000000000003c3c3c3d00000000000080004003400100000002800200013fc003c0000000000000000000000000033333c003ffffc00000160b0582fb2b0da1f503c25e0503ced0f503c12f0503cf00f69149c733b989c420003b7da61bd,b7da61bd,9c420003,9c733b98,f00f6914,12f0503c,ed0f503c,25e0503c,da1f503c,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0004,0008,000a,0000,0004,000d,0001,0002,00,00,00,00,f4,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
799,799,0,00000000000000000000000000000000000000003c3c3e3c00000000000000034003000040000002000200003fc003c0000000000000000000000000033333c003ffffc00000160b0582ebbb0da1d503c25e2503ced0e503c12f1503cf00e49149ce22b9b0c8c001d37656222,37656222,0c8c001d,9ce22b9b,f00e4914,12f1503c,ed0e503c,25e2503c,da1d503c,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0008,0008,0000,0001,000c,000d,0000,00,00,00,00,f0,f8,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
800,800,0,00000000000000000000000000000000000000003c3cbe3c0000000000000000c003000000000002800200003fc003c0000000000000000000000000033333c003ffffc00000160b0582e3bb0da1b503c25e4503ced0d503c12f2503cf00b49149cdfb39c248c001d3765633d,3765633d,248c001d,9cdfb39c,f00b4914,12f2503c,ed0d503c,25e4503c,da1b503c,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0008,000a,0000,0000,000c,0003,0000,00,00,00,00,f0,f8,f2,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
