Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1cae16a5e045281985567972a700000000000000000000000000000000000000003c3c3c3c00000000000000000000000040000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bebdad9238bdad9238bdad9238bdad92382f95cd130be5734417cae6894c522a02,4c522a02,17cae689,0be57344,2f95cd13,bdad9238,bdad9238,bdad9238,bdad9238,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0001,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5ca9c,a066,8114,5a97,72b8
1,1,0,1cae16a5e0452819c5567972a740000000000000000000000000000000000000003c3c3c3c00000000000000000000000040000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2beaa6774b1aa6774b1aa6774b1aa6774b1ded6c91c37b5b2476f6b648e3d01dfed,3d01dfed,6f6b648e,37b5b247,ded6c91c,aa6774b1,aa6774b1,aa6774b1,aa6774b1,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0001,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5ca9d,a067,8114,5a97,72b8
2,2,0,1cae16a5e045281a05567972a780000000000000000000000000000000000000003c3c3c3f0000000000000000000000028000000000000002bfc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bec50c103fc50c103fc50c103fc50c103fd533ba58f54cee96ea99dd2c6d359c66,6d359c66,ea99dd2c,f54cee96,d533ba58,c50c103f,c50c103f,c50c103f,c50c103f,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,000a,0000,0000,0000,000a,0000,0000,0000,00,00,00,00,fc,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5ca9e,a068,8114,5a97,72b8
3,3,0,1cae16a5e045281a45567972a7c0000000000000000000000000000000000000003c3c3c3fc00000000000000000000000c000000000000001ffc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2be2f95cd132f95cd132f95cd132f95cd13e286081f78a18207f143040f31c2ca41,31c2ca41,f143040f,78a18207,e286081f,2f95cd13,2f95cd13,2f95cd13,2f95cd13,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0007,0000,0000,0000,0003,0000,0000,0000,00,00,00,00,ff,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5ca9f,a069,8114,5a97,72b8
4,4,0,1cae16a5e045281a85567972a800000000000000000000000000000000000000003c3c3c3f00000000000000000000000280000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2beded6c91cded6c91cded6c91cded6c91c17cae68985f2b9a20be57344f58c8e78,f58c8e78,0be57344,85f2b9a2,17cae689,ded6c91c,ded6c91c,ded6c91c,ded6c91c,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,000a,0000,0000,0000,00,00,00,00,fc,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5caa0,a06a,8114,5a97,72b8
5,5,0,1cae16a5e045281ac5567972a840000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bed533ba58d533ba58d533ba58d533ba586f6b648e1bdad92337b5b247f1430400,f1430400,37b5b247,1bdad923,6f6b648e,d533ba58,d533ba58,d533ba58,d533ba58,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5caa1,a06b,8114,5a97,72b8
6,6,0,1cae16a5e045281b05567972a880000000000000000000000000000000000000003c3c3c3c00000000000000000000000180000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bee286081fe286081fe286081fe286081fea99dd2cfaa6774bf54cee9657ebe8b7,57ebe8b7,f54cee96,faa6774b,ea99dd2c,e286081f,e286081f,e286081f,e286081f,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0006,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5caa2,a06c,8114,5a97,72b8
7,7,0,1cae16a5e045281b45567972a8c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2be17cae68917cae68917cae68917cae689f143040f3c50c10378a18207deb5ff9e,deb5ff9e,78a18207,3c50c103,f143040f,17cae689,17cae689,17cae689,17cae689,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5caa3,a06d,8114,5a97,72b8
8,8,0,1cae16a5e045281b85567972a900000000000000000000000000000000000000003c3c3c3d00000000000000000000000000000000000000013fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2be6f6b648e6f6b648e6f6b648e6f6b648e0be57344c2f95cd185f2b9a242603f52,42603f52,85f2b9a2,c2f95cd1,0be57344,6f6b648e,6f6b648e,6f6b648e,6f6b648e,e,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0004,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f4,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1559e5caa4,a06e,8114,5a97,72b8
