Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
803,803,0,32c4266588ed2ae9458ecee86d00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582f22af858950c2858950c2858950c2858950c272b5eefeb18e566fb18e566f72b5eefe,72b5eefe,b18e566f,b18e566f,72b5eefe,858950c2,858950c2,858950c2,858950c2,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1b4,aba5,23b4,9996,cb10
804,804,0,32c4266588ed2ae9458ecee86f00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003016000582f22aff819b43df819b43df819b43df819b43d21031c561d6e40071d6e400721031c7e,21031c7e,1d6e4007,1d6e4007,21031c56,f819b43d,f819b43d,f819b43d,f819b43d,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1bc,aba5,23b4,9996,cb10
805,805,0,32c4266588ed2ae9458ecee87100000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003016000582fb2bff17558e9f17558e9f17558e9f17558e9a08f6b5de5b0bce4e5b0bce4a08f6b5d,a08f6b5d,e5b0bce4,e5b0bce4,a08f6b5d,f17558e9,f17558e9,f17558e9,f17558e9,f,1,1,0,1,0,1,0,0,1,1,0,1,1,1,05800160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1c4,aba5,23b4,9996,cb10
806,806,0,32c4266588ed2ae9458ecee872c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582ebbbfa25c8ca2a25c8ca2a25c8ca2a25c8ca2feefcc708f66e5008f66e500feefcc70,feefcc70,8f66e500,8f66e500,feefcc70,a25c8ca2,a25c8ca2,a25c8ca2,a25c8ca2,f,1,1,0,1,1,1,0,1,1,1,0,1,0,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1cb,aba5,23b4,9996,cb10
807,807,0,32c4266588ed2ae9458ecee874c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582e2bafff44c3a4ff44c3a4ff44c3a4ff44c3a47067f53310ca7a3510ca7a357067f533,7067f533,10ca7a35,10ca7a35,7067f533,ff44c3a4,ff44c3a4,ff44c3a4,ff44c3a4,f,0,1,0,1,1,1,0,1,0,1,0,0,0,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1d3,aba5,23b4,9996,cb10
808,808,0,32c4266588ed2ae9458ecee876c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582f22af97a9692b97a9692b97a9692b97a9692bda45e23f2f7950c32f7950c3da45e23f,da45e23f,2f7950c3,2f7950c3,da45e23f,97a9692b,97a9692b,97a9692b,97a9692b,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1db,aba5,23b4,9996,cb10
809,809,0,32c4266588ed2ae9458ecee878c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582fa2bf3a398b6e3a398b6e3a398b6e3a398b6e1206f4d8074ce4fda76444fd135ceade,135ceade,a76444fd,074ce4fd,1206f4d8,3a398b6e,3a398b6e,3a398b6e,3a398b6e,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1e3,aba5,23b4,9996,cb10
810,810,0,32c4266588ed2ae9458ecee87ac0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582ebbbf0085648a0085648a0085648a0085648a32b913d56588e7286588e72832b913d5,32b913d5,6588e728,6588e728,32b913d5,0085648a,0085648a,0085648a,0085648a,f,1,1,0,1,1,1,0,1,1,1,0,1,0,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1eb,aba5,23b4,9996,cb10
811,811,0,32c4266588ed2ae9458ecee87c80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003016000582ebbbfd24a6b69d24a6169d24a6169d24a6169b245a1c43df975013df97501b245a1c4,b245a1c4,3df97501,3df97501,b245a1c4,d24a6169,d24a6169,d24a6169,d24a6b69,f,1,1,0,1,1,1,0,1,1,1,0,1,0,1,05800160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1f2,aba5,23b4,9996,cb10
812,812,0,32c4266588ed2ae9458ecee87e80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582e2baf44c04f8844c04f8844c04f8844c04f88c3b4cf5f421ed4a5421ed4a5c3b4cf5f,c3b4cf5f,421ed4a5,421ed4a5,c3b4cf5f,44c04f88,44c04f88,44c04f88,44c04f88,f,0,1,0,1,1,1,0,1,0,1,0,0,0,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba1fa,aba5,23b4,9996,cb10
813,813,0,32c4266588ed2ae9458ecee88080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003016000582f22af5568e3735568e3735568e3735568e37318229f95326c99cc326c99cc18229f95,18229f95,326c99cc,326c99cc,18229f95,5568e373,5568e373,5568e373,5568e373,f,0,1,0,1,0,1,0,0,0,1,0,0,1,1,05800160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba202,aba5,23b4,9996,cb10
814,814,0,32c4266588ed2ae9458ecee88280000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0002016000582fb2bfceb7976dceb7976dceb7976dceb7976d72bea2f8018b44ac01aa44ac218b44ec,218b44ec,01aa44ac,018b44ac,72bea2f8,ceb7976d,ceb7976d,ceb7976d,ceb7976d,f,1,1,0,1,0,1,0,0,1,1,0,1,1,1,05800160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,163b3ba20a,aba5,23b4,9996,cb10
