Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000003f0f6f0f6f747b0f6c14a431f1f80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa0d2c650bcd2c650bcd2c650bcd2c650bc50bce57350bc470b0b50bce550bcb5b2,50bcb5b2,0b50bce5,50bc470b,50bce573,d2c650bc,d2c650bc,d2c650bc,d2c650bc,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7c7e,c3db,dd1e,c3db,c3db,f,0,0,00000,00000
1,1,0,0000000000003f0f8f0f8f749b0f8c14a431f2180000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa0e97350bce96350bce96350bce96350bc50bcf2b950bc23858550bcf250bcdad9,50bcdad9,8550bcf2,50bc2385,50bcf2b9,e96350bc,e96350bc,e96350bc,e97350bc,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7c86,c3e3,dd26,c3e3,c3e3,f,0,0,00000,00000
2,2,0,0000000000003f0faf0faf74bb0fac14a431f2380000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb2bdad50bcbdad50bcbdad50bcbdad50bc50bcf95c50bc91c2c050bcf950bced6c,50bced6c,c050bcf9,50bc91c2,50bcf95c,bdad50bc,bdad50bc,bdad50bc,bdad50bc,2,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7c8e,c3eb,dd2e,c3eb,c3eb,f,0,0,00000,00000
3,3,0,0000000000003f0fcf0fcf74d70fcc14a431f2580000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb0ded650bcded650bcded650bcded650bc50bc689e50bc7caeae50bc6850bc48e1,50bc48e1,ae50bc68,50bc7cae,50bc689e,ded650bc,ded650bc,ded650bc,ded650bc,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7c96,c3f3,dd35,c3f3,c3f3,f,0,0,00000,00000
4,4,0,0000000000003f0feb0feb74f30fe814a431f2740000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffea06f6b50bc6f6b50bc6f6b50bc6f6b50bc50bc344f50bcbe575750bc3450bc2470,50bc2470,5750bc34,50bcbe57,50bc344f,6f6b50bc,6f6b50bc,6f6b50bc,6f6b50bc,0,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7c9d,c3fa,dd3c,c3fa,c3fa,f,0,0,00000,00000
5,5,0,0000000000003f100b100b7513100814a431f2940000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa037b550bc37b550bc37b550bc37b550bc50bc9a2750bc5f2b2b50bc9a50bc9238,50bc9238,2b50bc9a,50bc5f2b,50bc9a27,37b550bc,37b550bc,37b550bc,37b550bc,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7ca5,c402,dd44,c402,c402,f,0,0,00000,00000
6,6,0,0000000000003f102b102b7533102814a431f2b40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa05b6b50bc1bda50bc1bda50bc1bda50bc50bccd1350bc2f959550bccd50bcc91c,50bcc91c,9550bccd,50bc2f95,50bccd13,1bda50bc,1bda50bc,1bda50bc,5b6b50bc,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7cad,c40a,dd4c,c40a,c40a,f,0,0,00000,00000
7,7,0,0000000000003f104b104b7553104814a431f2d40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb06c9150bc6c9150bc6c9150bc6c9150bc50bce68950bc17cac850bce650bc648e,50bc648e,c850bce6,50bc17ca,50bce689,6c9150bc,6c9150bc,6c9150bc,6c9150bc,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7cb5,c412,dd54,c412,c412,f,0,0,00000,00000
8,8,0,0000000000003f106b106b7573106814a431f2f40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb0b64850bcb64850bcb64850bcb64850bc50bcf14350bc73444450bcf150bc0be5,50bc0be5,4450bcf1,50bc7344,50bcf143,b64850bc,b64850bc,b64850bc,b64850bc,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,05290c7cbd,c41a,dd5c,c41a,c41a,f,0,0,00000,00000
