Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
882,882,0,072c2be31b000c000cc0006300000000f1b93c04f1b93c04,f1b93c04,f1b93c04,0000,0000,63,00,0,0,0,3,000c,000c,072c2be31b
883,883,0,072c2be31c000c000cc0006300000000d838f23dd838f23d,d838f23d,d838f23d,0000,0000,63,00,0,0,0,3,000c,000c,072c2be31c
884,884,0,072c2be31d000c000cc0006300000000be6009c2be6009c2,be6009c2,be6009c2,0000,0000,63,00,0,0,0,3,000c,000c,072c2be31d
885,885,0,072c2be31e000c000cc00063000000008b29fb828b29fb82,8b29fb82,8b29fb82,0000,0000,63,00,0,0,0,3,000c,000c,072c2be31e
886,886,0,072c2be31f000c000cc0006300000000d2d99d86d2d99d86,d2d99d86,d2d99d86,0000,0000,63,00,0,0,0,3,000c,000c,072c2be31f
887,887,0,072c2be320000c000cc0006300000000dbbea8e4dbbea8e4,dbbea8e4,dbbea8e4,0000,0000,63,00,0,0,0,3,000c,000c,072c2be320
888,888,0,072c2be321000c000cc00063000000002f9b41032f9b4103,2f9b4103,2f9b4103,0000,0000,63,00,0,0,0,3,000c,000c,072c2be321
889,889,0,072c2be322000c000cc00063000000000acbeb6e0acbeb6e,0acbeb6e,0acbeb6e,0000,0000,63,00,0,0,0,3,000c,000c,072c2be322
890,890,0,072c2be323000c000cc00063000000001a36b4fe1a36b4fe,1a36b4fe,1a36b4fe,0000,0000,63,00,0,0,0,3,000c,000c,072c2be323
891,891,0,072c2be324000c000cc00063000000008347cecf8347cecf,8347cecf,8347cecf,0000,0000,63,00,0,0,0,3,000c,000c,072c2be324
892,892,0,072c2be325000c000cc0006300000000f6686474f6686474,f6686474,f6686474,0000,0000,63,00,0,0,0,3,000c,000c,072c2be325
893,893,0,072c2be326000c000cc0006300000000abad4b82abad4b82,abad4b82,abad4b82,0000,0000,63,00,0,0,0,3,000c,000c,072c2be326
894,894,0,072c2be327000c000cc0006300000000c0938e86c0938e86,c0938e86,c0938e86,0000,0000,63,00,0,0,0,3,000c,000c,072c2be327
895,895,0,072c2be328000c000cc0006300000000d3bf0054d3bf0054,d3bf0054,d3bf0054,0000,0000,63,00,0,0,0,3,000c,000c,072c2be328
896,896,0,072c2be329000c000cc00063000000009b1b8fd09b1b8fd0,9b1b8fd0,9b1b8fd0,0000,0000,63,00,0,0,0,3,000c,000c,072c2be329
897,897,0,072c2be32a000c000cc00063000000001bc380ea1bc380ea,1bc380ea,1bc380ea,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32a
898,898,0,072c2be32b000c000cc0006300000000b3a20784b3a20784,b3a20784,b3a20784,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32b
899,899,0,072c2be32c000c000cc00063000000007d14dc457d14dc45,7d14dc45,7d14dc45,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32c
900,900,0,072c2be32d000c000cc0006300000000d6a4dc19d6a4dc19,d6a4dc19,d6a4dc19,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32d
901,901,0,072c2be32e000c000cc0006300000000b9c7dc32b9c7dc32,b9c7dc32,b9c7dc32,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32e
902,902,0,072c2be32f000c000cc000630000000078806c2578806c25,78806c25,78806c25,0000,0000,63,00,0,0,0,3,000c,000c,072c2be32f
903,903,0,072c2be330000c000cc0006300000000b437cf2fb437cf2f,b437cf2f,b437cf2f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be330
904,904,0,072c2be331000c000cc00063000000000ea7649a0ea7649a,0ea7649a,0ea7649a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be331
905,905,0,072c2be332000c000cc0006300000000c8463bfbc8463bfb,c8463bfb,c8463bfb,0000,0000,63,00,0,0,0,3,000c,000c,072c2be332
906,906,0,072c2be333000c000cc0006300000000c75881bdc75881bd,c75881bd,c75881bd,0000,0000,63,00,0,0,0,3,000c,000c,072c2be333
907,907,0,072c2be334000c000cc00063000000003026373a3026373a,3026373a,3026373a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be334
908,908,0,072c2be335000c000cc000630000000074ee871174ee8711,74ee8711,74ee8711,0000,0000,63,00,0,0,0,3,000c,000c,072c2be335
909,909,0,072c2be336000c000cc0006300000000a2c65406a2c65406,a2c65406,a2c65406,0000,0000,63,00,0,0,0,3,000c,000c,072c2be336
910,910,0,072c2be337000c000cc000630000000064b0b0bc64b0b0bc,64b0b0bc,64b0b0bc,0000,0000,63,00,0,0,0,3,000c,000c,072c2be337
911,911,0,072c2be338000c000cc00063000000006becacaa6becacaa,6becacaa,6becacaa,0000,0000,63,00,0,0,0,3,000c,000c,072c2be338
