Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,5b014f84,3b0000000000000000000000000000000000000000faf0f0f000000000000200000000000000020000000000000594b50bca6b450bc2ca550bcd35a50bca4019320b0434bc9b043978b5b014f84,b043978b,b0434bc9,a4019320,d35a50bc,2ca550bc,a6b450bc,594b50bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f0,f0,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
1,1,0,a4014f8a,3a0000000000000000000000000000000000000000faf0f0f800000000000200000000000000020000000000000594950bca6b650bc2ca450bcd35b50bca401932fb0434bcab0439789a4014f8a,b0439789,b0434bca,a401932f,d35b50bc,2ca450bc,a6b650bc,594950bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f8,f0,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
2,2,0,5b014f8a,2a0000000000000000000000000000000000000000f2f0f0f000000000000200000000000000020000000000000594750bca6b850bc2ca350bcd35c50bc5b019323b0434bccb04397985b014f8a,b0439798,b0434bcc,5b019323,d35c50bc,2ca350bc,a6b850bc,594750bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
3,3,0,a4014f80,2b0000000000000000000000000000000000000000faf0f0f800000000000200000000000000020000000000000594550bca6ba50bc2ca250bcd35d50bca4019322b0434bcdb0439785a4014f80,b0439785,b0434bcd,a4019322,d35d50bc,2ca250bc,a6ba50bc,594550bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f8,f0,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
4,4,0,bba14f80,3b0000000000000000000000000000000000000000faf0f0f800000000000200000000000800020000000000000594350bca6bc50bc2ca150bcd35e50bca4019322b0434bcdb0439783bba14f80,b0439783,b0434bcd,a4019322,d35e50bc,2ca150bc,a6bc50bc,594350bc,0,0000,0000,0000,0002,0008,0000,0000,0002,00,00,00,00,f8,f0,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
5,5,0,bba14f87,3b0000000000000000000000000000000000000000faf0f0f800000000000200000000000900020000000000000594150bca6be50bc2ca050bcd35f50bca4019321b0434bceb043979ebba14f87,b043979e,b0434bce,a4019321,d35f50bc,2ca050bc,a6be50bc,594150bc,0,0000,0000,0000,0002,0009,0000,0000,0002,00,00,00,00,f8,f0,f0,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
6,6,0,bba14f22,3a0000000000000000000000000000000000000000f2f0f0f900000000000200000000000800020000000000010593f50bca6c050bc2c9f50bcd36050bc5b019337b0434bd0b0439740bba14f22,b0439740,b0434bd0,5b019337,d36050bc,2c9f50bc,a6c050bc,593f50bc,0,0001,0000,0000,0002,0008,0000,0000,0002,00,00,00,00,f9,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
7,7,0,a4014f88,2a0000000000000000000000000000000000000000f2f0f0f800000000000200000000000000020000000000000593d50bca6c250bc2c9e50bcd36150bc5b019351b0434bd1b0439742a4014f88,b0439742,b0434bd1,5b019351,d36150bc,2c9e50bc,a6c250bc,593d50bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f8,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
8,8,0,5b014f86,2b0000000000000000000000000000000000000000f2f0f0f000000000000200000000000000020000000000000593b50bca6c450bc2c9d50bcd36250bc5b019352b0434bd2b04397445b014f86,b0439744,b0434bd2,5b019352,d36250bc,2c9d50bc,a6c450bc,593b50bc,0,0000,0000,0000,0002,0000,0000,0000,0002,00,00,00,00,f0,f0,f0,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
9,9,0,bba14f86,3b0000000000000000000000000000000000000000f8f0f0f800000000000400000000000100000000000000000593950bca6c650bc2c9c50bcd36350bcbba12c02b0434bd2b0439759bba14f86,b0439759,b0434bd2,bba12c02,d36350bc,2c9c50bc,a6c650bc,593950bc,0,0000,0000,0000,0000,0001,0000,0000,0004,00,00,00,00,f8,f0,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
10,10,0,bba14f90,3b0000000000000000000000000000000000000000f8f0f0f800000000000400000000000800000000000000000593750bca6c850bc2c9b50bcd36450bcbba12c18b0434bd3b0439748bba14f90,b0439748,b0434bd3,bba12c18,d36450bc,2c9b50bc,a6c850bc,593750bc,0,0000,0000,0000,0000,0008,0000,0000,0004,00,00,00,00,f8,f0,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
11,11,0,bba14f85,3a0000000000000000000000000000000000000000f8f0f0f800000000000400000000000100000000000000000593550bca6ca50bc2c9a50bcd36550bcbba12c04b0434bd4b0439755bba14f85,b0439755,b0434bd4,bba12c04,d36550bc,2c9a50bc,a6ca50bc,593550bc,0,0000,0000,0000,0000,0001,0000,0000,0004,00,00,00,00,f8,f0,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
