Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1c2f503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503c4b1b503c4b1b503c4b1b503c4b1b1c2f503c1c2f503c1c2f503c1c2f503c,1c2f503c,1c2f503c,1c2f503c,503c4b1b,503c4b1b,503c4b1b,503c4b1b,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
1,1,0,8e17503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503ca5cd503ca50d503ca58d503ca58d8e17503c8e77503c8e17503c8e17503c,8e17503c,8e77503c,8e17503c,503ca58d,503ca58d,503ca50d,503ca5cd,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
2,2,0,e573503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503cf6b6503cf6b6503cf2d6503cd2c6e573503ce573503ce573503ce573503c,e573503c,e573503c,e573503c,503cd2c6,503cf2d6,503cf6b6,503cf6b6,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
3,3,0,f2b9503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503c7b5b503c7b5b503c7b5b503c7b5bf2b9503cf2b9503cf2b9503cf2b9503c,f2b9503c,f2b9503c,f2b9503c,503c7b5b,503c7b5b,503c7b5b,503c7b5b,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
4,4,0,f95c503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503cbdad503cbdad503cbdad503cbdadf95c503cf95c503cf95c503cf95c503c,f95c503c,f95c503c,f95c503c,503cbdad,503cbdad,503cbdad,503cbdad,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
5,5,0,7cae503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503cded6503cded6503cded6503cded67cae503c7cae503c7cae503c7cae503c,7cae503c,7cae503c,7cae503c,503cded6,503cded6,503cded6,503cded6,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
6,6,0,be57503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503c6f2f503c6feb503c6f6b503c6f6bbc5f503cbe57503cbe57503cbe57503c,be57503c,be57503c,bc5f503c,503c6f6b,503c6f6b,503c6feb,503c6f2f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
7,7,0,9a27503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503cb247503cb247503c37a5503c37b59a27503c9a27503c9a27503c9a27503c,9a27503c,9a27503c,9a27503c,503c37b5,503c37a5,503cb247,503cb247,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
8,8,0,cd13503c,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f503cd923503cd923503cd923503cd923cd13503ccd13503ccd13503ccd13503c,cd13503c,cd13503c,cd13503c,503cd923,503cd923,503cd923,503cd923,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
