Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
927,927,0,2cdeeb3cb8a26f0887c894cb8800000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b0b1bdad92385f2b9ab1bdad92b1bdad925a92e2735a98f073c2bbae5381fdac5b,81fdac5b,c2bbae53,5a98f073,5a92e273,b1bdad92,b1bdad92,385f2b9a,b1bdad92,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e20,bc22,e289,acf2,b37b
928,928,0,2ce0eb3eb8a46f0a87c894cb8a00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b02c6f6b648e17cae62c6f6b642c6f6b64f67c7bbbf67c7bbbf67c7bbbf67c7bbb,f67c7bbb,f67c7bbb,f67c7bbb,f67c7bbb,2c6f6b64,2c6f6b64,8e17cae6,2c6f6b64,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e28,bc2a,e291,acfa,b383
929,929,0,2ce2ab4078a62f0c47c894cb8bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b04b1bdad92385f2b94b1bdad94b1bdad945b83e2945b83e2945b83e2945b83e29,45b83e29,45b83e29,45b83e29,45b83e29,4b1bdad9,4b1bdad9,2385f2b9,4b1bdad9,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e2f,bc31,e298,ad01,b38a
930,930,0,2ce4ab4278a82f0e47c894cb8dc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e3ba0d2c6f6b648e17caed2c6f6b6d2c6f6b6f189d74af189d74af189d74af189d74a,f189d74a,f189d74a,f189d74a,f189d74a,d2c6f6b6,d2c6f6b6,48e17cae,d2c6f6b6,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e37,bc39,e2a0,ad09,b392
931,931,0,2ce6ab4478aa2f1047c894cb8fc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582f2ba092385f2b9a278a1896385f2b92385f2bdb5a92f2db5a92f2db5a92f2db5a92f2,db5a92f2,db5a92f2,db5a92f2,db5a92f2,92385f2b,96385f2b,9a278a18,92385f2b,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e3f,bc41,e2a8,ad11,b39a
932,932,0,2ce8ab4678ac2f1247c894cb91c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b0648e17cae689e286648e17ca648e17cabbc4705ebbc4705ebbc4705e33f6705e,33f6705e,bbc4705e,bbc4705e,bbc4705e,648e17ca,648e17ca,e689e286,648e17ca,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e47,bc49,e2b0,ad19,b3a2
933,933,0,2ceaab4878ae6f1447c894cb93c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582ea2b0d92385f2b9a278a1d92385f2d92385f2293603cf293603cf293603cf293603cf,293603cf,293603cf,293603cf,293603cf,d92385f2,d92385f2,b9a278a1,d92385f2,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e4f,bc51,e2b9,ad21,b3aa
934,934,0,2cec6b4a38afef1607c894cb9580000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e3ba0b648e17cae689e28b648e17cb648e17c4a4da7144a4da7144a4da7144a4da714,4a4da714,4a4da714,4a4da714,4a4da714,b648e17c,b648e17c,ae689e28,b648e17c,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e56,bc58,e2bf,ad28,b3b1
935,935,0,2cee6b4c38b1ef1807c894cb9780000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e3ba0af923a5f2b9a278aad92385fad92381ff2738e22f2738e22f2738e22f2738e22,f2738e22,f2738e22,f2738e22,f2738e22,ad92381f,ad92385f,2b9a278a,af923a5f,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e5e,bc60,e2c7,ad30,b3b9
936,936,0,2cf06b4e38b3ef1a07c894cb9980000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582f2bb0cae689e286081fd5cae689e2cae689e25bb7cab07bbbc47c7bbbc4707bbbc470,7bbbc470,7bbbc470,7bbbc47c,5bb7cab0,cae689e2,cae689e2,86081fd5,cae689e2,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e66,bc68,e2cf,ad38,b3c1
937,937,0,2cf26b5038b5ef1c07c894cb9b80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b0f2b9a278a18207f5f2b9a278f2b9a278cf8a320ccf8a320ccf8a320ccf8a320c,cf8a320c,cf8a320c,cf8a320c,cf8a320c,f2b9a278,f2b9a278,a18207f5,f2b9a278,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e6e,bc70,e2d7,ad40,b3c9
938,938,0,2cf42b51f8b7af1dc7c894cb9d40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b07cae689e286081fd7cae689e7cae689e14fa6ca414fa6ca414fa6ca414fa6ca4,14fa6ca4,14fa6ca4,14fa6ca4,14fa6ca4,7cae689e,7cae689e,286081fd,7cae689e,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e75,bc77,e2de,ad47,b3d0
939,939,0,2cf62b53f8b9af1fc7c894cb9f40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e3ba05f2b9a278a18207f5f2b9a275f2b9a2722e6a32e22e6a32e22e6a32e22e6a32e,22e6a32e,22e6a32e,22e6a32e,22e6a32e,5f2b9a27,5f2b9a27,8a18207f,5f2b9a27,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e7d,bc7f,e2e6,ad4f,b3d8
940,940,0,2cf82b55f8bbaf21c7c894cba140000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582f2ba062866809e686081f17c2e69d5286861f705eb7cb705eb7cb705eb7cb705eb7cb,705eb7cb,705eb7cb,705eb7cb,705eb7cb,5286861f,17c2e69d,e686081f,62866809,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e85,bc87,e2ee,ad57,b3e0
941,941,0,2cfa2b57f8bdaf23c7c894cba340000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b078a18207f54cee9678a1820778a182070c3a03100c3a13100e1a0a1203cf8b32,03cf8b32,0e1a0a12,0c3a1310,0c3a0310,78a18207,78a18207,f54cee96,78a18207,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e8d,bc8f,e2f6,ad5f,b3e8
942,942,0,2cfc2b59f8bfaf25c7c894cba540000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582fa2b09e286081fd533ba59e2860819e286081a4eebc04a4eebc04a4eebc04a4eebc04,a4eebc04,a4eebc04,a4eebc04,a4eebc04,9e286081,9e286081,fd533ba5,9e286081,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e95,bc97,e2fe,ad67,b3f0
943,943,0,2cfdeb5bb8c16f2787c894cba700000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e32a0278a18207f54cee9278a1820278a18202ec3b0212ec3b0212ec3b0212ec3b021,2ec3b021,2ec3b021,2ec3b021,2ec3b021,278a1820,278a1820,7f54cee9,278a1820,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532e9c,bc9e,e305,ad6e,b3f7
944,944,0,2cffeb5db8c36f2987c894cba900000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582e3ba089e286081fd533ba89e2860889e28608cbaf0bd0cbaf0bd0cbaf0bd0cbaf0bd0,cbaf0bd0,cbaf0bd0,cbaf0bd0,cbaf0bd0,89e28608,89e28608,1fd533ba,89e28608,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532ea4,bca6,e30d,ad76,b3ff
945,945,0,2d01eb5fb8c56f2b87c894cbab00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582f2ba007f54cee9637b5b207f54cee07f54cee320c3a13320c3a13320c3a13320c3a13,320c3a13,320c3a13,320c3a13,320c3a13,07f54cee,07f54cee,9637b5b2,07f54cee,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1f22532eac,bcae,e315,ad7e,b407
