Sample in Buffer,Sample in Window,TRIGGER,ila_data[313:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3ffc03ffffffeb04be3503c4be3503c4be3503c4be3503c503c4be04be0503c4be0503c4be0503c,4be0503c,4be0503c,4be0503c,503c4be0,4be3503c,4be3503c,4be3503c,4be3503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
1,1,0,3ffc03ffffffea04be4503c4be4503c4be4503c4be4503c503c4be14be1503c4be1503c4be1503c,4be1503c,4be1503c,4be1503c,503c4be1,4be4503c,4be4503c,4be4503c,4be4503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
2,2,0,3ffc03fffffffa04be5503c4be5503c4be5503c4be5503c503c4be24be2503c4be2503c4be2503c,4be2503c,4be2503c,4be2503c,503c4be2,4be5503c,4be5503c,4be5503c,4be5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
3,3,0,3ffc03fffffffa04be6503c4be6503c4be6503c4be6503c503c4be34be3503c4be3503c4be3503c,4be3503c,4be3503c,4be3503c,503c4be3,4be6503c,4be6503c,4be6503c,4be6503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
4,4,0,3ffc03ffffffeb04be7503c4be7503c4be7503c4be7503c503c4be44be4503c4be4503c4be4503c,4be4503c,4be4503c,4be4503c,503c4be4,4be7503c,4be7503c,4be7503c,4be7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
5,5,0,3ffc03ffffffeb04be8503c4be8503c4be8503c4be8503c503c4be54be5503c4be5503c4be5503c,4be5503c,4be5503c,4be5503c,503c4be5,4be8503c,4be8503c,4be8503c,4be8503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
6,6,0,3ffc03ffffffea04be9503c4be9503c4be9503c4be9503c503c4be64be6503c4be6503c4be6503c,4be6503c,4be6503c,4be6503c,503c4be6,4be9503c,4be9503c,4be9503c,4be9503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
7,7,0,3ffc03fffffffa04bea503c4bea503c4bea503c4bea503c503c4be74be7503c4be7503c4be7503c,4be7503c,4be7503c,4be7503c,503c4be7,4bea503c,4bea503c,4bea503c,4bea503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
8,8,0,3ffc03fffffffa04beb503c4beb503c4beb503c4beb503c503c4be84be8503c4be8503c4be8503c,4be8503c,4be8503c,4be8503c,503c4be8,4beb503c,4beb503c,4beb503c,4beb503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
9,9,0,3ffc03ffffffeb04bec503c4bec503c4bec503c4bec503c503c4be94be9503c4be9503c4be9503c,4be9503c,4be9503c,4be9503c,503c4be9,4bec503c,4bec503c,4bec503c,4bec503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
10,10,0,3ffc03ffffffeb04bed503c4bed503c4bed503c4bed503c503c4bea4bea503c4bea503c4bea503c,4bea503c,4bea503c,4bea503c,503c4bea,4bed503c,4bed503c,4bed503c,4bed503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
11,11,0,3ffc03ffffffea04bee503c4bee503c4bee503c4bee503c503c4beb4beb503c4beb503c4beb503c,4beb503c,4beb503c,4beb503c,503c4beb,4bee503c,4bee503c,4bee503c,4bee503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
12,12,0,3ffc03fffffffa04bef503c4bef503c4bef503c4bef503c503c4bec4bec503c4bec503c4bec503c,4bec503c,4bec503c,4bec503c,503c4bec,4bef503c,4bef503c,4bef503c,4bef503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
13,13,0,3ffc03fffffffa04bf0503c4bf0503c4bf0503c4bf0503c503c4bed4bed503c4bed503c4bed503c,4bed503c,4bed503c,4bed503c,503c4bed,4bf0503c,4bf0503c,4bf0503c,4bf0503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
14,14,0,3ffc03ffffffeb04bf1503c4bf1503c4bf1503c4bf1503c503c4bee4bee503c4bee503c4bee503c,4bee503c,4bee503c,4bee503c,503c4bee,4bf1503c,4bf1503c,4bf1503c,4bf1503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
15,15,0,3ffc03ffffffeb04bf2503c4bf2503c4bf2503c4bf2503c503c4bef4bef503c4bef503c4bef503c,4bef503c,4bef503c,4bef503c,503c4bef,4bf2503c,4bf2503c,4bf2503c,4bf2503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
16,16,0,3ffc03ffffffea04bf3503c4bf3503c4bf3503c4bf3503c503c4bf04bf0503c4bf0503c4bf0503c,4bf0503c,4bf0503c,4bf0503c,503c4bf0,4bf3503c,4bf3503c,4bf3503c,4bf3503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
17,17,0,3ffc03fffffffa04bf4503c4bf4503c4bf4503c4bf4503c503c4bf14bf1503c4bf1503c4bf1503c,4bf1503c,4bf1503c,4bf1503c,503c4bf1,4bf4503c,4bf4503c,4bf4503c,4bf4503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
18,18,0,3ffc03fffffffa04bf5503c4bf5503c4bf5503c4bf5503c503c4bf24bf2503c4bf2503c4bf2503c,4bf2503c,4bf2503c,4bf2503c,503c4bf2,4bf5503c,4bf5503c,4bf5503c,4bf5503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
19,19,0,3ffc03ffffffeb04bf6503c4bf6503c4bf6503c4bf6503c503c4bf34bf3503c4bf3503c4bf3503c,4bf3503c,4bf3503c,4bf3503c,503c4bf3,4bf6503c,4bf6503c,4bf6503c,4bf6503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
20,20,0,3ffc03ffffffeb04bf7503c4bf7503c4bf7503c4bf7503c503c4bf44bf4503c4bf4503c4bf4503c,4bf4503c,4bf4503c,4bf4503c,503c4bf4,4bf7503c,4bf7503c,4bf7503c,4bf7503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
21,21,0,3ffc03ffffffea04bf8503c4bf8503c4bf8503c4bf8503c503c4bf54bf5503c4bf5503c4bf5503c,4bf5503c,4bf5503c,4bf5503c,503c4bf5,4bf8503c,4bf8503c,4bf8503c,4bf8503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
22,22,0,3ffc03fffffffa04bf9503c4bf9503c4bf9503c4bf9503c503c4bf64bf6503c4bf6503c4bf6503c,4bf6503c,4bf6503c,4bf6503c,503c4bf6,4bf9503c,4bf9503c,4bf9503c,4bf9503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
23,23,0,3ffc03fffffffa04bfa503c4bfa503c4bfa503c4bfa503c503c4bf74bf7503c4bf7503c4bf7503c,4bf7503c,4bf7503c,4bf7503c,503c4bf7,4bfa503c,4bfa503c,4bfa503c,4bfa503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
24,24,0,3ffc03ffffffeb04bfb503c4bfb503c4bfb503c4bfb503c503c4bf84bf8503c4bf8503c4bf8503c,4bf8503c,4bf8503c,4bf8503c,503c4bf8,4bfb503c,4bfb503c,4bfb503c,4bfb503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
25,25,0,3ffc03ffffffeb04bfc503c4bfc503c4bfc503c4bfc503c503c4bf94bf9503c4bf9503c4bf9503c,4bf9503c,4bf9503c,4bf9503c,503c4bf9,4bfc503c,4bfc503c,4bfc503c,4bfc503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
26,26,0,3ffc03ffffffea04bfd503c4bfd503c4bfd503c4bfd503c503c4bfa4bfa503c4bfa503c4bfa503c,4bfa503c,4bfa503c,4bfa503c,503c4bfa,4bfd503c,4bfd503c,4bfd503c,4bfd503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
27,27,0,3ffc03fffffffa04bfe503c4bfe503c4bfe503c4bfe503c503c4bfb4bfb503c4bfb503c4bfb503c,4bfb503c,4bfb503c,4bfb503c,503c4bfb,4bfe503c,4bfe503c,4bfe503c,4bfe503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
28,28,0,3ffc03fffffffa04bff503c4bff503c4bff503c4bff503c503c4bfc4bfc503c4bfc503c4bfc503c,4bfc503c,4bfc503c,4bfc503c,503c4bfc,4bff503c,4bff503c,4bff503c,4bff503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
29,29,0,3ffc03ffffffeb04c00503c4c00503c4c00503c4c00503c503c4bfd4bfd503c4bfd503c4bfd503c,4bfd503c,4bfd503c,4bfd503c,503c4bfd,4c00503c,4c00503c,4c00503c,4c00503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
30,30,0,3ffc03ffffffeb04c01503c4c01503c4c01503c4c01503c503c4bfe4bfe503c4bfe503c4bfe503c,4bfe503c,4bfe503c,4bfe503c,503c4bfe,4c01503c,4c01503c,4c01503c,4c01503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
31,31,0,3ffc03ffffffea04c02503c4c02503c4c02503c4c02503c503c4bff4bff503c4bff503c4bff503c,4bff503c,4bff503c,4bff503c,503c4bff,4c02503c,4c02503c,4c02503c,4c02503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
32,32,0,3ffc03fffffffa04c03503c4c03503c4c03503c4c03503c503c4c004c00503c4c00503c4c00503c,4c00503c,4c00503c,4c00503c,503c4c00,4c03503c,4c03503c,4c03503c,4c03503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
33,33,0,3ffc03fffffffa04c04503c4c04503c4c04503c4c04503c503c4c014c01503c4c01503c4c01503c,4c01503c,4c01503c,4c01503c,503c4c01,4c04503c,4c04503c,4c04503c,4c04503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
34,34,0,3ffc03ffffffeb04c05503c4c05503c4c05503c4c05503c503c4c024c02503c4c02503c4c02503c,4c02503c,4c02503c,4c02503c,503c4c02,4c05503c,4c05503c,4c05503c,4c05503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
35,35,0,3ffc03ffffffeb04c06503c4c06503c4c06503c4c06503c503c4c034c03503c4c03503c4c03503c,4c03503c,4c03503c,4c03503c,503c4c03,4c06503c,4c06503c,4c06503c,4c06503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
36,36,0,3ffc03ffffffea04c07503c4c07503c4c07503c4c07503c503c4c044c04503c4c04503c4c04503c,4c04503c,4c04503c,4c04503c,503c4c04,4c07503c,4c07503c,4c07503c,4c07503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
37,37,0,3ffc03fffffffa04c08503c4c08503c4c08503c4c08503c503c4c054c05503c4c05503c4c05503c,4c05503c,4c05503c,4c05503c,503c4c05,4c08503c,4c08503c,4c08503c,4c08503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
38,38,0,3ffc03fffffffa04c09503c4c09503c4c09503c4c09503c503c4c064c06503c4c06503c4c06503c,4c06503c,4c06503c,4c06503c,503c4c06,4c09503c,4c09503c,4c09503c,4c09503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
39,39,0,3ffc03ffffffeb04c0a503c4c0a503c4c0a503c4c0a503c503c4c074c07503c4c07503c4c07503c,4c07503c,4c07503c,4c07503c,503c4c07,4c0a503c,4c0a503c,4c0a503c,4c0a503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
40,40,0,3ffc03ffffffeb04c0b503c4c0b503c4c0b503c4c0b503c503c4c084c08503c4c08503c4c08503c,4c08503c,4c08503c,4c08503c,503c4c08,4c0b503c,4c0b503c,4c0b503c,4c0b503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
41,41,0,3ffc03ffffffea04c0c503c4c0c503c4c0c503c4c0c503c503c4c094c09503c4c09503c4c09503c,4c09503c,4c09503c,4c09503c,503c4c09,4c0c503c,4c0c503c,4c0c503c,4c0c503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
42,42,0,3ffc03fffffffa04c0d503c4c0d503c4c0d503c4c0d503c503c4c0a4c0a503c4c0a503c4c0a503c,4c0a503c,4c0a503c,4c0a503c,503c4c0a,4c0d503c,4c0d503c,4c0d503c,4c0d503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
43,43,0,3ffc03fffffffa04c0e503c4c0e503c4c0e503c4c0e503c503c4c0b4c0b503c4c0b503c4c0b503c,4c0b503c,4c0b503c,4c0b503c,503c4c0b,4c0e503c,4c0e503c,4c0e503c,4c0e503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
44,44,0,3ffc03ffffffeb04c0f503c4c0f503c4c0f503c4c0f503c503c4c0c4c0c503c4c0c503c4c0c503c,4c0c503c,4c0c503c,4c0c503c,503c4c0c,4c0f503c,4c0f503c,4c0f503c,4c0f503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
45,45,0,3ffc03ffffffeb04c10503c4c10503c4c10503c4c10503c503c4c0d4c0d503c4c0d503c4c0d503c,4c0d503c,4c0d503c,4c0d503c,503c4c0d,4c10503c,4c10503c,4c10503c,4c10503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
46,46,0,3ffc03ffffffea04c11503c4c11503c4c11503c4c11503c503c4c0e4c0e503c4c0e503c4c0e503c,4c0e503c,4c0e503c,4c0e503c,503c4c0e,4c11503c,4c11503c,4c11503c,4c11503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
47,47,0,3ffc03fffffffa04c12503c4c12503c4c12503c4c12503c503c4c0f4c0f503c4c0f503c4c0f503c,4c0f503c,4c0f503c,4c0f503c,503c4c0f,4c12503c,4c12503c,4c12503c,4c12503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
48,48,0,3ffc03fffffffa04c13503c4c13503c4c13503c4c13503c503c4c104c10503c4c10503c4c10503c,4c10503c,4c10503c,4c10503c,503c4c10,4c13503c,4c13503c,4c13503c,4c13503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
49,49,0,3ffc03ffffffeb04c14503c4c14503c4c14503c4c14503c503c4c114c11503c4c11503c4c11503c,4c11503c,4c11503c,4c11503c,503c4c11,4c14503c,4c14503c,4c14503c,4c14503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
50,50,0,3ffc03ffffffeb04c15503c4c15503c4c15503c4c15503c503c4c124c12503c4c12503c4c12503c,4c12503c,4c12503c,4c12503c,503c4c12,4c15503c,4c15503c,4c15503c,4c15503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
51,51,0,3ffc03ffffffea04c16503c4c16503c4c16503c4c16503c503c4c134c13503c4c13503c4c13503c,4c13503c,4c13503c,4c13503c,503c4c13,4c16503c,4c16503c,4c16503c,4c16503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
52,52,0,3ffc03fffffffa04c17503c4c17503c4c17503c4c17503c503c4c144c14503c4c14503c4c14503c,4c14503c,4c14503c,4c14503c,503c4c14,4c17503c,4c17503c,4c17503c,4c17503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
53,53,0,3ffc03fffffffa04c18503c4c18503c4c18503c4c18503c503c4c154c15503c4c15503c4c15503c,4c15503c,4c15503c,4c15503c,503c4c15,4c18503c,4c18503c,4c18503c,4c18503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
54,54,0,3ffc03ffffffeb04c19503c4c19503c4c19503c4c19503c503c4c164c16503c4c16503c4c16503c,4c16503c,4c16503c,4c16503c,503c4c16,4c19503c,4c19503c,4c19503c,4c19503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
55,55,0,3ffc03ffffffeb04c1a503c4c1a503c4c1a503c4c1a503c503c4c174c17503c4c17503c4c17503c,4c17503c,4c17503c,4c17503c,503c4c17,4c1a503c,4c1a503c,4c1a503c,4c1a503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
56,56,0,3ffc03ffffffea04c1b503c4c1b503c4c1b503c4c1b503c503c4c184c18503c4c18503c4c18503c,4c18503c,4c18503c,4c18503c,503c4c18,4c1b503c,4c1b503c,4c1b503c,4c1b503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
57,57,0,3ffc03fffffffa04c1c503c4c1c503c4c1c503c4c1c503c503c4c194c19503c4c19503c4c19503c,4c19503c,4c19503c,4c19503c,503c4c19,4c1c503c,4c1c503c,4c1c503c,4c1c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
58,58,0,3ffc03fffffffa04c1d503c4c1d503c4c1d503c4c1d503c503c4c1a4c1a503c4c1a503c4c1a503c,4c1a503c,4c1a503c,4c1a503c,503c4c1a,4c1d503c,4c1d503c,4c1d503c,4c1d503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
59,59,0,3ffc03ffffffeb04c1e503c4c1e503c4c1e503c4c1e503c503c4c1b4c1b503c4c1b503c4c1b503c,4c1b503c,4c1b503c,4c1b503c,503c4c1b,4c1e503c,4c1e503c,4c1e503c,4c1e503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
60,60,0,3ffc03ffffffeb04c1f503c4c1f503c4c1f503c4c1f503c503c4c1c4c1c503c4c1c503c4c1c503c,4c1c503c,4c1c503c,4c1c503c,503c4c1c,4c1f503c,4c1f503c,4c1f503c,4c1f503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
61,61,0,3ffc03ffffffea04c20503c4c20503c4c20503c4c20503c503c4c1d4c1d503c4c1d503c4c1d503c,4c1d503c,4c1d503c,4c1d503c,503c4c1d,4c20503c,4c20503c,4c20503c,4c20503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
62,62,0,3ffc03fffffffa04c21503c4c21503c4c21503c4c21503c503c4c1e4c1e503c4c1e503c4c1e503c,4c1e503c,4c1e503c,4c1e503c,503c4c1e,4c21503c,4c21503c,4c21503c,4c21503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
63,63,0,3ffc03fffffffa04c22503c4c22503c4c22503c4c22503c503c4c1f4c1f503c4c1f503c4c1f503c,4c1f503c,4c1f503c,4c1f503c,503c4c1f,4c22503c,4c22503c,4c22503c,4c22503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
64,64,0,3ffc03ffffffeb04c23503c4c23503c4c23503c4c23503c503c4c204c20503c4c20503c4c20503c,4c20503c,4c20503c,4c20503c,503c4c20,4c23503c,4c23503c,4c23503c,4c23503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
65,65,0,3ffc03ffffffeb04c24503c4c24503c4c24503c4c24503c503c4c214c21503c4c21503c4c21503c,4c21503c,4c21503c,4c21503c,503c4c21,4c24503c,4c24503c,4c24503c,4c24503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
66,66,0,3ffc03ffffffea04c25503c4c25503c4c25503c4c25503c503c4c224c22503c4c22503c4c22503c,4c22503c,4c22503c,4c22503c,503c4c22,4c25503c,4c25503c,4c25503c,4c25503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
67,67,0,3ffc03fffffffa04c26503c4c26503c4c26503c4c26503c503c4c234c23503c4c23503c4c23503c,4c23503c,4c23503c,4c23503c,503c4c23,4c26503c,4c26503c,4c26503c,4c26503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
68,68,0,3ffc03fffffffa04c27503c4c27503c4c27503c4c27503c503c4c244c24503c4c24503c4c24503c,4c24503c,4c24503c,4c24503c,503c4c24,4c27503c,4c27503c,4c27503c,4c27503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
69,69,0,3ffc03ffffffeb04c28503c4c28503c4c28503c4c28503c503c4c254c25503c4c25503c4c25503c,4c25503c,4c25503c,4c25503c,503c4c25,4c28503c,4c28503c,4c28503c,4c28503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
70,70,0,3ffc03ffffffeb04c29503c4c29503c4c29503c4c29503c503c4c264c26503c4c26503c4c26503c,4c26503c,4c26503c,4c26503c,503c4c26,4c29503c,4c29503c,4c29503c,4c29503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
71,71,0,3ffc03ffffffea04c2a503c4c2a503c4c2a503c4c2a503c503c4c274c27503c4c27503c4c27503c,4c27503c,4c27503c,4c27503c,503c4c27,4c2a503c,4c2a503c,4c2a503c,4c2a503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
72,72,0,3ffc03fffffffa04c2b503c4c2b503c4c2b503c4c2b503c503c4c284c28503c4c28503c4c28503c,4c28503c,4c28503c,4c28503c,503c4c28,4c2b503c,4c2b503c,4c2b503c,4c2b503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
73,73,0,3ffc03fffffffa04c2c503c4c2c503c4c2c503c4c2c503c503c4c294c29503c4c29503c4c29503c,4c29503c,4c29503c,4c29503c,503c4c29,4c2c503c,4c2c503c,4c2c503c,4c2c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
74,74,0,3ffc03ffffffeb04c2d503c4c2d503c4c2d503c4c2d503c503c4c2a4c2a503c4c2a503c4c2a503c,4c2a503c,4c2a503c,4c2a503c,503c4c2a,4c2d503c,4c2d503c,4c2d503c,4c2d503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
75,75,0,3ffc03ffffffeb04c2e503c4c2e503c4c2e503c4c2e503c503c4c2b4c2b503c4c2b503c4c2b503c,4c2b503c,4c2b503c,4c2b503c,503c4c2b,4c2e503c,4c2e503c,4c2e503c,4c2e503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
76,76,0,3ffc03ffffffea04c2f503c4c2f503c4c2f503c4c2f503c503c4c2c4c2c503c4c2c503c4c2c503c,4c2c503c,4c2c503c,4c2c503c,503c4c2c,4c2f503c,4c2f503c,4c2f503c,4c2f503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
77,77,0,3ffc03fffffffa04c30503c4c30503c4c30503c4c30503c503c4c2d4c2d503c4c2d503c4c2d503c,4c2d503c,4c2d503c,4c2d503c,503c4c2d,4c30503c,4c30503c,4c30503c,4c30503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
78,78,0,3ffc03fffffffa04c31503c4c31503c4c31503c4c31503c503c4c2e4c2e503c4c2e503c4c2e503c,4c2e503c,4c2e503c,4c2e503c,503c4c2e,4c31503c,4c31503c,4c31503c,4c31503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
79,79,0,3ffc03ffffffeb04c32503c4c32503c4c32503c4c32503c503c4c2f4c2f503c4c2f503c4c2f503c,4c2f503c,4c2f503c,4c2f503c,503c4c2f,4c32503c,4c32503c,4c32503c,4c32503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
80,80,0,3ffc03ffffffeb04c33503c4c33503c4c33503c4c33503c503c4c304c30503c4c30503c4c30503c,4c30503c,4c30503c,4c30503c,503c4c30,4c33503c,4c33503c,4c33503c,4c33503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
81,81,0,3ffc03ffffffea04c34503c4c34503c4c34503c4c34503c503c4c314c31503c4c31503c4c31503c,4c31503c,4c31503c,4c31503c,503c4c31,4c34503c,4c34503c,4c34503c,4c34503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
82,82,0,3ffc03fffffffa04c35503c4c35503c4c35503c4c35503c503c4c324c32503c4c32503c4c32503c,4c32503c,4c32503c,4c32503c,503c4c32,4c35503c,4c35503c,4c35503c,4c35503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
83,83,0,3ffc03fffffffa04c36503c4c36503c4c36503c4c36503c503c4c334c33503c4c33503c4c33503c,4c33503c,4c33503c,4c33503c,503c4c33,4c36503c,4c36503c,4c36503c,4c36503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
84,84,0,3ffc03ffffffeb04c37503c4c37503c4c37503c4c37503c503c4c344c34503c4c34503c4c34503c,4c34503c,4c34503c,4c34503c,503c4c34,4c37503c,4c37503c,4c37503c,4c37503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
85,85,0,3ffc03ffffffeb04c38503c4c38503c4c38503c4c38503c503c4c354c35503c4c35503c4c35503c,4c35503c,4c35503c,4c35503c,503c4c35,4c38503c,4c38503c,4c38503c,4c38503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
86,86,0,3ffc03ffffffea04c39503c4c39503c4c39503c4c39503c503c4c364c36503c4c36503c4c36503c,4c36503c,4c36503c,4c36503c,503c4c36,4c39503c,4c39503c,4c39503c,4c39503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
87,87,0,3ffc03fffffffa04c3a503c4c3a503c4c3a503c4c3a503c503c4c374c37503c4c37503c4c37503c,4c37503c,4c37503c,4c37503c,503c4c37,4c3a503c,4c3a503c,4c3a503c,4c3a503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
88,88,0,3ffc03fffffffa04c3b503c4c3b503c4c3b503c4c3b503c503c4c384c38503c4c38503c4c38503c,4c38503c,4c38503c,4c38503c,503c4c38,4c3b503c,4c3b503c,4c3b503c,4c3b503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
89,89,0,3ffc03ffffffeb04c3c503c4c3c503c4c3c503c4c3c503c503c4c394c39503c4c39503c4c39503c,4c39503c,4c39503c,4c39503c,503c4c39,4c3c503c,4c3c503c,4c3c503c,4c3c503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
90,90,0,3ffc03ffffffeb04c3d503c4c3d503c4c3d503c4c3d503c503c4c3a4c3a503c4c3a503c4c3a503c,4c3a503c,4c3a503c,4c3a503c,503c4c3a,4c3d503c,4c3d503c,4c3d503c,4c3d503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
91,91,0,3ffc03ffffffea04c3e503c4c3e503c4c3e503c4c3e503c503c4c3b4c3b503c4c3b503c4c3b503c,4c3b503c,4c3b503c,4c3b503c,503c4c3b,4c3e503c,4c3e503c,4c3e503c,4c3e503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
