Sample in Buffer,Sample in Window,TRIGGER,ila_data[313:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,gtwiz_reset_all_int,gtwiz_reset_rx_done_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtpowergood_int[3:0],rx8b10ben_int[3:0],rxlpmen_int[3:0],rxcommadeten_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
552,552,0,3ffc03fffffffa04e0b503c4e0b503c4e0b503c4e0b503c503c4e084e08503c4e08503c4e08503c,4e08503c,4e08503c,4e08503c,503c4e08,4e0b503c,4e0b503c,4e0b503c,4e0b503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
553,553,0,3ffc03fffffffa04e0c503c4e0c503c4e0c503c4e0c503c503c4e094e09503c4e09503c4e09503c,4e09503c,4e09503c,4e09503c,503c4e09,4e0c503c,4e0c503c,4e0c503c,4e0c503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
554,554,0,3ffc03ffffffeb04e0d503c4e0d503c4e0d503c4e0d503c503c4e0a4e0a503c4e0a503c4e0a503c,4e0a503c,4e0a503c,4e0a503c,503c4e0a,4e0d503c,4e0d503c,4e0d503c,4e0d503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
555,555,0,3ffc03ffffffeb04e0e503c4e0e503c4e0e503c4e0e503c503c4e0b4e0b503c4e0b503c4e0b503c,4e0b503c,4e0b503c,4e0b503c,503c4e0b,4e0e503c,4e0e503c,4e0e503c,4e0e503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
556,556,0,3ffc03ffffffea04e0f503c4e0f503c4e0f503c4e0f503c503c4e0c4e0c503c4e0c503c4e0c503c,4e0c503c,4e0c503c,4e0c503c,503c4e0c,4e0f503c,4e0f503c,4e0f503c,4e0f503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
557,557,0,3ffc03fffffffa04e10503c4e10503c4e10503c4e10503c503c4e0d4e0d503c4e0d503c4e0d503c,4e0d503c,4e0d503c,4e0d503c,503c4e0d,4e10503c,4e10503c,4e10503c,4e10503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
558,558,0,3ffc03fffffffa04e11503c4e11503c4e11503c4e11503c503c4e0e4e0e503c4e0e503c4e0e503c,4e0e503c,4e0e503c,4e0e503c,503c4e0e,4e11503c,4e11503c,4e11503c,4e11503c,0,0,1,0,1,1,1,f,f,f,f,f,0,0,f,f,f
559,559,0,3ffc03ffffffeb04e12503c4e12503c4e12503c4e12503c503c4e0f4e0f503c4e0f503c4e0f503c,4e0f503c,4e0f503c,4e0f503c,503c4e0f,4e12503c,4e12503c,4e12503c,4e12503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
560,560,0,3ffc03ffffffeb04e13503c4e13503c4e13503c4e13503c503c4e104e10503c4e10503c4e10503c,4e10503c,4e10503c,4e10503c,503c4e10,4e13503c,4e13503c,4e13503c,4e13503c,0,1,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
561,561,0,3ffc03ffffffea04e14503c4e14503c4e14503c4e14503c503c4e114e11503c4e11503c4e11503c,4e11503c,4e11503c,4e11503c,503c4e11,4e14503c,4e14503c,4e14503c,4e14503c,0,0,1,0,1,0,1,f,f,f,f,f,0,0,f,f,f
