Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
179,179,0,3b0bdc9f543bdc9f543bdc9f543bdc9f543bdc9f540bdc9f540bdc9f540bdc9f540,bdc9f540,bdc9f540,bdc9f540,bdc9f540,bdc9f543,bdc9f543,bdc9f543,bdc9f543,0,1,1,0,1,1,1
180,180,0,2a0bdc9f544bdc9f544bdc9f544bdc9f544bdc9f541bdc9f541bdc9f541bdc9f541,bdc9f541,bdc9f541,bdc9f541,bdc9f541,bdc9f544,bdc9f544,bdc9f544,bdc9f544,0,0,1,0,1,0,1
181,181,0,2a0bdc9f545bdc9f545bdc9f545bdc9f545bdc9f542bdc9f542bdc9f542bdc9f542,bdc9f542,bdc9f542,bdc9f542,bdc9f542,bdc9f545,bdc9f545,bdc9f545,bdc9f545,0,0,1,0,1,0,1
182,182,0,3b0bdc9f546bdc9f546bdc9f546bdc9f546bdc9f543bdc9f543bdc9f543bdc9f543,bdc9f543,bdc9f543,bdc9f543,bdc9f543,bdc9f546,bdc9f546,bdc9f546,bdc9f546,0,1,1,0,1,1,1
183,183,0,3b0bdc9f547bdc9f547bdc9f547bdc9f547bdc9f544bdc9f544bdc9f544bdc9f544,bdc9f544,bdc9f544,bdc9f544,bdc9f544,bdc9f547,bdc9f547,bdc9f547,bdc9f547,0,1,1,0,1,1,1
184,184,0,3b0bdc9f548bdc9f548bdc9f548bdc9f548bdc9f545bdc9f545bdc9f545bdc9f545,bdc9f545,bdc9f545,bdc9f545,bdc9f545,bdc9f548,bdc9f548,bdc9f548,bdc9f548,0,1,1,0,1,1,1
185,185,0,2a0bdc9f549bdc9f549bdc9f549bdc9f549bdc9f546bdc9f546bdc9f546bdc9f546,bdc9f546,bdc9f546,bdc9f546,bdc9f546,bdc9f549,bdc9f549,bdc9f549,bdc9f549,0,0,1,0,1,0,1
186,186,0,2a0bdc9f54abdc9f54abdc9f54abdc9f54abdc9f547bdc9f547bdc9f547bdc9f547,bdc9f547,bdc9f547,bdc9f547,bdc9f547,bdc9f54a,bdc9f54a,bdc9f54a,bdc9f54a,0,0,1,0,1,0,1
187,187,0,3b0bdc9f54bbdc9f54bbdc9f54bbdc9f54bbdc9f548bdc9f548bdc9f548bdc9f548,bdc9f548,bdc9f548,bdc9f548,bdc9f548,bdc9f54b,bdc9f54b,bdc9f54b,bdc9f54b,0,1,1,0,1,1,1
188,188,0,3b0bdc9f54cbdc9f54cbdc9f54cbdc9f54cbdc9f549bdc9f549bdc9f549bdc9f549,bdc9f549,bdc9f549,bdc9f549,bdc9f549,bdc9f54c,bdc9f54c,bdc9f54c,bdc9f54c,0,1,1,0,1,1,1
189,189,0,3b0bdc9f54dbdc9f54dbdc9f54dbdc9f54dbdc9f54abdc9f54abdc9f54abdc9f54a,bdc9f54a,bdc9f54a,bdc9f54a,bdc9f54a,bdc9f54d,bdc9f54d,bdc9f54d,bdc9f54d,0,1,1,0,1,1,1
190,190,0,2a0bdc9f54ebdc9f54ebdc9f54ebdc9f54ebdc9f54bbdc9f54bbdc9f54bbdc9f54b,bdc9f54b,bdc9f54b,bdc9f54b,bdc9f54b,bdc9f54e,bdc9f54e,bdc9f54e,bdc9f54e,0,0,1,0,1,0,1
191,191,0,2a0bdc9f54fbdc9f54fbdc9f54fbdc9f54fbdc9f54cbdc9f54cbdc9f54cbdc9f54c,bdc9f54c,bdc9f54c,bdc9f54c,bdc9f54c,bdc9f54f,bdc9f54f,bdc9f54f,bdc9f54f,0,0,1,0,1,0,1
192,192,0,3b0bdc9f550bdc9f550bdc9f550bdc9f550bdc9f54dbdc9f54dbdc9f54dbdc9f54d,bdc9f54d,bdc9f54d,bdc9f54d,bdc9f54d,bdc9f550,bdc9f550,bdc9f550,bdc9f550,0,1,1,0,1,1,1
193,193,0,3b0bdc9f551bdc9f551bdc9f551bdc9f551bdc9f54ebdc9f54ebdc9f54ebdc9f54e,bdc9f54e,bdc9f54e,bdc9f54e,bdc9f54e,bdc9f551,bdc9f551,bdc9f551,bdc9f551,0,1,1,0,1,1,1
194,194,0,3b0bdc9f552bdc9f552bdc9f552bdc9f552bdc9f54fbdc9f54fbdc9f54fbdc9f54f,bdc9f54f,bdc9f54f,bdc9f54f,bdc9f54f,bdc9f552,bdc9f552,bdc9f552,bdc9f552,0,1,1,0,1,1,1
