Sample in Buffer,Sample in Window,TRIGGER,ila_data[513:0],userdata_rx_0[31:0],receiver_0[31:0],userdata_rx_1[31:0],receiver_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,ch0_rxctrl0_int[15:0],hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],ch0_rxctrl1_int[15:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],ch1_rxctrl1_int[15:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],ch2_rxctrl1_int[15:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],ch3_rxctrl1_int[15:0],txpostcursor_int[19:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],txprecursor_int[19:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],drpdo_int[63:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
241,241,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05802a2b0b23b503c4dc4503cd91d503c26e2503c165db0c3843eb0c3e9a2b0c37bc1b0c3,7bc1b0c3,7bc1b0c3,e9a2b0c3,e9a2b0c3,843eb0c3,843eb0c3,165db0c3,165db0c3,26e2503c,26e2503c,d91d503c,d91d503c,4dc4503c,4dc4503c,b23b503c,b23b503c,0,1,2a2b,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
242,242,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0580222a0b239503c4dc6503cd91c503c26e3503c165bb0c3843db0c3e9a4b0c37bc2b0c3,7bc2b0c3,7bc2b0c3,e9a4b0c3,e9a4b0c3,843db0c3,843db0c3,165bb0c3,165bb0c3,26e3503c,26e3503c,d91c503c,d91c503c,4dc6503c,4dc6503c,b239503c,b239503c,0,0,222a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
243,243,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b058023aa0b237503c4dc8503cd91b503c26e4503c1646b0c38423b0c3e9b9b0c37bdcb0c3,7bdcb0c3,7bdcb0c3,e9b9b0c3,e9b9b0c3,8423b0c3,8423b0c3,1646b0c3,1646b0c3,26e4503c,26e4503c,d91b503c,d91b503c,4dc8503c,4dc8503c,b237503c,b237503c,0,0,23aa,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
244,244,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05803bba0b235503c4dca503cd91a503c26e5503c1657b0c3843bb0c3e9a8b0c37bc4b0c3,7bc4b0c3,7bc4b0c3,e9a8b0c3,e9a8b0c3,843bb0c3,843bb0c3,1657b0c3,1657b0c3,26e5503c,26e5503c,d91a503c,d91a503c,4dca503c,4dca503c,b235503c,b235503c,0,0,3bba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
245,245,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05803bbb0b233503c4dcc503cd919503c26e6503c164ab0c38425b0c3e9b5b0c37bdab0c3,7bdab0c3,7bdab0c3,e9b5b0c3,e9b5b0c3,8425b0c3,8425b0c3,164ab0c3,164ab0c3,26e6503c,26e6503c,d919503c,d919503c,4dcc503c,4dcc503c,b233503c,b233503c,0,1,3bbb,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
246,246,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05802a2b0b231503c4dce503cd918503c26e7503c164cb0c38426b0c3e9b3b0c37bd9b0c3,7bd9b0c3,7bd9b0c3,e9b3b0c3,e9b3b0c3,8426b0c3,8426b0c3,164cb0c3,164cb0c3,26e7503c,26e7503c,d918503c,d918503c,4dce503c,4dce503c,b231503c,b231503c,0,1,2a2b,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
247,247,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0580222a0b22f503c4dd0503cd917503c26e8503c164eb0c38438b0c3e9b1b0c37bc7b0c3,7bc7b0c3,7bc7b0c3,e9b1b0c3,e9b1b0c3,8438b0c3,8438b0c3,164eb0c3,164eb0c3,26e8503c,26e8503c,d917503c,d917503c,4dd0503c,4dd0503c,b22f503c,b22f503c,0,0,222a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
248,248,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b058023aa0b22d503c4dd2503cd916503c26e9503c164fb0c38437b0c3e9b0b0c37bc8b0c3,7bc8b0c3,7bc8b0c3,e9b0b0c3,e9b0b0c3,8437b0c3,8437b0c3,164fb0c3,164fb0c3,26e9503c,26e9503c,d916503c,d916503c,4dd2503c,4dd2503c,b22d503c,b22d503c,0,0,23aa,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
249,249,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05803bba0b22b503c4dd4503cd915503c26ea503c1652b0c38429b0c3e9adb0c37bd6b0c3,7bd6b0c3,7bd6b0c3,e9adb0c3,e9adb0c3,8429b0c3,8429b0c3,1652b0c3,1652b0c3,26ea503c,26ea503c,d915503c,d915503c,4dd4503c,4dd4503c,b22b503c,b22b503c,0,0,3bba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
250,250,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b05803bbb0b229503c4dd6503cd914503c26eb503c1654b0c3842ab0c3e9abb0c37bd5b0c3,7bd5b0c3,7bd5b0c3,e9abb0c3,e9abb0c3,842ab0c3,842ab0c3,1654b0c3,1654b0c3,26eb503c,26eb503c,d914503c,d914503c,4dd6503c,4dd6503c,b229503c,b229503c,0,1,3bbb,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c1600,0580,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
