Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
239,239,0,0a936f9cc0a38a700187e3fa5000000000000000000000000000000000000000003d3c3cbc0000000000000000400080004000000000008000bfc013c0000000000000000000000000033333c003ffffc00038000b0582e22a0d92385f2d92385f2d92385f2d92385f21d7aa36562524086e9d89497f8c2fe09,f8c2fe09,e9d89497,62524086,1d7aa365,d92385f2,d92385f2,d92385f2,d92385f2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0002,0002,0000,0000,0001,0002,0001,0000,00,00,00,00,f0,f2,f0,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe940,29c0,028e,be73,2a4d
240,240,0,0a956f9ec0a58a720187e3fa5200000000000000000000000000000000000000003e3c3e7c00000000000000010002000000008000000200003fc013c0000000000000000000000000033333c003ffffc00038000b0582f32a0b648e17cb648e17cb648e17cb648e17c6afdf78e677431328b5d606c54683844,54683844,8b5d606c,67743132,6afdf78e,b648e17c,b648e17c,b648e17c,b648e17c,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0008,0000,0002,0000,0008,0004,0000,00,00,00,00,f0,f9,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe948,29c8,0296,be7b,2a55
241,241,0,0a976fa0c0a78a740187e3fa5400000000000000000000000000000000000000003e7c7c3c00000000000240014000000080024000000000003fc013c0000000000000000000000000033333c003ffffc00038000b0582fbbb0ad92385fad92385fad92385fad92385f99053f982946bf50578c3f3200d7f458,00d7f458,578c3f32,2946bf50,99053f98,ad92385f,ad92385f,ad92385f,ad92385f,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0000,0009,0002,0000,0005,0009,00,00,00,00,f0,f0,f1,f9,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe950,29d0,029e,be83,2a5d
242,242,0,0a996fa2c0a98a760187e3fa5600000000000000000000000000000000000000003c7c3efc8000000000004000800280008000000080020000bfc013c0000000000000000000000000033333c003ffffc00038000b0582fbbb06b648e176b648e176b648e176b648e17149e16b04a405c2f87bac1ebaa7c91c5,aa7c91c5,87bac1eb,4a405c2f,149e16b0,6b648e17,6b648e17,6b648e17,6b648e17,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0002,0008,0002,0000,0002,000a,0002,0001,00,00,00,00,f2,fb,f0,f1,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe958,29d8,02a6,be8b,2a65
243,243,0,0a9b2fa480ab4a77c187e3fa57c0000000000000000000000000000000000000003cbcbc3c40000000000000024000000300000000000000007fc013c0000000000000000000000000033333c003ffffc00038000b0582e22a0f2b9a278f2b9a278f2b9a278f2b9a278650f762e8630989697fa802f09659650,09659650,97fa802f,86309896,650f762e,f2b9a278,f2b9a278,f2b9a278,f2b9a278,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0001,0000,0000,0000,000c,0000,0009,0000,00,00,00,00,f1,f0,f2,f2,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe95f,29df,02ad,be92,2a6c
244,244,0,0a9d2fa680ad4a79c187e3fa59c0000000000000000000000000000000000000003c3c3e3d800000000000c0000001c0008000000000000001bfc013c0000000000000000000000000033333c003ffffc00038000b0582e22a07cae689e7cae689e7cae689e7cae689e8e9b768132ad6adb6c1a007744189e2e,44189e2e,6c1a0077,32ad6adb,8e9b7681,7cae689e,7cae689e,7cae689e,7cae689e,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0006,0000,0000,0000,0002,0007,0000,0003,00,00,00,00,f6,f8,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe967,29e7,02b5,be9a,2a74
245,245,0,0a9f2fa880af4a7bc187e3fa5bc0000000000000000000000000000000000000003e3e7c3c00000000000200024000000080020000400000003fc013c0000000000000000000000000033333c003ffffc00038000b0582f32a05f2b9a275f2b9a275f2b9a275f2b9a27985c9536d08b64ae3216b99f59a57544,59a57544,3216b99f,d08b64ae,985c9536,5f2b9a27,5f2b9a27,5f2b9a27,5f2b9a27,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0001,0008,0002,0000,0009,0008,00,00,00,00,f0,f0,f9,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe96f,29ef,02bd,bea2,2a7c
246,246,0,0aa12faa80b14a7dc187e3fa5dc0000000000000000000000000000000000000003e3c3d7c40000000000000024001400040000000400100007fc013c0000000000000000000000000033333c003ffffc00038000b0582fbbb017cae68917cae68917cae68917cae689c01c9a168642405d828fbac1fca17c90,fca17c90,828fbac1,8642405d,c01c9a16,17cae689,17cae689,17cae689,17cae689,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0001,0004,0001,0000,0001,0005,0009,0000,00,00,00,00,f1,f5,f0,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe977,29f7,02c5,beaa,2a84
247,247,0,0aa32fac80b34a7fc187e3fa5fc0000000000000000000000000000000000000003c3d3c3e00000000000040030000c001c0000001000000023fc013c0000000000000000000000000033333c003ffffc00038000b0582fbbb085f2b9a285f2b9a285f2b9a285f2b9a22ec1d674960c0e682f3b617c501c0e73,501c0e73,2f3b617c,960c0e68,2ec1d674,85f2b9a2,85f2b9a2,85f2b9a2,85f2b9a2,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0008,0000,0004,0000,0007,0003,000c,0001,00,00,00,00,f8,f0,f4,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe97f,29ff,02cd,beb2,2a8c
248,248,0,0aa4efae40b50a818187e3fa6180000000000000000000000000000000000000003c7d3cbc00000000000200008002800000000000000000003fc013c0000000000000000000000000033333c003ffffc00038000b0582e22a09e2860819e2860819e2860819e28608181ef088fdbb00b6f775c3ccf2e6e8985,2e6e8985,775c3ccf,dbb00b6f,81ef088f,9e286081,9e286081,9e286081,9e286081,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0002c160b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,4,0,0,f,f,0000,0000,0000,0000,0000,000a,0002,0008,00,00,00,00,f0,f2,f4,f1,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,061f8fe986,2a06,02d4,beb9,2a93
