Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002fb2b0207f503c207f503c207f503c207f503c26b0c3dc26b0c3dc26b0c3dc1bb0c325,1bb0c325,26b0c3dc,26b0c3dc,26b0c3dc,207f503c,207f503c,207f503c,207f503c,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
1,1,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002ebbb0103f503c103f503c103f503c103f503c73b0c38e73b0c38e73b0c38e92b0c3f2,92b0c3f2,73b0c38e,73b0c38e,73b0c38e,103f503c,103f503c,103f503c,103f503c,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
2,2,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002e3ba00817503c0817503c0c3b503c091f503c49b0c3a849b0c3a849b0c3a839b0c3e9,39b0c3e9,49b0c3a8,49b0c3a8,49b0c3a8,091f503c,0c3b503c,0817503c,0817503c,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
3,3,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002e22a0ea99503cea99503cea99503cea99503cbbb0c3c4bbb0c3c4bbb0c3c47cb0c37b,7cb0c37b,bbb0c3c4,bbb0c3c4,bbb0c3c4,ea99503c,ea99503c,ea99503c,ea99503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
4,4,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002fa2b0f54c503cf54c503cf54c503cf54c503c52b0c38d52b0c38d52b0c38d4eb0c35d,4eb0c35d,52b0c38d,52b0c38d,52b0c38d,f54c503c,f54c503c,f54c503c,f54c503c,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
5,5,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002fb2b0faa6503cfaa6503cfaa6503cfaa6503c03b0c3cf03b0c3cf03b0c3cf29b0c336,29b0c336,03b0c3cf,03b0c3cf,03b0c3cf,faa6503c,faa6503c,faa6503c,faa6503c,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
6,6,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002ebbb0fd53503cfd53503cfd53503cfd53503c91b0c31791b0c31791b0c31774b0c364,74b0c364,91b0c317,91b0c317,91b0c317,fd53503c,fd53503c,fd53503c,fd53503c,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
7,7,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002e3ba0fea8503cdeea503cde9a503cffb9503ca7b0c314a7b0c314a7b0c3144ab0c34d,4ab0c34d,a7b0c314,a7b0c314,a7b0c314,ffb9503c,de9a503c,deea503c,fea8503c,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
8,8,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00038160b0002e22a0cee9503ccee9503ccee9503ccee9503cdcb0c39adcb0c39adcb0c39a25b0c326,25b0c326,dcb0c39a,dcb0c39a,dcb0c39a,cee9503c,cee9503c,cee9503c,cee9503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c000b,e,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
