Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
42,42,0,9656503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000842c053ea503c53ea503c69a7503c965812234187729b503c69a9503c9656503c,9656503c,69a9503c,69a9503c,729b503c,729b503c,12234187,12234187,503c9658,503c9658,503c69a7,503c69a7,503c53ea,503c53ea,42c053ea,42c053ea
43,43,0,9657503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008bde77932503c7932503c69a6503c9659f5a350ee73af503c69a8503c9657503c,9657503c,69a8503c,69a8503c,73af503c,73af503c,f5a350ee,f5a350ee,503c9659,503c9659,503c69a6,503c69a6,503c7932,503c7932,bde77932,bde77932
44,44,0,9658503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ad34c2d1503cc2d1503c69a5503c965a8f1a347f972f503c69a7503c9658503c,9658503c,69a7503c,69a7503c,972f503c,972f503c,8f1a347f,8f1a347f,503c965a,503c965a,503c69a5,503c69a5,503cc2d1,503cc2d1,ad34c2d1,ad34c2d1
45,45,0,9659503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ecbfb0a9503cb0a9503c69a4503c965b84ca2ca73693503c69a6503c9659503c,9659503c,69a6503c,69a6503c,3693503c,3693503c,84ca2ca7,84ca2ca7,503c965b,503c965b,503c69a4,503c69a4,503cb0a9,503cb0a9,ecbfb0a9,ecbfb0a9
46,46,0,965a503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000087c2851d5503c51d5503c69a3503c965c9da43d3a0ba9503c69a5503c965a503c,965a503c,69a5503c,69a5503c,0ba9503c,0ba9503c,9da43d3a,9da43d3a,503c965c,503c965c,503c69a3,503c69a3,503c51d5,503c51d5,7c2851d5,7c2851d5
47,47,0,965b503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000870944491503c4491503c69a2503c965d52181543b17e503c69a4503c965b503c,965b503c,69a4503c,69a4503c,b17e503c,b17e503c,52181543,52181543,503c965d,503c965d,503c69a2,503c69a2,503c4491,503c4491,70944491,70944491
48,48,0,965c503c,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089fb4b64c503cb64c503c69a1503c965ee8023f932786503c69a3503c965c503c,965c503c,69a3503c,69a3503c,2786503c,2786503c,e8023f93,e8023f93,503c965e,503c965e,503c69a1,503c69a1,503cb64c,503cb64c,9fb4b64c,9fb4b64c
49,49,0,965d503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000859b7a1eb503ca1eb503c69a0503c965f733da34da172503c69a2503c965d503c,965d503c,69a2503c,69a2503c,a172503c,a172503c,733da34d,733da34d,503c965f,503c965f,503c69a0,503c69a0,503ca1eb,503ca1eb,59b7a1eb,59b7a1eb
50,50,0,965e503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000809d76f86503c6f86503c699f503c966080749d4da0ee503c69a1503c965e503c,965e503c,69a1503c,69a1503c,a0ee503c,a0ee503c,80749d4d,80749d4d,503c9660,503c9660,503c699f,503c699f,503c6f86,503c6f86,09d76f86,09d76f86
51,51,0,965f503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008af22b629503cb629503c699e503c96619136a7dc0732503c69a0503c965f503c,965f503c,69a0503c,69a0503c,0732503c,0732503c,9136a7dc,9136a7dc,503c9661,503c9661,503c699e,503c699e,503cb629,503cb629,af22b629,af22b629
52,52,0,9660503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000832e4a1eb503ca1eb503c699d503c9662f076b0ca866d503c699f503c9660503c,9660503c,699f503c,699f503c,866d503c,866d503c,f076b0ca,f076b0ca,503c9662,503c9662,503c699d,503c699d,503ca1eb,503ca1eb,32e4a1eb,32e4a1eb
53,53,0,9661503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008dc4e9088503c9088503c699c503c9663b6f2b844cef4503c699e503c9661503c,9661503c,699e503c,699e503c,cef4503c,cef4503c,b6f2b844,b6f2b844,503c9663,503c9663,503c699c,503c699c,503c9088,503c9088,dc4e9088,dc4e9088
54,54,0,9662503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ad53d47f503cd47f503c699b503c96645017a78f5537503c699d503c9662503c,9662503c,699d503c,699d503c,5537503c,5537503c,5017a78f,5017a78f,503c9664,503c9664,503c699b,503c699b,503cd47f,503cd47f,ad53d47f,ad53d47f
55,55,0,9663503c,3b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000081b299971503c9971503c699a503c9665f931635474f3503c699c503c9663503c,9663503c,699c503c,699c503c,74f3503c,74f3503c,f9316354,f9316354,503c9665,503c9665,503c699a,503c699a,503c9971,503c9971,1b299971,1b299971
56,56,0,9664503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008455bc134503cc134503c6999503c966642c8621616e5503c699b503c9664503c,9664503c,699b503c,699b503c,16e5503c,16e5503c,42c86216,42c86216,503c9666,503c9666,503c6999,503c6999,503cc134,503cc134,455bc134,455bc134
57,57,0,9665503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008b64d10ee503c10ee503c6998503c9667e813d2e91a8b503c699a503c9665503c,9665503c,699a503c,699a503c,1a8b503c,1a8b503c,e813d2e9,e813d2e9,503c9667,503c9667,503c6998,503c6998,503c10ee,503c10ee,b64d10ee,b64d10ee
58,58,0,9666503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008465f0324503c0324503c6997503c9668bf60df94cc46503c6999503c9666503c,9666503c,6999503c,6999503c,cc46503c,cc46503c,bf60df94,bf60df94,503c9668,503c9668,503c6997,503c6997,503c0324,503c0324,465f0324,465f0324
59,59,0,9667503c,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000086c5b5c7c503c5c7c503c6996503c96690380667406ab503c6998503c9667503c,9667503c,6998503c,6998503c,06ab503c,06ab503c,03806674,03806674,503c9669,503c9669,503c6996,503c6996,503c5c7c,503c5c7c,6c5b5c7c,6c5b5c7c
60,60,0,9668503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008126e6187503c6187503c6995503c966a0cd75b66db00503c6997503c9668503c,9668503c,6997503c,6997503c,db00503c,db00503c,0cd75b66,0cd75b66,503c966a,503c966a,503c6995,503c6995,503c6187,503c6187,126e6187,126e6187
61,61,0,9669503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008146c2093503c2093503c6994503c966bc9dac2af19af503c6996503c9669503c,9669503c,6996503c,6996503c,19af503c,19af503c,c9dac2af,c9dac2af,503c966b,503c966b,503c6994,503c6994,503c2093,503c2093,146c2093,146c2093
62,62,0,966a503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000088cc1f0cd503cf0cd503c6993503c966c611a4af8903a503c6995503c966a503c,966a503c,6995503c,6995503c,903a503c,903a503c,611a4af8,611a4af8,503c966c,503c966c,503c6993,503c6993,503cf0cd,503cf0cd,8cc1f0cd,8cc1f0cd
63,63,0,966b503c,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000086048dd92503cdd92503c6992503c966d21307d66672c503c6994503c966b503c,966b503c,6994503c,6994503c,672c503c,672c503c,21307d66,21307d66,503c966d,503c966d,503c6992,503c6992,503cdd92,503cdd92,6048dd92,6048dd92
64,64,0,966c503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000898dc3382503c3382503c6991503c966e9ef3e93cd941503c6993503c966c503c,966c503c,6993503c,6993503c,d941503c,d941503c,9ef3e93c,9ef3e93c,503c966e,503c966e,503c6991,503c6991,503c3382,503c3382,98dc3382,98dc3382
65,65,0,966d503c,3b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000087259f0df503cf0df503c6990503c966f1381eed91d30503c6992503c966d503c,966d503c,6992503c,6992503c,1d30503c,1d30503c,1381eed9,1381eed9,503c966f,503c966f,503c6990,503c6990,503cf0df,503cf0df,7259f0df,7259f0df
66,66,0,966e503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008f75a3b28503c3b28503c698f503c9670418450984da8503c6991503c966e503c,966e503c,6991503c,6991503c,4da8503c,4da8503c,41845098,41845098,503c9670,503c9670,503c698f,503c698f,503c3b28,503c3b28,f75a3b28,f75a3b28
67,67,0,966f503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000088c2ddc47503cdc47503c698e503c967140ccd0fe54ae503c6990503c966f503c,966f503c,6990503c,6990503c,54ae503c,54ae503c,40ccd0fe,40ccd0fe,503c9671,503c9671,503c698e,503c698e,503cdc47,503cdc47,8c2ddc47,8c2ddc47
68,68,0,9670503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008706a5caf503c5caf503c698d503c96729bcbe54e299e503c698f503c9670503c,9670503c,698f503c,698f503c,299e503c,299e503c,9bcbe54e,9bcbe54e,503c9672,503c9672,503c698d,503c698d,503c5caf,503c5caf,706a5caf,706a5caf
69,69,0,9671503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008a9b8925d503c925d503c698c503c96736501d51e1efb503c698e503c9671503c,9671503c,698e503c,698e503c,1efb503c,1efb503c,6501d51e,6501d51e,503c9673,503c9673,503c698c,503c698c,503c925d,503c925d,a9b8925d,a9b8925d
70,70,0,9672503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008fd8a0c4e503c0c4e503c698b503c9674b66f2d5a2c8f503c698d503c9672503c,9672503c,698d503c,698d503c,2c8f503c,2c8f503c,b66f2d5a,b66f2d5a,503c9674,503c9674,503c698b,503c698b,503c0c4e,503c0c4e,fd8a0c4e,fd8a0c4e
71,71,0,9673503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008fc1a22b2503c22b2503c698a503c9675d4ed248e0801503c698c503c9673503c,9673503c,698c503c,698c503c,0801503c,0801503c,d4ed248e,d4ed248e,503c9675,503c9675,503c698a,503c698a,503c22b2,503c22b2,fc1a22b2,fc1a22b2
72,72,0,9674503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008c34e60ed503c60ed503c6989503c9676eee756e7bbc3503c698b503c9674503c,9674503c,698b503c,698b503c,bbc3503c,bbc3503c,eee756e7,eee756e7,503c9676,503c9676,503c6989,503c6989,503c60ed,503c60ed,c34e60ed,c34e60ed
73,73,0,9675503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008339dafc3503cafc3503c6988503c967737fef5e312b5503c698a503c9675503c,9675503c,698a503c,698a503c,12b5503c,12b5503c,37fef5e3,37fef5e3,503c9677,503c9677,503c6988,503c6988,503cafc3,503cafc3,339dafc3,339dafc3
74,74,0,9676503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000824386bc4503c6bc4503c6987503c9678243c4254bca1503c6989503c9676503c,9676503c,6989503c,6989503c,bca1503c,bca1503c,243c4254,243c4254,503c9678,503c9678,503c6987,503c6987,503c6bc4,503c6bc4,24386bc4,24386bc4
75,75,0,9677503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008189ccd23503ccd23503c6986503c9679253d9e96a2d4503c6988503c9677503c,9677503c,6988503c,6988503c,a2d4503c,a2d4503c,253d9e96,253d9e96,503c9679,503c9679,503c6986,503c6986,503ccd23,503ccd23,189ccd23,189ccd23
76,76,0,9678503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008d54618f6503c18f6503c6985503c967a42b7b6d41400503c6987503c9678503c,9678503c,6987503c,6987503c,1400503c,1400503c,42b7b6d4,42b7b6d4,503c967a,503c967a,503c6985,503c6985,503c18f6,503c18f6,d54618f6,d54618f6
