Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,962c503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ec668905503c8905503c69d1503c962ebbbdc3dea7ba503c69d3503c962c503c,962c503c,69d3503c,69d3503c,a7ba503c,a7ba503c,bbbdc3de,bbbdc3de,503c962e,503c962e,503c69d1,503c69d1,503c8905,503c8905,ec668905,ec668905
1,1,0,962d503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000087a4ed57f503cd57f503c69d0503c962f8d06c65361e9503c69d2503c962d503c,962d503c,69d2503c,69d2503c,61e9503c,61e9503c,8d06c653,8d06c653,503c962f,503c962f,503c69d0,503c69d0,503cd57f,503cd57f,7a4ed57f,7a4ed57f
2,2,0,962e503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000883485bdf503c5bdf503c69cf503c96306d8ef468f2ae503c69d1503c962e503c,962e503c,69d1503c,69d1503c,f2ae503c,f2ae503c,6d8ef468,6d8ef468,503c9630,503c9630,503c69cf,503c69cf,503c5bdf,503c5bdf,83485bdf,83485bdf
3,3,0,962f503c,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000088a3466f9503c66f9503c69ce503c96313eff89710785503c69d0503c962f503c,962f503c,69d0503c,69d0503c,0785503c,0785503c,3eff8971,3eff8971,503c9631,503c9631,503c69ce,503c69ce,503c66f9,503c66f9,8a3466f9,8a3466f9
4,4,0,9630503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008d464b66c503cb66c503c69cd503c96325e64706f8fe6503c69cf503c9630503c,9630503c,69cf503c,69cf503c,8fe6503c,8fe6503c,5e64706f,5e64706f,503c9632,503c9632,503c69cd,503c69cd,503cb66c,503cb66c,d464b66c,d464b66c
5,5,0,9631503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000802fe7fb2503c7fb2503c69cc503c963318e1bcc5d8b5503c69ce503c9631503c,9631503c,69ce503c,69ce503c,d8b5503c,d8b5503c,18e1bcc5,18e1bcc5,503c9633,503c9633,503c69cc,503c69cc,503c7fb2,503c7fb2,02fe7fb2,02fe7fb2
6,6,0,9632503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000084c75aafe503caafe503c69cb503c963427884ce29457503c69cd503c9632503c,9632503c,69cd503c,69cd503c,9457503c,9457503c,27884ce2,27884ce2,503c9634,503c9634,503c69cb,503c69cb,503caafe,503caafe,4c75aafe,4c75aafe
7,7,0,9633503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000088ebaaa5b503caa5b503c69ca503c963555d139a5b1e9503c69cc503c9633503c,9633503c,69cc503c,69cc503c,b1e9503c,b1e9503c,55d139a5,55d139a5,503c9635,503c9635,503c69ca,503c69ca,503caa5b,503caa5b,8ebaaa5b,8ebaaa5b
8,8,0,9634503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008fdaf15dc503c15dc503c69c9503c96363df1216df054503c69cb503c9634503c,9634503c,69cb503c,69cb503c,f054503c,f054503c,3df1216d,3df1216d,503c9636,503c9636,503c69c9,503c69c9,503c15dc,503c15dc,fdaf15dc,fdaf15dc
9,9,0,9635503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000884bf2365503c2365503c69c8503c96378ecca2415360503c69ca503c9635503c,9635503c,69ca503c,69ca503c,5360503c,5360503c,8ecca241,8ecca241,503c9637,503c9637,503c69c8,503c69c8,503c2365,503c2365,84bf2365,84bf2365
10,10,0,9636503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000883b84b05503c4b05503c69c7503c9638cba3b0cf7c6d503c69c9503c9636503c,9636503c,69c9503c,69c9503c,7c6d503c,7c6d503c,cba3b0cf,cba3b0cf,503c9638,503c9638,503c69c7,503c69c7,503c4b05,503c4b05,83b84b05,83b84b05
11,11,0,9637503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ca0862cf503c62cf503c69c6503c96399774d858a435503c69c8503c9637503c,9637503c,69c8503c,69c8503c,a435503c,a435503c,9774d858,9774d858,503c9639,503c9639,503c69c6,503c69c6,503c62cf,503c62cf,ca0862cf,ca0862cf
12,12,0,9638503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008f13bc3d8503cc3d8503c69c5503c963a818ca7e9d331503c69c7503c9638503c,9638503c,69c7503c,69c7503c,d331503c,d331503c,818ca7e9,818ca7e9,503c963a,503c963a,503c69c5,503c69c5,503cc3d8,503cc3d8,f13bc3d8,f13bc3d8
13,13,0,9639503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008c61cceb5503cceb5503c69c4503c963bb2c894c21865503c69c6503c9639503c,9639503c,69c6503c,69c6503c,1865503c,1865503c,b2c894c2,b2c894c2,503c963b,503c963b,503c69c4,503c69c4,503cceb5,503cceb5,c61cceb5,c61cceb5
14,14,0,963a503c,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000082a316896503c6896503c69c3503c963c94d604d0cc44503c69c5503c963a503c,963a503c,69c5503c,69c5503c,cc44503c,cc44503c,94d604d0,94d604d0,503c963c,503c963c,503c69c3,503c69c3,503c6896,503c6896,2a316896,2a316896
15,15,0,963b503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008687d1af2503c1af2503c69c2503c963da3edd0af06ab503c69c4503c963b503c,963b503c,69c4503c,69c4503c,06ab503c,06ab503c,a3edd0af,a3edd0af,503c963d,503c963d,503c69c2,503c69c2,503c1af2,503c1af2,687d1af2,687d1af2
16,16,0,963c503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008041ef9f6503cf9f6503c69c1503c963e807e1b2f1d84503c69c3503c963c503c,963c503c,69c3503c,69c3503c,1d84503c,1d84503c,807e1b2f,807e1b2f,503c963e,503c963e,503c69c1,503c69c1,503cf9f6,503cf9f6,041ef9f6,041ef9f6
17,17,0,963d503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008098ffeea503cfeea503c69c0503c963f23f80ee870f3503c69c2503c963d503c,963d503c,69c2503c,69c2503c,70f3503c,70f3503c,23f80ee8,23f80ee8,503c963f,503c963f,503c69c0,503c69c0,503cfeea,503cfeea,098ffeea,098ffeea
18,18,0,963e503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008a627bb3b503cbb3b503c69bf503c9640253a2eb8d6b6503c69c1503c963e503c,963e503c,69c1503c,69c1503c,d6b6503c,d6b6503c,253a2eb8,253a2eb8,503c9640,503c9640,503c69bf,503c69bf,503cbb3b,503cbb3b,a627bb3b,a627bb3b
19,19,0,963f503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008660a9b3e503c9b3e503c69be503c964193305f666548503c69c0503c963f503c,963f503c,69c0503c,69c0503c,6548503c,6548503c,93305f66,93305f66,503c9641,503c9641,503c69be,503c69be,503c9b3e,503c9b3e,660a9b3e,660a9b3e
20,20,0,9640503c,3b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089afc31e6503c31e6503c69bd503c964216d3add99d86503c69bf503c9640503c,9640503c,69bf503c,69bf503c,9d86503c,9d86503c,16d3add9,16d3add9,503c9642,503c9642,503c69bd,503c69bd,503c31e6,503c31e6,9afc31e6,9afc31e6
21,21,0,9641503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008dced323a503c323a503c69bc503c9643971f564ecbc8503c69be503c9641503c,9641503c,69be503c,69be503c,cbc8503c,cbc8503c,971f564e,971f564e,503c9643,503c9643,503c69bc,503c69bc,503c323a,503c323a,dced323a,dced323a
22,22,0,9642503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000878a7df7b503cdf7b503c69bb503c9644258452de4d88503c69bd503c9642503c,9642503c,69bd503c,69bd503c,4d88503c,4d88503c,258452de,258452de,503c9644,503c9644,503c69bb,503c69bb,503cdf7b,503cdf7b,78a7df7b,78a7df7b
23,23,0,9643503c,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000086a0c78a4503c78a4503c69ba503c964562ccd0fc54ae503c69bc503c9643503c,9643503c,69bc503c,69bc503c,54ae503c,54ae503c,62ccd0fc,62ccd0fc,503c9645,503c9645,503c69ba,503c69ba,503c78a4,503c78a4,6a0c78a4,6a0c78a4
24,24,0,9644503c,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008e0a15b79503c5b79503c69b9503c9646806440558c85503c69bb503c9644503c,9644503c,69bb503c,69bb503c,8c85503c,8c85503c,80644055,80644055,503c9646,503c9646,503c69b9,503c69b9,503c5b79,503c5b79,e0a15b79,e0a15b79
25,25,0,9645503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008eed0014d503c014d503c69b8503c964706e39ad8fe98503c69ba503c9645503c,9645503c,69ba503c,69ba503c,fe98503c,fe98503c,06e39ad8,06e39ad8,503c9647,503c9647,503c69b8,503c69b8,503c014d,503c014d,eed0014d,eed0014d
26,26,0,9646503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089ff044d2503c44d2503c69b7503c96486c7ccbb4352c503c69b9503c9646503c,9646503c,69b9503c,69b9503c,352c503c,352c503c,6c7ccbb4,6c7ccbb4,503c9648,503c9648,503c69b7,503c69b7,503c44d2,503c44d2,9ff044d2,9ff044d2
27,27,0,9647503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008a49f3de1503c3de1503c69b6503c96494d24731c0fd7503c69b8503c9647503c,9647503c,69b8503c,69b8503c,0fd7503c,0fd7503c,4d24731c,4d24731c,503c9649,503c9649,503c69b6,503c69b6,503c3de1,503c3de1,a49f3de1,a49f3de1
28,28,0,9648503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008b3fcacae503cacae503c69b5503c964a579ba9bb8dc8503c69b7503c9648503c,9648503c,69b7503c,69b7503c,8dc8503c,8dc8503c,579ba9bb,579ba9bb,503c964a,503c964a,503c69b5,503c69b5,503cacae,503cacae,b3fcacae,b3fcacae
29,29,0,9649503c,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000082865606a503c606a503c69b4503c964b93454574dedd503c69b6503c9649503c,9649503c,69b6503c,69b6503c,dedd503c,dedd503c,93454574,93454574,503c964b,503c964b,503c69b4,503c69b4,503c606a,503c606a,2865606a,2865606a
30,30,0,964a503c,3b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000083fade0ab503ce0ab503c69b3503c964c5df7d79392d6503c69b5503c964a503c,964a503c,69b5503c,69b5503c,92d6503c,92d6503c,5df7d793,5df7d793,503c964c,503c964c,503c69b3,503c69b3,503ce0ab,503ce0ab,3fade0ab,3fade0ab
31,31,0,964b503c,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008fbcef750503cf750503c69b2503c964d3cd031afa379503c69b4503c964b503c,964b503c,69b4503c,69b4503c,a379503c,a379503c,3cd031af,3cd031af,503c964d,503c964d,503c69b2,503c69b2,503cf750,503cf750,fbcef750,fbcef750
32,32,0,964c503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000882d35d95503c5d95503c69b1503c964e758f3d93eda2503c69b3503c964c503c,964c503c,69b3503c,69b3503c,eda2503c,eda2503c,758f3d93,758f3d93,503c964e,503c964e,503c69b1,503c69b1,503c5d95,503c5d95,82d35d95,82d35d95
33,33,0,964d503c,2a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000086260125c503c125c503c69b0503c964f51cab14b3e76503c69b2503c964d503c,964d503c,69b2503c,69b2503c,3e76503c,3e76503c,51cab14b,51cab14b,503c964f,503c964f,503c69b0,503c69b0,503c125c,503c125c,6260125c,6260125c
34,34,0,964e503c,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000852e92057503c2057503c69af503c96502ff13b70f1c1503c69b1503c964e503c,964e503c,69b1503c,69b1503c,f1c1503c,f1c1503c,2ff13b70,2ff13b70,503c9650,503c9650,503c69af,503c69af,503c2057,503c2057,52e92057,52e92057
35,35,0,964f503c,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000865c53044503c3044503c69ae503c965105723634c70f503c69b0503c964f503c,964f503c,69b0503c,69b0503c,c70f503c,c70f503c,05723634,05723634,503c9651,503c9651,503c69ae,503c69ae,503c3044,503c3044,65c53044,65c53044
36,36,0,9650503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000883aa2fc7503c2fc7503c69ad503c9652c58e38f1fffe503c69af503c9650503c,9650503c,69af503c,69af503c,fffe503c,fffe503c,c58e38f1,c58e38f1,503c9652,503c9652,503c69ad,503c69ad,503c2fc7,503c2fc7,83aa2fc7,83aa2fc7
37,37,0,9651503c,2b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089923d086503cd086503c69ac503c9653179390191e21503c69ae503c9651503c,9651503c,69ae503c,69ae503c,1e21503c,1e21503c,17939019,17939019,503c9653,503c9653,503c69ac,503c69ac,503cd086,503cd086,9923d086,9923d086
38,38,0,9652503c,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008614f49de503c49de503c69ab503c965479725215c185503c69ad503c9652503c,9652503c,69ad503c,69ad503c,c185503c,c185503c,79725215,79725215,503c9654,503c9654,503c69ab,503c69ab,503c49de,503c49de,614f49de,614f49de
39,39,0,9653503c,3a0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000089263b31e503cb31e503c69aa503c965543c2da42a810503c69ac503c9653503c,9653503c,69ac503c,69ac503c,a810503c,a810503c,43c2da42,43c2da42,503c9655,503c9655,503c69aa,503c69aa,503cb31e,503cb31e,9263b31e,9263b31e
40,40,0,9654503c,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000008ac0adbbf503cdbbf503c69a9503c9656a669895d4b87503c69ab503c9654503c,9654503c,69ab503c,69ab503c,4b87503c,4b87503c,a669895d,a669895d,503c9656,503c9656,503c69a9,503c69a9,503cdbbf,503cdbbf,ac0adbbf,ac0adbbf
41,41,0,9655503c,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000869d673d6503c73d6503c69a8503c965725331c7857ff503c69aa503c9655503c,9655503c,69aa503c,69aa503c,57ff503c,57ff503c,25331c78,25331c78,503c9657,503c9657,503c69a8,503c69a8,503c73d6,503c73d6,69d673d6,69d673d6
