Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
257,257,0,064cc646c63f86391a5545f6a700000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582f3ba09238503c9238503c9238503c9238503c3c503c503c503c503c503c503c503c50,3c503c50,3c503c50,3c503c50,3c503c50,9238503c,9238503c,9238503c,9238503c,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517da9c,18e4,18fe,191b,1933
258,258,0,064e86488641463ada5545f6a900000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb0c91c503cc91c503cc91c503cc91c503c9e503c289e503c289e503c289e503c28,9e503c28,9e503c28,9e503c28,9e503c28,c91c503c,c91c503c,c91c503c,c91c503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517daa4,18eb,1905,1922,193a
259,259,0,0650864a8643463cda5545f6ab00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fabb017ca503c17ca503c17ca503c17ca503c30503c4030503c4030503c4030503c40,30503c40,30503c40,30503c40,30503c40,17ca503c,17ca503c,17ca503c,17ca503c,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517daac,18f3,190d,192a,1942
260,260,0,0652464c4645063e9a5545f6acc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582ea2b00be5503c0be5503c0be5503c0be5503c18503c2018503c2018503c2018503c20,18503c20,18503c20,18503c20,18503c20,0be5503c,0be5503c,0be5503c,0be5503c,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dab3,18fa,1914,1931,1949
261,261,0,0654464e464706409a5545f6aec0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22a085f2503c85f2503c85f2503c85f2503c0c503c100c503c100c503c100c503c10,0c503c10,0c503c10,0c503c10,0c503c10,85f2503c,85f2503c,85f2503c,85f2503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dabb,1902,191c,1939,1951
262,262,0,06564650464906429a5545f6b0c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582f3ba0c2f9503cc2f9503cc2f9503cc2f9503c86503c0886503c0886503c0886503c08,86503c08,86503c08,86503c08,86503c08,c2f9503c,c2f9503c,c2f9503c,c2f9503c,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dac3,190a,1924,1941,1959
263,263,0,06584652464b06449a5545f6b2c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb0e17c503ce17c503ce17c503ce17c503c43503c0443503c0443503c0443503c04,43503c04,43503c04,43503c04,43503c04,e17c503c,e17c503c,e17c503c,e17c503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dacb,1912,192c,1949,1961
264,264,0,065a4654464d06469a5545f6b4c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fabb05734503c5734503c5734503c5734503c07503cf507503cf507503cf507503cf5,07503cf5,07503cf5,07503cf5,07503cf5,5734503c,5734503c,5734503c,5734503c,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dad3,191a,1934,1951,1969
265,265,0,065c0656064ec6485a5545f6b680000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582ea2b02b9a503c2b9a503c2b9a503c2b9a503c03503cfa03503cfa03503cfa03503cfa,03503cfa,03503cfa,03503cfa,03503cfa,2b9a503c,2b9a503c,2b9a503c,2b9a503c,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dada,1921,193b,1958,1970
266,266,0,065e06580650c64a5a5545f6b880000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22a095cd503c95cd503c95cd503c95cd503c81503cfd81503cfd81503cfd81503cfd,81503cfd,81503cfd,81503cfd,81503cfd,95cd503c,95cd503c,95cd503c,95cd503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,695517dae2,1929,1943,1960,1978
