Sample in Buffer,Sample in Window,TRIGGER,ila_data[513:0],userdata_rx_0[31:0],receiver_0[31:0],userdata_rx_1[31:0],receiver_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,ch0_rxctrl0_int[15:0],hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],ch0_rxctrl1_int[15:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],ch1_rxctrl1_int[15:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],ch2_rxctrl1_int[15:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],ch3_rxctrl1_int[15:0],txpostcursor_int[19:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],txprecursor_int[19:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],drpdo_int[63:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
354,354,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbba0c28b503c3d74503c6145503c9eba503cc28f503c3d70503c6147503c9eb8503c,9eb8503c,9eb8503c,6147503c,6147503c,3d70503c,3d70503c,c28f503c,c28f503c,9eba503c,9eba503c,6145503c,6145503c,3d74503c,3d74503c,c28b503c,c28b503c,0,0,fbba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
355,355,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3b0c289503c3d76503c6144503c9ebb503cc28d503c3d72503c6146503c9eb9503c,9eb9503c,9eb9503c,6146503c,6146503c,3d72503c,3d72503c,c28d503c,c28d503c,9ebb503c,9ebb503c,6144503c,6144503c,3d76503c,3d76503c,c289503c,c289503c,0,1,fa3b,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
356,356,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0c287503c3d78503c6143503c9ebc503cc28b503c3d74503c6145503c9eba503c,9eba503c,9eba503c,6145503c,6145503c,3d74503c,3d74503c,c28b503c,c28b503c,9ebc503c,9ebc503c,6143503c,6143503c,3d78503c,3d78503c,c287503c,c287503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
357,357,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0c285503c3d7a503c6142503c9ebd503cc289503c3d76503c6144503c9ebb503c,9ebb503c,9ebb503c,6144503c,6144503c,3d76503c,3d76503c,c289503c,c289503c,9ebd503c,9ebd503c,6142503c,6142503c,3d7a503c,3d7a503c,c285503c,c285503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
358,358,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0c283503c3d7c503c6141503c9ebe503cc287503c3d78503c6143503c9ebc503c,9ebc503c,9ebc503c,6143503c,6143503c,3d78503c,3d78503c,c287503c,c287503c,9ebe503c,9ebe503c,6141503c,6141503c,3d7c503c,3d7c503c,c283503c,c283503c,0,0,e3ba,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
359,359,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbba0c281503c3d7e503c6140503c9ebf503cc285503c3d7a503c6142503c9ebd503c,9ebd503c,9ebd503c,6142503c,6142503c,3d7a503c,3d7a503c,c285503c,c285503c,9ebf503c,9ebf503c,6140503c,6140503c,3d7e503c,3d7e503c,c281503c,c281503c,0,0,fbba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
360,360,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3b0c27f503c3d80503c613f503c9ec0503cc283503c3d7c503c6141503c9ebe503c,9ebe503c,9ebe503c,6141503c,6141503c,3d7c503c,3d7c503c,c283503c,c283503c,9ec0503c,9ec0503c,613f503c,613f503c,3d80503c,3d80503c,c27f503c,c27f503c,0,1,fa3b,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
361,361,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0c27d503c3d82503c613e503c9ec1503cc281503c3d7e503c6140503c9ebf503c,9ebf503c,9ebf503c,6140503c,6140503c,3d7e503c,3d7e503c,c281503c,c281503c,9ec1503c,9ec1503c,613e503c,613e503c,3d82503c,3d82503c,c27d503c,c27d503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
362,362,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e22a0c27b503c3d84503c613d503c9ec2503cc27f503c3d80503c613f503c9ec0503c,9ec0503c,9ec0503c,613f503c,613f503c,3d80503c,3d80503c,c27f503c,c27f503c,9ec2503c,9ec2503c,613d503c,613d503c,3d84503c,3d84503c,c27b503c,c27b503c,0,0,e22a,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
363,363,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0c279503c3d86503c613c503c9ec3503cc27d503c3d82503c613e503c9ec1503c,9ec1503c,9ec1503c,613e503c,613e503c,3d82503c,3d82503c,c27d503c,c27d503c,9ec3503c,9ec3503c,613c503c,613c503c,3d86503c,3d86503c,c279503c,c279503c,0,0,e3ba,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
364,364,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbba0c277503c3d88503c613b503c9ec4503cc27b503c3d84503c613d503c9ec2503c,9ec2503c,9ec2503c,613d503c,613d503c,3d84503c,3d84503c,c27b503c,c27b503c,9ec4503c,9ec4503c,613b503c,613b503c,3d88503c,3d88503c,c277503c,c277503c,0,0,fbba,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
365,365,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3b0c275503c3d8a503c613a503c9ec5503cc279503c3d86503c613c503c9ec3503c,9ec3503c,9ec3503c,613c503c,613c503c,3d86503c,3d86503c,c279503c,c279503c,9ec5503c,9ec5503c,613a503c,613a503c,3d8a503c,3d8a503c,c275503c,c275503c,0,1,fa3b,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
366,366,0,3fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0c273503c3d8c503c6139503c9ec6503cc277503c3d88503c613b503c9ec4503c,9ec4503c,9ec4503c,613b503c,613b503c,3d88503c,3d88503c,c277503c,c277503c,9ec6503c,9ec6503c,6139503c,6139503c,3d8c503c,3d8c503c,c273503c,c273503c,0,1,fa2b,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,0582,160b,0030,c,0,0,0,ffc0,0,f,f,f,03ff,f,f,000,33c0,f,cccc,0333,00000,00,00,00000,00,00,00,0000000000000000,00,00,00,0000,0000,3fc0,0,f,f,0,0,f,f
