Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2c1cf118d44e2a72058246a4b140000000000000000000000000000000000000003c3e3c3c00000000000200030000000000000002000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b395cd13c595cd13c595cd13c595cd13c5e03c811d95e03c819637b5b29637b5b2,9637b5b2,9637b5b2,95e03c81,e03c811d,95cd13c5,95cd13c5,95cd13c5,95cd13c5,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0008,0000,0000,0000,000c,0008,00,00,00,00,f0,f0,f8,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92c5,a9c8,5138,c463,b073
1,1,0,2c1d3119144e2a72058246a4b180000000000000000000000000000000000000003d7cbc3c00000000000140028000000000014000800000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b3d6c91c2fd6c91c2fd6c91c2fd6c91c2f54424a953f54424a07f54cee07f54cee,07f54cee,07f54cee,3f54424a,54424a95,d6c91c2f,d6c91c2f,d6c91c2f,d6c91c2f,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0002,0005,0000,0000,000a,0005,00,00,00,00,f0,f0,f2,f5,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92c6,a9c8,5138,c464,b074
2,2,0,2c1d7119544e2a72058246a4b1c0000000000000000000000000000000000000003ebd7c3c00000000000040000000000000028001400000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2b333ba58de33ba58de33ba58de33ba58dec342603fa9c34260a278a182a278a182,a278a182,a278a182,a9c34260,c342603f,33ba58de,33ba58de,33ba58de,33ba58de,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0005,000a,0000,0000,0000,0001,00,00,00,00,f0,f0,f5,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92c7,a9c8,5138,c465,b075
3,3,0,2c1db119944e2a72058246a4b200000000000000000000000000000000000000003c3c3c3c00000000000080004000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2b386081fd586081fd586081fd586081fd5093d12a99f093d122385f2b92385f2b9,2385f2b9,2385f2b9,9f093d12,093d12a9,86081fd5,86081fd5,86081fd5,86081fd5,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0001,0002,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92c8,a9c8,5138,c466,b076
4,4,0,2c1df119d44e2a72058246a4b240000000000000000000000000000000000000003c3c3c3c00000000000300018000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2b3cae689e2cae689e2cae689e2cae689e27d6cc29f787d6cc24b1bdad94b1bdad9,4b1bdad9,4b1bdad9,787d6cc2,7d6cc29f,cae689e2,cae689e2,cae689e2,cae689e2,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0006,000c,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92c9,a9c8,5138,c467,b077
5,5,0,2c1e311a144e2a72058246a4b280000000000000000000000000000000000000003c3c3c3c00000000000300038000000000020001000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2b36b648e176b648e176b648e176b648e17fe6373780ffe637303faa67703faa677,03faa677,03faa677,0ffe6373,fe637378,6b648e17,6b648e17,6b648e17,6b648e17,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0004,0008,0000,0000,000e,000c,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92ca,a9c8,5138,c468,b078
6,6,0,2c1e711a544e2a72058246a4b2c0000000000000000000000000000000000000003c3c3c3c00000000000240010000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b399dd2c6f99dd2c6f99dd2c6f99dd2c6f9b82710fb19b8271d13c50c1d13c50c1,d13c50c1,d13c50c1,b19b8271,9b82710f,99dd2c6f,99dd2c6f,99dd2c6f,99dd2c6f,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0004,0009,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92cb,a9c8,5138,c469,b079
7,7,0,2c1eb11a944e2a72058246a4b300000000000000000000000000000000000000003c3c3c3c00000000000080004000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b343040fea43040fea43040fea43040fead885ebb163d885eb91c2f95c91c2f95c,91c2f95c,91c2f95c,63d885eb,d885ebb1,43040fea,43040fea,43040fea,43040fea,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0001,0002,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92cc,a9c8,5138,c46a,b07a
8,8,0,2c1ef11ad44e2a72058246a4b340000000000000000000000000000000000000003e3d3c3c00000000000200010000000000020001000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2b3e57344f1e57344f1e57344f1e57344f18b138d63a58b138da58ded6ca58ded6c,a58ded6c,a58ded6c,a58b138d,8b138d63,e57344f1,e57344f1,e57344f1,e57344f1,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0004,0008,0000,0000,0004,0008,00,00,00,00,f0,f0,f4,f8,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,16091a92cd,a9c8,5138,c46b,b07b
