Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
193,193,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbf7a4b70ae6a4850be7a4a60befa4b50bae9c2a8cde9c2a8cde9c2a8cde9c2a8cd,e9c2a8cd,e9c2a8cd,e9c2a8cd,e9c2a8cd,fa4b50ba,7a4a60be,6a4850be,7a4b70ae,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
194,194,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bfa8eaf724a8eaf724a8eaf724a8eaf724bf94bc42bf94bc42bf94bc42bf94bc42,bf94bc42,bf94bc42,bf94bc42,bf94bc42,a8eaf724,a8eaf724,a8eaf724,a8eaf724,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
195,195,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22af31533e1731533e1731533e1731533e17ee8c8159ee8c8159ee8c8159ee8c8159,ee8c8159,ee8c8159,ee8c8159,ee8c8159,31533e17,31533e17,31533e17,31533e17,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
196,196,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e33afde8dffd4de8dffd4de8dffd4de8dffd45f4004385f4004385f4004385f400438,5f400438,5f400438,5f400438,5f400438,de8dffd4,de8dffd4,de8dffd4,de8dffd4,f,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
197,197,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf0a70ade80a70ade80a70ade80a70ade88a0b425b8a0b425b8a0b425b8a0b425b,8a0b425b,8a0b425b,8a0b425b,8a0b425b,0a70ade8,0a70ade8,0a70ade8,0a70ade8,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
198,198,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fabbf0d73f8c81d7af9c20d78e9ca1d797ccc2e6c4a2e2e6c4a2e2e6c4a2e2e6c4a2e,2e6c4a2e,2e6c4a2e,2e6c4a2e,2e6c4a2e,1d797ccc,0d78e9ca,1d7af9c2,0d73f8c8,f,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
199,199,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582ea2bf7877a9817877a9817877a9817877a981fffe8dfffffe8dfffffe8dfffffe8dff,fffe8dff,fffe8dff,fffe8dff,fffe8dff,7877a981,7877a981,7877a981,7877a981,f,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
200,200,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e22af6cc4d9f16cc4d9f16cc4d9f16cc4d9f1dfff50addfff50addfff50addfff50ad,dfff50ad,dfff50ad,dfff50ad,dfff50ad,6cc4d9f1,6cc4d9f1,6cc4d9f1,6cc4d9f1,f,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
201,201,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf28c2e5be28c2e5be28c2e5be28c2e5be71dfa20c71dfa20c71dfa20c71dfa20c,71dfa20c,71dfa20c,71dfa20c,71dfa20c,28c2e5be,28c2e5be,28c2e5be,28c2e5be,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
202,202,0,000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fbbbf5dc59e615dc59e615dc59e615dc59e61f683f484f683f484f683f484f683f484,f683f484,f683f484,f683f484,f683f484,5dc59e61,5dc59e61,5dc59e61,5dc59e61,f,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000000000,0000,0000,0000,0000
