Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[255:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,fa44503c,5b491c6b503c1c6b503c05b9503cfa46e56aa09d6aa0503c05bb503cfa44503c,fa44503c,05bb503c,05bb503c,6aa0503c,6aa0503c,e56aa09d,e56aa09d,503cfa46,503cfa46,503c05b9,503c05b9,503c1c6b,503c1c6b,5b491c6b,5b491c6b
1,1,0,fa45503c,76db4b39503c4b39503c05b8503cfa4765781b24781b503c05ba503cfa45503c,fa45503c,05ba503c,05ba503c,781b503c,781b503c,65781b24,65781b24,503cfa47,503cfa47,503c05b8,503c05b8,503c4b39,503c4b39,76db4b39,76db4b39
2,2,0,fa46503c,3ee54599503c4599503c05b7503cfa48fac4bbfed4b3503c05b9503cfa46503c,fa46503c,05b9503c,05b9503c,d4b3503c,d4b3503c,fac4bbfe,fac4bbfe,503cfa48,503cfa48,503c05b7,503c05b7,503c4599,503c4599,3ee54599,3ee54599
3,3,0,fa47503c,03ae209a503c209a503c05b6503cfa498d339a25339a503c05b8503cfa47503c,fa47503c,05b8503c,05b8503c,339a503c,339a503c,8d339a25,8d339a25,503cfa49,503cfa49,503c05b6,503c05b6,503c209a,503c209a,03ae209a,03ae209a
4,4,0,fa48503c,34296a51503c6a51503c05b5503cfa4acdca07ebca07503c05b7503cfa48503c,fa48503c,05b7503c,05b7503c,ca07503c,ca07503c,cdca07eb,cdca07eb,503cfa4a,503cfa4a,503c05b5,503c05b5,503c6a51,503c6a51,34296a51,34296a51
5,5,0,fa49503c,49351268503c1268503c05b4503cfa4bb1b5fe1ab5fe503c05b6503cfa49503c,fa49503c,05b6503c,05b6503c,b5fe503c,b5fe503c,b1b5fe1a,b1b5fe1a,503cfa4b,503cfa4b,503c05b4,503c05b4,503c1268,503c1268,49351268,49351268
6,6,0,fa4a503c,8d8a888b503c888b503c05b3503cfa4c60763a28763a503c05b5503cfa4a503c,fa4a503c,05b5503c,05b5503c,763a503c,763a503c,60763a28,60763a28,503cfa4c,503cfa4c,503c05b3,503c05b3,503c888b,503c888b,8d8a888b,8d8a888b
7,7,0,fa4b503c,706be379503ce379503c05b2503cfa4d2907b301179b503c05b4503cfa4b503c,fa4b503c,05b4503c,05b4503c,179b503c,179b503c,2907b301,2907b301,503cfa4d,503cfa4d,503c05b2,503c05b2,503ce379,503ce379,706be379,706be379
8,8,0,fa4c503c,959401ec503c01ec503c05b1503cfa4e234b01a24b01503c05b3503cfa4c503c,fa4c503c,05b3503c,05b3503c,4b01503c,4b01503c,234b01a2,234b01a2,503cfa4e,503cfa4e,503c05b1,503c05b1,503c01ec,503c01ec,959401ec,959401ec
9,9,0,fa4d503c,397073db503c73db503c05b0503cfa4fc7d1f797d1f7503c05b2503cfa4d503c,fa4d503c,05b2503c,05b2503c,d1f7503c,d1f7503c,c7d1f797,c7d1f797,503cfa4f,503cfa4f,503c05b0,503c05b0,503c73db,503c73db,397073db,397073db
10,10,0,fa4e503c,b8c4b234503cb234503c05af503cfa50bd6bbd586bbd503c05b1503cfa4e503c,fa4e503c,05b1503c,05b1503c,6bbd503c,6bbd503c,bd6bbd58,bd6bbd58,503cfa50,503cfa50,503c05af,503c05af,503cb234,503cb234,b8c4b234,b8c4b234
11,11,0,fa4f503c,2d31bc0a503cbc0a503c05ae503cfa514561b3e461b3503c05b0503cfa4f503c,fa4f503c,05b0503c,05b0503c,61b3503c,61b3503c,4561b3e4,4561b3e4,503cfa51,503cfa51,503c05ae,503c05ae,503cbc0a,503cbc0a,2d31bc0a,2d31bc0a
12,12,0,fa50503c,1552bf31503cbf31503c05ad503cfa527fde9dbbde8d503c05af503cfa50503c,fa50503c,05af503c,05af503c,de8d503c,de8d503c,7fde9dbb,7fde9dbb,503cfa52,503cfa52,503c05ad,503c05ad,503cbf31,503cbf31,1552bf31,1552bf31
13,13,0,fa51503c,016be730503ce730503c05ac503cfa531149d02f49d0503c05ae503cfa51503c,fa51503c,05ae503c,05ae503c,49d0503c,49d0503c,1149d02f,1149d02f,503cfa53,503cfa53,503c05ac,503c05ac,503ce730,503ce730,016be730,016be730
14,14,0,fa52503c,1fc2c247503cc247503c05ab503cfa541a8c99758c99503c05ad503cfa52503c,fa52503c,05ad503c,05ad503c,8c99503c,8c99503c,1a8c9975,1a8c9975,503cfa54,503cfa54,503c05ab,503c05ab,503cc247,503cc247,1fc2c247,1fc2c247
15,15,0,fa53503c,1eceb4e5503cb4e5503c05aa503cfa551b94ebf194eb503c05ac503cfa53503c,fa53503c,05ac503c,05ac503c,94eb503c,94eb503c,1b94ebf1,1b94ebf1,503cfa55,503cfa55,503c05aa,503c05aa,503cb4e5,503cb4e5,1eceb4e5,1eceb4e5
16,16,0,fa54503c,06757364503c7364503c05a9503cfa560670733e7073503c05ab503cfa54503c,fa54503c,05ab503c,05ab503c,7073503c,7073503c,0670733e,0670733e,503cfa56,503cfa56,503c05a9,503c05a9,503c7364,503c7364,06757364,06757364
17,17,0,fa55503c,fe1bfd5c503cfd5c503c05a8503cfa573e8f2b100f2b503c05aa503cfa55503c,fa55503c,05aa503c,05aa503c,0f2b503c,0f2b503c,3e8f2b10,3e8f2b10,503cfa57,503cfa57,503c05a8,503c05a8,503cfd5c,503cfd5c,fe1bfd5c,fe1bfd5c
18,18,0,fa56503c,c91e5195503c5195503c05a7503cfa58335dfb6b5dfb503c05a9503cfa56503c,fa56503c,05a9503c,05a9503c,5dfb503c,5dfb503c,335dfb6b,335dfb6b,503cfa58,503cfa58,503c05a7,503c05a7,503c5195,503c5195,c91e5195,c91e5195
19,19,0,fa57503c,404d51ec503c51ec503c05a6503cfa59e3c849f7c849503c05a8503cfa57503c,fa57503c,05a8503c,05a8503c,c849503c,c849503c,e3c849f7,e3c849f7,503cfa59,503cfa59,503c05a6,503c05a6,503c51ec,503c51ec,404d51ec,404d51ec
20,20,0,fa58503c,f28d8ea6503c8ea6503c05a5503cfa5adc93d2c093d2503c05a7503cfa58503c,fa58503c,05a7503c,05a7503c,93d2503c,93d2503c,dc93d2c0,dc93d2c0,503cfa5a,503cfa5a,503c05a5,503c05a5,503c8ea6,503c8ea6,f28d8ea6,f28d8ea6
21,21,0,fa59503c,5d90a6a9503ca6a9503c05a4503cfa5b83e50955e509503c05a6503cfa59503c,fa59503c,05a6503c,05a6503c,e509503c,e509503c,83e50955,83e50955,503cfa5b,503cfa5b,503c05a4,503c05a4,503ca6a9,503ca6a9,5d90a6a9,5d90a6a9
22,22,0,fa5a503c,d2d56cb4503c6cb4503c05a3503cfa5c7e27a72bb78f503c05a5503cfa5a503c,fa5a503c,05a5503c,05a5503c,b78f503c,b78f503c,7e27a72b,7e27a72b,503cfa5c,503cfa5c,503c05a3,503c05a3,503c6cb4,503c6cb4,d2d56cb4,d2d56cb4
23,23,0,fa5b503c,ed8b5f59503c5f59503c05a2503cfa5da308bd0508bd503c05a4503cfa5b503c,fa5b503c,05a4503c,05a4503c,08bd503c,08bd503c,a308bd05,a308bd05,503cfa5d,503cfa5d,503c05a2,503c05a2,503c5f59,503c5f59,ed8b5f59,ed8b5f59
24,24,0,fa5c503c,e20909d1503c09d1503c05a1503cfa5ee243b49d43b4503c05a3503cfa5c503c,fa5c503c,05a3503c,05a3503c,43b4503c,43b4503c,e243b49d,e243b49d,503cfa5e,503cfa5e,503c05a1,503c05a1,503c09d1,503c09d1,e20909d1,e20909d1
25,25,0,fa5d503c,471dec10503cec10503c05a0503cfa5fc60eb5870eb5503c05a2503cfa5d503c,fa5d503c,05a2503c,05a2503c,0eb5503c,0eb5503c,c60eb587,c60eb587,503cfa5f,503cfa5f,503c05a0,503c05a0,503cec10,503cec10,471dec10,471dec10
26,26,0,fa5e503c,1718a6cd503ca6cd503c059f503cfa60848777298777503c05a1503cfa5e503c,fa5e503c,05a1503c,05a1503c,8777503c,8777503c,84877729,84877729,503cfa60,503cfa60,503c059f,503c059f,503ca6cd,503ca6cd,1718a6cd,1718a6cd
27,27,0,fa5f503c,9ce0d44a503cd44a503c059e503cfa61ce0efbc70efa503c05a0503cfa5f503c,fa5f503c,05a0503c,05a0503c,0efa503c,0efa503c,ce0efbc7,ce0efbc7,503cfa61,503cfa61,503c059e,503c059e,503cd44a,503cd44a,9ce0d44a,9ce0d44a
28,28,0,fa60503c,85a6efcf503cefcf503c059d503cfa6247336eda336e503c059f503cfa60503c,fa60503c,059f503c,059f503c,336e503c,336e503c,47336eda,47336eda,503cfa62,503cfa62,503c059d,503c059d,503cefcf,503cefcf,85a6efcf,85a6efcf
29,29,0,fa61503c,b5b5948e503c948e503c059c503cfa6347b36390b363503c059e503cfa61503c,fa61503c,059e503c,059e503c,b363503c,b363503c,47b36390,47b36390,503cfa63,503cfa63,503c059c,503c059c,503c948e,503c948e,b5b5948e,b5b5948e
30,30,0,fa62503c,f8c8ae2a503cae2a503c059b503cfa64afe61eb5e61e503c059d503cfa62503c,fa62503c,059d503c,059d503c,e61e503c,e61e503c,afe61eb5,afe61eb5,503cfa64,503cfa64,503c059b,503c059b,503cae2a,503cae2a,f8c8ae2a,f8c8ae2a
31,31,0,fa63503c,dc894ede503c4ede503c059a503cfa65a8789ecf789e503c059c503cfa63503c,fa63503c,059c503c,059c503c,789e503c,789e503c,a8789ecf,a8789ecf,503cfa65,503cfa65,503c059a,503c059a,503c4ede,503c4ede,dc894ede,dc894ede
32,32,0,fa64503c,a2b2c0c3503cc0c3503c0599503cfa66b09fa46f8fac503c059b503cfa64503c,fa64503c,059b503c,059b503c,8fac503c,8fac503c,b09fa46f,b09fa46f,503cfa66,503cfa66,503c0599,503c0599,503cc0c3,503cc0c3,a2b2c0c3,a2b2c0c3
33,33,0,fa65503c,97331e54503c1e54503c0598503cfa674a9c61689c61503c059a503cfa65503c,fa65503c,059a503c,059a503c,9c61503c,9c61503c,4a9c6168,4a9c6168,503cfa67,503cfa67,503c0598,503c0598,503c1e54,503c1e54,97331e54,97331e54
34,34,0,fa66503c,6052bdbe503cbdbe503c0597503cfa68ef627f69627f503c0599503cfa66503c,fa66503c,0599503c,0599503c,627f503c,627f503c,ef627f69,ef627f69,503cfa68,503cfa68,503c0597,503c0597,503cbdbe,503cbdbe,6052bdbe,6052bdbe
35,35,0,fa67503c,0ad86436503c6436503c0596503cfa69868ada6d8ada503c0598503cfa67503c,fa67503c,0598503c,0598503c,8ada503c,8ada503c,868ada6d,868ada6d,503cfa69,503cfa69,503c0596,503c0596,503c6436,503c6436,0ad86436,0ad86436
36,36,0,fa68503c,aaf03ba9503c3ba9503c0595503cfa6a9a1394b81394503c0597503cfa68503c,fa68503c,0597503c,0597503c,1394503c,1394503c,9a1394b8,9a1394b8,503cfa6a,503cfa6a,503c0595,503c0595,503c3ba9,503c3ba9,aaf03ba9,aaf03ba9
37,37,0,fa69503c,0394901a503c901a503c0594503cfa6b90eb4d086b69503c0596503cfa69503c,fa69503c,0596503c,0596503c,6b69503c,6b69503c,90eb4d08,90eb4d08,503cfa6b,503cfa6b,503c0594,503c0594,503c901a,503c901a,0394901a,0394901a
38,38,0,fa6a503c,1540ef0f503cef0f503c0593503cfa6caa407c63407c503c0595503cfa6a503c,fa6a503c,0595503c,0595503c,407c503c,407c503c,aa407c63,aa407c63,503cfa6c,503cfa6c,503c0593,503c0593,503cef0f,503cef0f,1540ef0f,1540ef0f
39,39,0,fa6b503c,343ed04b503cd04b503c0592503cfa6d533fc3c73fc3503c0594503cfa6b503c,fa6b503c,0594503c,0594503c,3fc3503c,3fc3503c,533fc3c7,533fc3c7,503cfa6d,503cfa6d,503c0592,503c0592,503cd04b,503cd04b,343ed04b,343ed04b
40,40,0,fa6c503c,71cb1975503c1975503c0591503cfa6e1252b1bb52b1503c0593503cfa6c503c,fa6c503c,0593503c,0593503c,52b1503c,52b1503c,1252b1bb,1252b1bb,503cfa6e,503cfa6e,503c0591,503c0591,503c1975,503c1975,71cb1975,71cb1975
41,41,0,fa6d503c,936118a2503c18a2503c0590503cfa6fe6b47d93b47d503c0592503cfa6d503c,fa6d503c,0592503c,0592503c,b47d503c,b47d503c,e6b47d93,e6b47d93,503cfa6f,503cfa6f,503c0590,503c0590,503c18a2,503c18a2,936118a2,936118a2
42,42,0,fa6e503c,99322724503c2724503c058f503cfa70f46878576858503c0591503cfa6e503c,fa6e503c,0591503c,0591503c,6858503c,6858503c,f4687857,f4687857,503cfa70,503cfa70,503c058f,503c058f,503c2724,503c2724,99322724,99322724
43,43,0,fa6f503c,b4804290503c4290503c058e503cfa71b39af2b69af2503c0590503cfa6f503c,fa6f503c,0590503c,0590503c,9af2503c,9af2503c,b39af2b6,b39af2b6,503cfa71,503cfa71,503c058e,503c058e,503c4290,503c4290,b4804290,b4804290
44,44,0,fa70503c,588d4e3d503c4e3d503c058d503cfa7206d30c28d30c503c058f503cfa70503c,fa70503c,058f503c,058f503c,d30c503c,d30c503c,06d30c28,06d30c28,503cfa72,503cfa72,503c058d,503c058d,503c4e3d,503c4e3d,588d4e3d,588d4e3d
45,45,0,fa71503c,330e76cf503c76cf503c058c503cfa73be92db0a92db503c058e503cfa71503c,fa71503c,058e503c,058e503c,92db503c,92db503c,be92db0a,be92db0a,503cfa73,503cfa73,503c058c,503c058c,503c76cf,503c76cf,330e76cf,330e76cf
46,46,0,fa72503c,da25150c503c150c503c058b503cfa74465748c65748503c058d503cfa72503c,fa72503c,058d503c,058d503c,5748503c,5748503c,465748c6,465748c6,503cfa74,503cfa74,503c058b,503c058b,503c150c,503c150c,da25150c,da25150c
47,47,0,fa73503c,3b1dc2bb503cc2bb503c058a503cfa75283a0ece2a0e503c058c503cfa73503c,fa73503c,058c503c,058c503c,2a0e503c,2a0e503c,283a0ece,283a0ece,503cfa75,503cfa75,503c058a,503c058a,503cc2bb,503cc2bb,3b1dc2bb,3b1dc2bb
48,48,0,fa74503c,7203ddc9503cddc9503c0589503cfa765d46da1b46da503c058b503cfa74503c,fa74503c,058b503c,058b503c,46da503c,46da503c,5d46da1b,5d46da1b,503cfa76,503cfa76,503c0589,503c0589,503cddc9,503cddc9,7203ddc9,7203ddc9
49,49,0,fa75503c,67c19978503c9978503c0588503cfa7767ec5bd0ec5b503c058a503cfa75503c,fa75503c,058a503c,058a503c,ec5b503c,ec5b503c,67ec5bd0,67ec5bd0,503cfa77,503cfa77,503c0588,503c0588,503c9978,503c9978,67c19978,67c19978
50,50,0,fa76503c,aa9b432d503c432d503c0587503cfa788e93f4fd93f4503c0589503cfa76503c,fa76503c,0589503c,0589503c,93f4503c,93f4503c,8e93f4fd,8e93f4fd,503cfa78,503cfa78,503c0587,503c0587,503c432d,503c432d,aa9b432d,aa9b432d
51,51,0,fa77503c,95dcec5e503cec5e503c0586503cfa79cfefb7e5efb7503c0588503cfa77503c,fa77503c,0588503c,0588503c,efb7503c,efb7503c,cfefb7e5,cfefb7e5,503cfa79,503cfa79,503c0586,503c0586,503cec5e,503cec5e,95dcec5e,95dcec5e
52,52,0,fa78503c,3a450689503c0689503c0585503cfa7a99ce457cde4d503c0587503cfa78503c,fa78503c,0587503c,0587503c,de4d503c,de4d503c,99ce457c,99ce457c,503cfa7a,503cfa7a,503c0585,503c0585,503c0689,503c0689,3a450689,3a450689
53,53,0,fa79503c,6bbc64e2503c64e2503c0584503cfa7b90b3907ab390503c0586503cfa79503c,fa79503c,0586503c,0586503c,b390503c,b390503c,90b3907a,90b3907a,503cfa7b,503cfa7b,503c0584,503c0584,503c64e2,503c64e2,6bbc64e2,6bbc64e2
54,54,0,fa7a503c,8532f6e7503cf6e7503c0583503cfa7cd9b84768b847503c0585503cfa7a503c,fa7a503c,0585503c,0585503c,b847503c,b847503c,d9b84768,d9b84768,503cfa7c,503cfa7c,503c0583,503c0583,503cf6e7,503cf6e7,8532f6e7,8532f6e7
55,55,0,fa7b503c,34a61f3b503c1f3b503c0582503cfa7d7dfd9adffd9a503c0584503cfa7b503c,fa7b503c,0584503c,0584503c,fd9a503c,fd9a503c,7dfd9adf,7dfd9adf,503cfa7d,503cfa7d,503c0582,503c0582,503c1f3b,503c1f3b,34a61f3b,34a61f3b
56,56,0,fa7c503c,d2ba75ae503c75ae503c0581503cfa7ea9b5caa5b5ca503c0583503cfa7c503c,fa7c503c,0583503c,0583503c,b5ca503c,b5ca503c,a9b5caa5,a9b5caa5,503cfa7e,503cfa7e,503c0581,503c0581,503c75ae,503c75ae,d2ba75ae,d2ba75ae
57,57,0,fa7d503c,9f1d5586503c5586503c0580503cfa7f7af087dff08f503c0582503cfa7d503c,fa7d503c,0582503c,0582503c,f08f503c,f08f503c,7af087df,7af087df,503cfa7f,503cfa7f,503c0580,503c0580,503c5586,503c5586,9f1d5586,9f1d5586
58,58,0,fa7e503c,94ac7012503c7012503c057f503cfa8009d43b5cd43b503c0581503cfa7e503c,fa7e503c,0581503c,0581503c,d43b503c,d43b503c,09d43b5c,09d43b5c,503cfa80,503cfa80,503c057f,503c057f,503c7012,503c7012,94ac7012,94ac7012
59,59,0,fa7f503c,f9f8d0dc503cd0dc503c057e503cfa815397830d9783503c0580503cfa7f503c,fa7f503c,0580503c,0580503c,9783503c,9783503c,5397830d,5397830d,503cfa81,503cfa81,503c057e,503c057e,503cd0dc,503cd0dc,f9f8d0dc,f9f8d0dc
60,60,0,fa80503c,27cac146503cc146503c057d503cfa829e86f53a86f5503c057f503cfa80503c,fa80503c,057f503c,057f503c,86f5503c,86f5503c,9e86f53a,9e86f53a,503cfa82,503cfa82,503c057d,503c057d,503cc146,503cc146,27cac146,27cac146
61,61,0,fa81503c,beb1b28c503cb28c503c057c503cfa835ecfe74fcfe7503c057e503cfa81503c,fa81503c,057e503c,057e503c,cfe7503c,cfe7503c,5ecfe74f,5ecfe74f,503cfa83,503cfa83,503c057c,503c057c,503cb28c,503cb28c,beb1b28c,beb1b28c
62,62,0,fa82503c,aa4ec031503cc031503c057b503cfa84fa274aa5374a503c057d503cfa82503c,fa82503c,057d503c,057d503c,374a503c,374a503c,fa274aa5,fa274aa5,503cfa84,503cfa84,503c057b,503c057b,503cc031,503cc031,aa4ec031,aa4ec031
63,63,0,fa83503c,bf79128e503c128e503c057a503cfa8597beb12abeb1503c057c503cfa83503c,fa83503c,057c503c,057c503c,beb1503c,beb1503c,97beb12a,97beb12a,503cfa85,503cfa85,503c057a,503c057a,503c128e,503c128e,bf79128e,bf79128e
64,64,0,fa84503c,4656bf94503cbf94503c0579503cfa86ddf36e84f36e503c057b503cfa84503c,fa84503c,057b503c,057b503c,f36e503c,f36e503c,ddf36e84,ddf36e84,503cfa86,503cfa86,503c0579,503c0579,503cbf94,503cbf94,4656bf94,4656bf94
65,65,0,fa85503c,873b980f503c980f503c0578503cfa8781c252e5c252503c057a503cfa85503c,fa85503c,057a503c,057a503c,c252503c,c252503c,81c252e5,81c252e5,503cfa87,503cfa87,503c0578,503c0578,503c980f,503c980f,873b980f,873b980f
66,66,0,fa86503c,2941a2f2503ca2f2503c0577503cfa889c7ed2da7ed2503c0579503cfa86503c,fa86503c,0579503c,0579503c,7ed2503c,7ed2503c,9c7ed2da,9c7ed2da,503cfa88,503cfa88,503c0577,503c0577,503ca2f2,503ca2f2,2941a2f2,2941a2f2
67,67,0,fa87503c,bebfc206503cc206503c0576503cfa8986fd216ced09503c0578503cfa87503c,fa87503c,0578503c,0578503c,ed09503c,ed09503c,86fd216c,86fd216c,503cfa89,503cfa89,503c0576,503c0576,503cc206,503cc206,bebfc206,bebfc206
68,68,0,fa88503c,f61b05f0503c05f0503c0575503cfa8ae8e9b503e9b5503c0577503cfa88503c,fa88503c,0577503c,0577503c,e9b5503c,e9b5503c,e8e9b503,e8e9b503,503cfa8a,503cfa8a,503c0575,503c0575,503c05f0,503c05f0,f61b05f0,f61b05f0
69,69,0,fa89503c,2b112bec503c2bec503c0574503cfa8bfab6eaccb6ea503c0576503cfa89503c,fa89503c,0576503c,0576503c,b6ea503c,b6ea503c,fab6eacc,fab6eacc,503cfa8b,503cfa8b,503c0574,503c0574,503c2bec,503c2bec,2b112bec,2b112bec
70,70,0,fa8a503c,7e343af1503c3af1503c0573503cfa8c4dba6464ba64503c0575503cfa8a503c,fa8a503c,0575503c,0575503c,ba64503c,ba64503c,4dba6464,4dba6464,503cfa8c,503cfa8c,503c0573,503c0573,503c3af1,503c3af1,7e343af1,7e343af1
71,71,0,fa8b503c,2562dc46503cdc46503c0572503cfa8d2ab3e39ab3e3503c0574503cfa8b503c,fa8b503c,0574503c,0574503c,b3e3503c,b3e3503c,2ab3e39a,2ab3e39a,503cfa8d,503cfa8d,503c0572,503c0572,503cdc46,503cdc46,2562dc46,2562dc46
72,72,0,fa8c503c,2245b290503cb290503c0571503cfa8eb2b02a08b03a503c0573503cfa8c503c,fa8c503c,0573503c,0573503c,b03a503c,b03a503c,b2b02a08,b2b02a08,503cfa8e,503cfa8e,503c0571,503c0571,503cb290,503cb290,2245b290,2245b290
73,73,0,fa8d503c,de3f5b4e503c5b4e503c0570503cfa8f6bd889b2d889503c0572503cfa8d503c,fa8d503c,0572503c,0572503c,d889503c,d889503c,6bd889b2,6bd889b2,503cfa8f,503cfa8f,503c0570,503c0570,503c5b4e,503c5b4e,de3f5b4e,de3f5b4e
74,74,0,fa8e503c,a2b05a4b503c5a4b503c056f503cfa90cb49d64149d6503c0571503cfa8e503c,fa8e503c,0571503c,0571503c,49d6503c,49d6503c,cb49d641,cb49d641,503cfa90,503cfa90,503c056f,503c056f,503c5a4b,503c5a4b,a2b05a4b,a2b05a4b
75,75,0,fa8f503c,92ad39b2503c39b2503c056e503cfa912e70a2b870a2503c0570503cfa8f503c,fa8f503c,0570503c,0570503c,70a2503c,70a2503c,2e70a2b8,2e70a2b8,503cfa91,503cfa91,503c056e,503c056e,503c39b2,503c39b2,92ad39b2,92ad39b2
76,76,0,fa90503c,eea5bd9b503cbd9b503c056d503cfa928460ba7160ba503c056f503cfa90503c,fa90503c,056f503c,056f503c,60ba503c,60ba503c,8460ba71,8460ba71,503cfa92,503cfa92,503c056d,503c056d,503cbd9b,503cbd9b,eea5bd9b,eea5bd9b
77,77,0,fa91503c,22839b38503c9b38503c056c503cfa936194b11084a9503c056e503cfa91503c,fa91503c,056e503c,056e503c,84a9503c,84a9503c,6194b110,6194b110,503cfa93,503cfa93,503c056c,503c056c,503c9b38,503c9b38,22839b38,22839b38
78,78,0,fa92503c,fc5096c4503c96c4503c056b503cfa94c0eea3d3eea3503c056d503cfa92503c,fa92503c,056d503c,056d503c,eea3503c,eea3503c,c0eea3d3,c0eea3d3,503cfa94,503cfa94,503c056b,503c056b,503c96c4,503c96c4,fc5096c4,fc5096c4
79,79,0,fa93503c,34d86639503c6639503c056a503cfa9501deb856deb8503c056c503cfa93503c,fa93503c,056c503c,056c503c,deb8503c,deb8503c,01deb856,01deb856,503cfa95,503cfa95,503c056a,503c056a,503c6639,503c6639,34d86639,34d86639
80,80,0,fa94503c,999e042c503c042c503c0569503cfa96e0cc8f53cc8f503c056b503cfa94503c,fa94503c,056b503c,056b503c,cc8f503c,cc8f503c,e0cc8f53,e0cc8f53,503cfa96,503cfa96,503c0569,503c0569,503c042c,503c042c,999e042c,999e042c
81,81,0,fa95503c,cff9f2cd503cf2cd503c0568503cfa97755f8b2b5f8b503c056a503cfa95503c,fa95503c,056a503c,056a503c,5f8b503c,5f8b503c,755f8b2b,755f8b2b,503cfa97,503cfa97,503c0568,503c0568,503cf2cd,503cf2cd,cff9f2cd,cff9f2cd
82,82,0,fa96503c,62293802503c3802503c0567503cfa98fcf817c7f816503c0569503cfa96503c,fa96503c,0569503c,0569503c,f816503c,f816503c,fcf817c7,fcf817c7,503cfa98,503cfa98,503c0567,503c0567,503c3802,503c3802,62293802,62293802
83,83,0,fa97503c,228b6120503c6120503c0566503cfa99524cbacf4cba503c0568503cfa97503c,fa97503c,0568503c,0568503c,4cba503c,4cba503c,524cbacf,524cbacf,503cfa99,503cfa99,503c0566,503c0566,503c6120,503c6120,228b6120,228b6120
84,84,0,fa98503c,38dedb61503cdb61503c0565503cfa9a9166ef9c66ef503c0567503cfa98503c,fa98503c,0567503c,0567503c,66ef503c,66ef503c,9166ef9c,9166ef9c,503cfa9a,503cfa9a,503c0565,503c0565,503cdb61,503cdb61,38dedb61,38dedb61
85,85,0,fa99503c,b9d613c0503c13c0503c0564503cfa9b530719490719503c0566503cfa99503c,fa99503c,0566503c,0566503c,0719503c,0719503c,53071949,53071949,503cfa9b,503cfa9b,503c0564,503c0564,503c13c0,503c13c0,b9d613c0,b9d613c0
86,86,0,fa9a503c,2d30bca0503cbca0503c0563503cfa9c40df4d56df4d503c0565503cfa9a503c,fa9a503c,0565503c,0565503c,df4d503c,df4d503c,40df4d56,40df4d56,503cfa9c,503cfa9c,503c0563,503c0563,503cbca0,503cbca0,2d30bca0,2d30bca0
87,87,0,fa9b503c,492db0d0503cb0d0503c0562503cfa9da1d2cbd7e2c3503c0564503cfa9b503c,fa9b503c,0564503c,0564503c,e2c3503c,e2c3503c,a1d2cbd7,a1d2cbd7,503cfa9d,503cfa9d,503c0562,503c0562,503cb0d0,503cb0d0,492db0d0,492db0d0
88,88,0,fa9c503c,46e37196503c7196503c0561503cfa9eab4362254362503c0563503cfa9c503c,fa9c503c,0563503c,0563503c,4362503c,4362503c,ab436225,ab436225,503cfa9e,503cfa9e,503c0561,503c0561,503c7196,503c7196,46e37196,46e37196
89,89,0,fa9d503c,b75d8076503c8076503c0560503cfa9f0b0d80640d80503c0562503cfa9d503c,fa9d503c,0562503c,0562503c,0d80503c,0d80503c,0b0d8064,0b0d8064,503cfa9f,503cfa9f,503c0560,503c0560,503c8076,503c8076,b75d8076,b75d8076
90,90,0,fa9e503c,6ca45022503c5022503c055f503cfaa03daaf71faaf7503c0561503cfa9e503c,fa9e503c,0561503c,0561503c,aaf7503c,aaf7503c,3daaf71f,3daaf71f,503cfaa0,503cfaa0,503c055f,503c055f,503c5022,503c5022,6ca45022,6ca45022
91,91,0,fa9f503c,5b6cb659503cb659503c055e503cfaa18b93b6f593b6503c0560503cfa9f503c,fa9f503c,0560503c,0560503c,93b6503c,93b6503c,8b93b6f5,8b93b6f5,503cfaa1,503cfaa1,503c055e,503c055e,503cb659,503cb659,5b6cb659,5b6cb659
92,92,0,faa0503c,46bdcb98503ccb98503c055d503cfaa277112492012c503c055f503cfaa0503c,faa0503c,055f503c,055f503c,012c503c,012c503c,77112492,77112492,503cfaa2,503cfaa2,503c055d,503c055d,503ccb98,503ccb98,46bdcb98,46bdcb98
93,93,0,faa1503c,664ed7fe503cd7fe503c055c503cfaa3926582086582503c055e503cfaa1503c,faa1503c,055e503c,055e503c,6582503c,6582503c,92658208,92658208,503cfaa3,503cfaa3,503c055c,503c055c,503cd7fe,503cd7fe,664ed7fe,664ed7fe
94,94,0,faa2503c,8bcd0497503c0497503c055b503cfaa4445f29445f29503c055d503cfaa2503c,faa2503c,055d503c,055d503c,5f29503c,5f29503c,445f2944,445f2944,503cfaa4,503cfaa4,503c055b,503c055b,503c0497,503c0497,8bcd0497,8bcd0497
95,95,0,faa3503c,724be485503ce485503c055a503cfaa5135788b35788503c055c503cfaa3503c,faa3503c,055c503c,055c503c,5788503c,5788503c,135788b3,135788b3,503cfaa5,503cfaa5,503c055a,503c055a,503ce485,503ce485,724be485,724be485
