Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[255:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],receiver_2[31:0],userdata_rx_2[31:0],receiver_3[31:0],userdata_rx_3[31:0],transmitter_0[31:0],userdata_tx_0[31:0],transmitter_1[31:0],userdata_tx_1[31:0],transmitter_2[31:0],userdata_tx_2[31:0],userdata_tx_3[31:0],transmitter_3[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
393,393,0,fbcd503c,8f3e1d6d503c1d6d503c0430503cfbcfcd2c390d2c39503c0432503cfbcd503c,fbcd503c,0432503c,0432503c,2c39503c,2c39503c,cd2c390d,cd2c390d,503cfbcf,503cfbcf,503c0430,503c0430,503c1d6d,503c1d6d,8f3e1d6d,8f3e1d6d
394,394,0,fbce503c,fe9bb25c503cb25c503c042f503cfbd0392dadb92dad503c0431503cfbce503c,fbce503c,0431503c,0431503c,2dad503c,2dad503c,392dadb9,392dadb9,503cfbd0,503cfbd0,503c042f,503c042f,503cb25c,503cb25c,fe9bb25c,fe9bb25c
395,395,0,fbcf503c,527dbb73503cbb73503c042e503cfbd19bb516eeb516503c0430503cfbcf503c,fbcf503c,0430503c,0430503c,b516503c,b516503c,9bb516ee,9bb516ee,503cfbd1,503cfbd1,503c042e,503c042e,503cbb73,503cbb73,527dbb73,527dbb73
396,396,0,fbd0503c,acc78a0f503c8a0f503c042d503cfbd2707c845b7c84503c042f503cfbd0503c,fbd0503c,042f503c,042f503c,7c84503c,7c84503c,707c845b,707c845b,503cfbd2,503cfbd2,503c042d,503c042d,503c8a0f,503c8a0f,acc78a0f,acc78a0f
397,397,0,fbd1503c,394afdab503cfdab503c042c503cfbd3a83418f33418503c042e503cfbd1503c,fbd1503c,042e503c,042e503c,3418503c,3418503c,a83418f3,a83418f3,503cfbd3,503cfbd3,503c042c,503c042c,503cfdab,503cfdab,394afdab,394afdab
398,398,0,fbd2503c,07901bac503c1bac503c042b503cfbd477350eeb350e503c042d503cfbd2503c,fbd2503c,042d503c,042d503c,350e503c,350e503c,77350eeb,77350eeb,503cfbd4,503cfbd4,503c042b,503c042b,503c1bac,503c1bac,07901bac,07901bac
399,399,0,fbd3503c,d28a2634503c2634503c042a503cfbd5043c84423c84503c042c503cfbd3503c,fbd3503c,042c503c,042c503c,3c84503c,3c84503c,043c8442,043c8442,503cfbd5,503cfbd5,503c042a,503c042a,503c2634,503c2634,d28a2634,d28a2634
400,400,0,fbd4503c,eff24a13503c4a13503c0429503cfbd60ba9f062a9f0503c042b503cfbd4503c,fbd4503c,042b503c,042b503c,a9f0503c,a9f0503c,0ba9f062,0ba9f062,503cfbd6,503cfbd6,503c0429,503c0429,503c4a13,503c4a13,eff24a13,eff24a13
401,401,0,fbd5503c,1b6fd0e5503cd0e5503c0428503cfbd7f79d470e9d47503c042a503cfbd5503c,fbd5503c,042a503c,042a503c,9d47503c,9d47503c,f79d470e,f79d470e,503cfbd7,503cfbd7,503c0428,503c0428,503cd0e5,503cd0e5,1b6fd0e5,1b6fd0e5
402,402,0,fbd6503c,73c0e011503ce011503c0427503cfbd83781f23981f2503c0429503cfbd6503c,fbd6503c,0429503c,0429503c,81f2503c,81f2503c,3781f239,3781f239,503cfbd8,503cfbd8,503c0427,503c0427,503ce011,503ce011,73c0e011,73c0e011
403,403,0,fbd7503c,f12b6fe0503c6fe0503c0426503cfbd9188e7aad8e7a503c0428503cfbd7503c,fbd7503c,0428503c,0428503c,8e7a503c,8e7a503c,188e7aad,188e7aad,503cfbd9,503cfbd9,503c0426,503c0426,503c6fe0,503c6fe0,f12b6fe0,f12b6fe0
404,404,0,fbd8503c,bf785e30503c5e30503c0425503cfbda1fda9279da92503c0427503cfbd8503c,fbd8503c,0427503c,0427503c,da92503c,da92503c,1fda9279,1fda9279,503cfbda,503cfbda,503c0425,503c0425,503c5e30,503c5e30,bf785e30,bf785e30
405,405,0,fbd9503c,30d3e185503ce185503c0424503cfbdba149d47d49d4503c0426503cfbd9503c,fbd9503c,0426503c,0426503c,49d4503c,49d4503c,a149d47d,a149d47d,503cfbdb,503cfbdb,503c0424,503c0424,503ce185,503ce185,30d3e185,30d3e185
406,406,0,fbda503c,9102f98a503cf98a503c0423503cfbdc8a1423a91423503c0425503cfbda503c,fbda503c,0425503c,0425503c,1423503c,1423503c,8a1423a9,8a1423a9,503cfbdc,503cfbdc,503c0423,503c0423,503cf98a,503cf98a,9102f98a,9102f98a
407,407,0,fbdb503c,eea62c67503c2c67503c0422503cfbddbb74cf1274cf503c0424503cfbdb503c,fbdb503c,0424503c,0424503c,74cf503c,74cf503c,bb74cf12,bb74cf12,503cfbdd,503cfbdd,503c0422,503c0422,503c2c67,503c2c67,eea62c67,eea62c67
408,408,0,fbdc503c,e0f94887503c4887503c0421503cfbdea5aa8949aa89503c0423503cfbdc503c,fbdc503c,0423503c,0423503c,aa89503c,aa89503c,a5aa8949,a5aa8949,503cfbde,503cfbde,503c0421,503c0421,503c4887,503c4887,e0f94887,e0f94887
409,409,0,fbdd503c,dc90d5b8503cd5b8503c0420503cfbdf05f15decf15d503c0422503cfbdd503c,fbdd503c,0422503c,0422503c,f15d503c,f15d503c,05f15dec,05f15dec,503cfbdf,503cfbdf,503c0420,503c0420,503cd5b8,503cd5b8,dc90d5b8,dc90d5b8
410,410,0,fbde503c,00d0338a503c338a503c041f503cfbe08116b74716b7503c0421503cfbde503c,fbde503c,0421503c,0421503c,16b7503c,16b7503c,8116b747,8116b747,503cfbe0,503cfbe0,503c041f,503c041f,503c338a,503c338a,00d0338a,00d0338a
411,411,0,fbdf503c,0dc72ca0503c2ca0503c041e503cfbe143343d1c343d503c0420503cfbdf503c,fbdf503c,0420503c,0420503c,343d503c,343d503c,43343d1c,43343d1c,503cfbe1,503cfbe1,503c041e,503c041e,503c2ca0,503c2ca0,0dc72ca0,0dc72ca0
412,412,0,fbe0503c,b24d8462503c8462503c041d503cfbe2893403953403503c041f503cfbe0503c,fbe0503c,041f503c,041f503c,3403503c,3403503c,89340395,89340395,503cfbe2,503cfbe2,503c041d,503c041d,503c8462,503c8462,b24d8462,b24d8462
413,413,0,fbe1503c,739e9711503c9711503c041c503cfbe3d20df0ec0df0503c041e503cfbe1503c,fbe1503c,041e503c,041e503c,0df0503c,0df0503c,d20df0ec,d20df0ec,503cfbe3,503cfbe3,503c041c,503c041c,503c9711,503c9711,739e9711,739e9711
414,414,0,fbe2503c,3cc6752f503c752f503c041b503cfbe4ba06674a0667503c041d503cfbe2503c,fbe2503c,041d503c,041d503c,0667503c,0667503c,ba06674a,ba06674a,503cfbe4,503cfbe4,503c041b,503c041b,503c752f,503c752f,3cc6752f,3cc6752f
415,415,0,fbe3503c,4a0853ec503c53ec503c041a503cfbe50e42a9ae42a9503c041c503cfbe3503c,fbe3503c,041c503c,041c503c,42a9503c,42a9503c,0e42a9ae,0e42a9ae,503cfbe5,503cfbe5,503c041a,503c041a,503c53ec,503c53ec,4a0853ec,4a0853ec
416,416,0,fbe4503c,fc75b8a8503cb8a8503c0419503cfbe61646a5b946a5503c041b503cfbe4503c,fbe4503c,041b503c,041b503c,46a5503c,46a5503c,1646a5b9,1646a5b9,503cfbe6,503cfbe6,503c0419,503c0419,503cb8a8,503cb8a8,fc75b8a8,fc75b8a8
417,417,0,fbe5503c,5ae7c651503cc651503c0418503cfbe7690a56d00a56503c041a503cfbe5503c,fbe5503c,041a503c,041a503c,0a56503c,0a56503c,690a56d0,690a56d0,503cfbe7,503cfbe7,503c0418,503c0418,503cc651,503cc651,5ae7c651,5ae7c651
418,418,0,fbe6503c,214df770503cf770503c0417503cfbe8f3b53300b533503c0419503cfbe6503c,fbe6503c,0419503c,0419503c,b533503c,b533503c,f3b53300,f3b53300,503cfbe8,503cfbe8,503c0417,503c0417,503cf770,503cf770,214df770,214df770
