Sample in Buffer,Sample in Window,TRIGGER,ila_data[831:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
622,622,0,000000000000000b9def9e579e4f9e4cbde0ab75840000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf60df046720df046720df046720df0467a8a7db10c1266fc6c1266fc6a8a7db10,a8a7db10,c1266fc6,c1266fc6,a8a7db10,20df0467,20df0467,20df0467,60df0467,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add61,e793,e793,e795,e77b,2,0,0,00000,00000
623,623,0,000000000000000b9def9e579e4f9e4cbde0ab75a40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafb874213bb874213bb874213bb874213bf87137e28c4077708c407770f87137e2,f87137e2,8c407770,8c407770,f87137e2,b874213b,b874213b,b874213b,b874213b,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add69,e793,e793,e795,e77b,2,0,0,00000,00000
624,624,0,000000000000000b9def9e579e4f9e4cbde0ab75c40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfb60526afb60526afb60526afb60526afe5c929b90347f9b81347f9b8e5c9a9b9,e5c9a9b9,1347f9b8,0347f9b8,e5c929b9,b60526af,b60526af,b60526af,b60526af,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add71,e793,e793,e795,e77b,2,0,0,00000,00000
625,625,0,000000000000000b9def9e579e4f9e4cbde0ab75e00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfb2d4c41bb2d4c41bb2d4c41bb2d4c41b445dcf6e3994c4be3994c4be445dcf6e,445dcf6e,3994c4be,3994c4be,445dcf6e,b2d4c41b,b2d4c41b,b2d4c41b,b2d4c41b,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add78,e793,e793,e795,e77b,2,0,0,00000,00000
626,626,0,000000000000000b9def9e579e4f9e4cbde0ab76000000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf51f5fa8851f5fa8851f5fa8851f5fa88782f668ec46abad0c46abad0782f668e,782f668e,c46abad0,c46abad0,782f668e,51f5fa88,51f5fa88,51f5fa88,51f5fa88,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add80,e793,e793,e795,e77b,2,0,0,00000,00000
627,627,0,000000000000000b9def9e579e4f9e4cbde0ab76200000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf8e9457168eb457168ef447168eb45716ebed6a49f4b79c7ff4b79c7febed6a49,ebed6a49,f4b79c7f,f4b79c7f,ebed6a49,8eb45716,8ef44716,8eb45716,8e945716,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add88,e793,e793,e795,e77b,2,0,0,00000,00000
628,628,0,000000000000000b9def9e579e4f9e4cbde0ab76400000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf676df421676df421676df421676df42174a38eea82e4006482e4006474a38eea,74a38eea,82e40064,82e40064,74a38eea,676df421,676df421,676df421,676df421,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add90,e793,e793,e795,e77b,2,0,0,00000,00000
629,629,0,000000000000000b9def9e579e4f9e4cbde0ab76600000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfc8a748a6c8a748a6c8a748a6c8a748a661016a85196f4c15196f5c1561016a85,61016a85,196f5c15,196f4c15,61016a85,c8a748a6,c8a748a6,c8a748a6,c8a748a6,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782add98,e793,e793,e795,e77b,2,0,0,00000,00000
630,630,0,000000000000000b9def9e579e4f9e4cbde0ab76840000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf2e1177912e1177912e1177912e117791f3f1a2807938349779383497f3f1a280,f3f1a280,79383497,79383497,f3f1a280,2e117791,2e117791,2e117791,2e117791,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782adda1,e793,e793,e795,e77b,2,0,0,00000,00000
631,631,0,000000000000000b9def9e579e4f9e4cbde0ab769c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffafbbc7bdc6bbc7bdc6bbc7bdc6bbc7bdc611343aca9676a1369676a13611343aca,11343aca,9676a136,9676a136,11343aca,bbc7bdc6,bbc7bdc6,bbc7bdc6,bbc7bdc6,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782adda7,e793,e793,e795,e77b,2,0,0,00000,00000
632,632,0,000000000000000b9def9e579e4f9e4cbde0ab76bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf96e4628296e4628296e4728296e462825f986af3c5ca4c29c5ca4c295f986af3,5f986af3,c5ca4c29,c5ca4c29,5f986af3,96e46282,96e47282,96e46282,96e46282,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addaf,e793,e793,e795,e77b,2,0,0,00000,00000
633,633,0,000000000000000b9def9e579e4f9e4cbde0ab76dc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafeb99e540eb99e540eb99e540eb99e540136a2bbc577c489a577c489a136a2bbc,136a2bbc,577c489a,577c489a,136a2bbc,eb99e540,eb99e540,eb99e540,eb99e540,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addb7,e793,e793,e795,e77b,2,0,0,00000,00000
634,634,0,000000000000000b9def9e579e4f9e4cbde0ab76fc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf409ef511409ef511409ef511409ef51150c69f913290dd4e2290dd4e50c69791,50c69791,2290dd4e,3290dd4e,50c69f91,409ef511,409ef511,409ef511,409ef511,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addbf,e793,e793,e795,e77b,2,0,0,00000,00000
635,635,0,000000000000000b9def9e579e4f9e4cbde0ab77180000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf62060b2c62060b2c62060b2c62060b2c833fe4265653f3ae5653f3ae833fe426,833fe426,5653f3ae,5653f3ae,833fe426,62060b2c,62060b2c,62060b2c,62060b2c,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addc6,e793,e793,e795,e77b,2,0,0,00000,00000
636,636,0,000000000000000b9def9e579e4f9e4cbde0ab77380000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffafdc41632fdc41632fdc41632fdc41632f072f33b51c1a951e1c1a951e072f33b5,072f33b5,1c1a951e,1c1a951e,072f33b5,dc41632f,dc41632f,dc41632f,dc41632f,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addce,e793,e793,e795,e77b,2,0,0,00000,00000
637,637,0,000000000000000b9def9e579e4f9e4cbde0ab77580000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffaf9918e6c69838e6c69938e6c69938e6c6fde245d2bed0f94bbed0f94bfde245d2,fde245d2,bed0f94b,bed0f94b,fde245d2,9938e6c6,9938e6c6,9838e6c6,9918e6c6,f,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addd6,e793,e793,e795,e77b,2,0,0,00000,00000
638,638,0,000000000000000b9def9e579e4f9e4cbde0ab77780000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafa0cb16f2a0cb16f2a0cb16f2a0cb16f20ad2e4f17a3ba3c87a3ba3c80ad2e4f1,0ad2e4f1,7a3ba3c8,7a3ba3c8,0ad2e4f1,a0cb16f2,a0cb16f2,a0cb16f2,a0cb16f2,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2f782addde,e793,e793,e795,e77b,2,0,0,00000,00000
