Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
36,36,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f6b8c0fe56b8c0fe56b8c0fe56b8c0fe5f9a11c8dbbc56b961cb56071f9a11c8d
37,37,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f70154b0370154b0370154b0370154b0392b33e928be52619cf8d535f92b33e92
38,38,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f117be47a117be47a117be47a117be47a6fe01f9effc7244bdef1f1c96fe01f9e
39,39,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5cbb379e5cbb379e5cbb379e5cbb379eae61ef290be42745d4411609ea61ee29
40,40,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f7dd0c0e13dd0c0e13dd0c0e13dd0c0e13e90f1f1b4548da9635e88183e90f1f1
41,41,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f0c08bcbe0c08bcbe0c08bcbe0c08bcbe849fe71630db5a8365f9f205849fe716
42,42,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f5dc8dd285dc8dd285dc8dd285dc8dd289f82921d6d50c3b3b9c69fd09f82921d
43,43,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f82652b9b82652b9b82652b9b82652b9b96a6e2bd7d103d211dc6e08a96a6e2bd
44,44,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ff296a25ff296a25ff296a25ff296a25f6cafb997d12c0d7e9c26d9ad68af9917
45,45,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f528f4d0e528f4d0e528f4d0e528f4d0e0084626554783ca1cfb588eb00846265
46,46,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f043ddd1a043ddd1a043ddd1a043ddd1adb4af3769a2fe5a62fee2973db4af376
47,47,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f11590e8111590e8111590e8111590e81a3ca9c7f522f236c54261807a3ca9c7f
48,48,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000faea84ea6aea84ea6aea84ea6aea84ea6ac7a2d6423674ca393054b9bac7a2d64
