Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000000007b1de6325c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bf7cae689e7cae689e7cae689e7cae689ee9637b5be9637b5be9637b5be9637b5b,e9637b5b,e9637b5b,e9637b5b,e9637b5b,7cae689e,7cae689e,7cae689e,7cae689e,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c97,0000,0000,0000,0000
1,1,0,000000000000000007b1de632600000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bff6b648e1f6b648e1f6b648e1f6b648e1207f54ce207f54ce207f54ce207f54ce,207f54ce,207f54ce,207f54ce,207f54ce,f6b648e1,f6b648e1,f6b648e1,f6b648e1,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c98,0000,0000,0000,0000
2,2,0,000000000000000007b1de632640000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bfa99dd2c6a99dd2c6a99dd2c6a99dd2c69a278a189a278a189a278a189a278a18,9a278a18,9a278a18,9a278a18,9a278a18,a99dd2c6,a99dd2c6,a99dd2c6,a99dd2c6,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c99,0000,0000,0000,0000
3,3,0,000000000000000007b1de632680000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bf143040fe143040fe143040fe143040fe92385f2b92385f2b92385f2b92385f2b,92385f2b,92385f2b,92385f2b,92385f2b,143040fe,143040fe,143040fe,143040fe,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9a,0000,0000,0000,0000
4,4,0,000000000000000007b1de6326c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582eb2bfbe57344fbe57344fbe57344fbe57344f74b1bdad74b1bdad74b1bdad74b1bdad,74b1bdad,74b1bdad,74b1bdad,74b1bdad,be57344f,be57344f,be57344f,be57344f,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9b,0000,0000,0000,0000
5,5,0,000000000000000007b1de632700000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bf7b5b24707b5b24707b5b24707b5b2470103faa67103faa67103faa67103faa67,103faa67,103faa67,103faa67,103faa67,7b5b2470,7b5b2470,7b5b2470,7b5b2470,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9c,0000,0000,0000,0000
6,6,0,000000000000000007b1de632740000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bf54cee96354cee96354cee96354cee963cd13c50ccd13c50ccd13c50ccd13c50c,cd13c50c,cd13c50c,cd13c50c,cd13c50c,54cee963,54cee963,54cee963,54cee963,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9d,0000,0000,0000,0000
7,7,0,000000000000000007b1de632780000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bf8a18207f8a18207f8a18207f8a18207fc91c2f95c91c2f95c91c2f95c91c2f95,c91c2f95,c91c2f95,c91c2f95,c91c2f95,8a18207f,8a18207f,8a18207f,8a18207f,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9e,0000,0000,0000,0000
8,8,0,000000000000000007b1de6327c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00000160b0582eb2bf5f2b9a275f2b9a275f2b9a275f2b9a27ba58ded6ba58ded6ba58ded6ba58ded6,ba58ded6,ba58ded6,ba58ded6,ba58ded6,5f2b9a27,5f2b9a27,5f2b9a27,5f2b9a27,f,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1ec7798c9f,0000,0000,0000,0000
