Sample in Buffer,Sample in Window,TRIGGER,receiver_0[31:0],ila_data[617:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,beb5b0c3,3b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000a32ec3afa32ec1afa33ec3af503ccb48691d66f7691d66f7691d66f7beb5b0c3,691d66f7,691d66f7,691d66f7,503ccb48,a33ec3af,a32ec1af,a32ec3af,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
1,1,0,beb4b0c3,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000cfbf0156cfbf0156cfbf0156503ccb49f8154c0ef8154c0ef8154c0ebeb4b0c3,f8154c0e,f8154c0e,f8154c0e,503ccb49,cfbf0156,cfbf0156,cfbf0156,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
2,2,0,beb3b0c3,2b0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000f3efc055f3efc055f3efc055503ccb4a7e0253247e0253247e025324beb3b0c3,7e025324,7e025324,7e025324,503ccb4a,f3efc055,f3efc055,f3efc055,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
3,3,0,beb2b0c3,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000bcfbf015bcfbf015bcfbf015503ccb4b3f8054ce3f8054ce3f8054cebeb2b0c3,3f8054ce,3f8054ce,3f8054ce,503ccb4b,bcfbf015,bcfbf015,bcfbf015,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
4,4,0,beb1b0c3,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000af3efc05af3efc05af3efc05503ccb4cf7e0d533f7e0d533f7e0d533beb1b0c3,f7e0d533,f7e0d533,f7e0d533,503ccb4c,af3efc05,af3efc05,af3efc05,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
5,5,0,beafb0c3,3b0000000000000000000000000000000000000000f0f0f0f0000000000000000000000000000000000000000004266bf397a42ad3156663f39503ccb4d6cf8154c7ff815cc5df0156cbeafb0c3,5df0156c,7ff815cc,6cf8154c,503ccb4d,56663f39,7a42ad31,4266bf39,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
6,6,0,beb0b0c3,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000055988b4e55988b4e55988b4e503ccb4e24a56d0d24a56d0d24a56d0dbeb0b0c3,24a56d0d,24a56d0d,24a56d0d,503ccb4e,55988b4e,55988b4e,55988b4e,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
7,7,0,beaeb0c3,2a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000156622d3156622d3156622d3503ccb4fce098384ce098384ce098384beaeb0c3,ce098384,ce098384,ce098384,503ccb4f,156622d3,156622d3,156622d3,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
8,8,0,beadb0c3,3a0000000000000000000000000000000000000000f0f0f0f000000000000000000000000000000000000000000055988b4055988b4055988b4503ccb5033ba47c133ba47c133ba47c1beadb0c3,33ba47c1,33ba47c1,33ba47c1,503ccb50,055988b4,055988b4,055988b4,0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
