Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e2acc45a72acc45a72acc45a7503c3f403cf40559232ec5afa22ec1af3f3e503c,3f3e503c,3f3e503c,a22ec1af,a22ec1af,232ec5af,232ec5af,3cf40559,3cf40559,503c3f40,503c3f40,2acc45a7,2acc45a7,2acc45a7,2acc45a7,2acc45a7,2acc45a7,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
1,1,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e0ab311690ab311690ab31169503c3f41622d3909cfbf0156cfbf01563f3f503c,3f3f503c,3f3f503c,cfbf0156,cfbf0156,cfbf0156,cfbf0156,622d3909,622d3909,503c3f41,503c3f41,0ab31169,0ab31169,0ab31169,0ab31169,0ab31169,0ab31169,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
2,2,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e1230c46e7238946a52b0c66e503c3f42988b4e42f3efc055f3efc0553f40503c,3f40503c,3f40503c,f3efc055,f3efc055,f3efc055,f3efc055,988b4e42,988b4e42,503c3f42,503c3f42,52b0c66e,52b0c66e,7238946a,7238946a,1230c46e,1230c46e,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
3,3,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e9c84a4db9c84a4db9c84a4db503c3f436622d390bcfbf015bcfbf0153f41503c,3f41503c,3f41503c,bcfbf015,bcfbf015,bcfbf015,bcfbf015,6622d390,6622d390,503c3f43,503c3f43,9c84a4db,9c84a4db,9c84a4db,9c84a4db,9c84a4db,9c84a4db,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
4,4,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000ea7212936a7212936a7212936503c3f445988b4e4af3efc05af3efc053f42503c,3f42503c,3f42503c,af3efc05,af3efc05,af3efc05,af3efc05,5988b4e4,5988b4e4,503c3f44,503c3f44,a7212936,a7212936,a7212936,a7212936,a7212936,a7212936,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
5,5,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e69c84a4d69c84a4d69c84a4d503c3f45146a27386bc7bd01eac6bd013f43503c,3f43503c,3f43503c,eac6bd01,eac6bd01,6bc7bd01,6bc7bd01,146a2738,146a2738,503c3f45,503c3f45,69c84a4d,69c84a4d,69c84a4d,69c84a4d,69c84a4d,69c84a4d,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
6,6,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e5a7212935a7212935a721293503c3f4642526dc755988b4e55988b4e3f44503c,3f44503c,3f44503c,55988b4e,55988b4e,55988b4e,55988b4e,42526dc7,42526dc7,503c3f46,503c3f46,5a721293,5a721293,5a721293,5a721293,5a721293,5a721293,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
7,7,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e1e8f04a05f8cc4acdb8c84ac503c3f4790949b71156622d3156622d33f45503c,3f45503c,3f45503c,156622d3,156622d3,156622d3,156622d3,90949b71,90949b71,503c3f47,503c3f47,db8c84ac,db8c84ac,5f8cc4ac,5f8cc4ac,1e8f04a0,1e8f04a0,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
8,8,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000e36e3d06a36e3d06a36e3d06a503c3f48e42526dc055988b4055988b43f46503c,3f46503c,3f46503c,055988b4,055988b4,055988b4,055988b4,e42526dc,e42526dc,503c3f48,503c3f48,36e3d06a,36e3d06a,36e3d06a,36e3d06a,36e3d06a,36e3d06a,e,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
