Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1896989d98979898015f151e61c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fa2bf7846e4b77846e4b77846e4b77846e4b72cc6f5450cf2d5c124c6c5c52cc6d545,2cc6d545,24c6c5c5,0cf2d5c1,2cc6f545,7846e4b7,7846e4b7,7846e4b7,7846e4b7,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c547987,6260,625e,6276,625a
1,1,0,1896989d98979898015f151e63c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fa2bfa4df5af4a4df5af4a4df5af4a4df5af4d330f87bd330f87bd330f87bd330f87b,d330f87b,d330f87b,d330f87b,d330f87b,a4df5af4,a4df5af4,a4df5af4,a4df5af4,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c54798f,6260,625e,6276,625a
2,2,0,1896989d98979898015f151e6580000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3bafd286878fd286878fd286878fd286878ff1784342f1784342f1784342f1784342,f1784342,f1784342,f1784342,f1784342,d286878f,d286878f,d286878f,d286878f,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c547996,6260,625e,6276,625a
3,3,0,1896989d98979898015f151e6780000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf24b9ad3824b9ad3824b9ad3824b9ad38bd5addd6bd5addd6bd5addd6bd5addd6,bd5addd6,bd5addd6,bd5addd6,bd5addd6,24b9ad38,24b9ad38,24b9ad38,24b9ad38,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c54799e,6260,625e,6276,625a
4,4,0,1896989d98979898015f151e6980000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582f2bafe3e484afe3e484afe3e484afe3e484af8cc599eb8cc599eb8cc599eb8cc599eb,8cc599eb,8cc599eb,8cc599eb,8cc599eb,e3e484af,e3e484af,e3e484af,e3e484af,f,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c5479a6,6260,625e,6276,625a
5,5,0,1896989d98979898015f151e6b80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fa2bfbd2fee99bd2fee99bd2fee99bd2fee9998ae15e6982e17e29aae87e6982e97f6,982e97f6,9aae87e6,982e17e2,98ae15e6,bd2fee99,bd2fee99,bd2fee99,bd2fee99,f,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c5479ae,6260,625e,6276,625a
6,6,0,1896989d98979898015f151e6d80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582fb2bfaff8264baff8264baff8264baff8264b97450182974501829745018297450182,97450182,97450182,97450182,97450182,aff8264b,aff8264b,aff8264b,aff8264b,f,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c5479b6,6260,625e,6276,625a
7,7,0,1896989d98979898015f151e6f40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf03ac696703ac696703ac696703ac6967044195d8044195d8044195d8044195d8,044195d8,044195d8,044195d8,044195d8,03ac6967,03ac6967,03ac6967,03ac6967,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c5479bd,6260,625e,6276,625a
8,8,0,1896989d98979898015f151e7140000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc0003c160b0582e3baf7bef5e4c7bef5e4c7bef5e4c7bef5e4cac609224ac609224ac609224ac609224,ac609224,ac609224,ac609224,ac609224,7bef5e4c,7bef5e4c,7bef5e4c,7bef5e4c,f,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,f,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,057c5479c5,6260,625e,6276,625a
