Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
458,458,0,00000000000000000000000000000000000000003fbcbe7c80000000000100010002400000010000000040003fc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb052a3503c52a3503c52a3503c52a3503cde5b916bd29cbebcf9b89314ac272f37,ac272f37,f9b89314,d29cbebc,de5b916b,52a3503c,52a3503c,52a3503c,52a3503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0001,0000,0004,0000,0009,0004,0004,00,00,00,00,f2,f9,f2,fe,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
459,459,0,00000000000000000000000000000000000000003d7f7f7c8000000000010003c0024002c001400240024000bfc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb052a4503c52a4503c52a4503c52a4503cb8baa3eda53796245b916b9589cdb590,89cdb590,5b916b95,a5379624,b8baa3ed,52a4503c,52a4503c,52a4503c,52a4503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,0009,0009,0005,000b,0009,000f,0004,00,00,00,00,f2,fd,fd,f5,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
460,460,0,00000000000000000000000000000000000000003c7efdbcc2000000000240024002000080024002000080007fc003c0000000000000000000000000033333c003ffffc00000160b0582eabb052a5503c52a5503c52a5503c52a5503cbc40508a9a1ea1084020fdb886e82882,86e82882,4020fdb8,9a1ea108,bc40508a,52a5503c,52a5503c,52a5503c,52a5503c,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0001,0002,0008,0009,0002,0008,0009,0009,00,00,00,08,f3,f6,fb,f1,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
461,461,0,00000000000000000000000000000000000000003e7ebe3e8000004000030000800340020002000200024000bfc003c0000000000000000000000000033333c003ffffc20000160b0582e22a052a6503c52a6503c52a6503c52a6503caadd0b6fdd11f699da1be7bc778cbd50,778cbd50,da1be7bc,dd11f699,aadd0b6f,52a6503c,52a6503c,52a6503c,52a6503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0,0,0,8,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0002,0009,0008,0008,0008,000d,0002,000c,00,01,00,00,fa,f8,fa,f9,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
462,462,0,00000000000000000000000000000000000000003d3dfffc40000000000180018002400100014001800240007fc003c0000000000000000000000000033333c003ffffc00000160b0582e32a052a7503c52a7503c52a7503c52a7503c6b95749cbc44c53014c10faa3761710c,3761710c,14c10faa,bc44c530,6b95749c,52a7503c,52a7503c,52a7503c,52a7503c,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0001,0009,0006,0005,0004,0009,0006,0006,00,00,00,00,f1,ff,f7,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
463,463,0,00000000000000000000000000000000000000003ebdbfbc4000000000008003c001000340028001000100007fc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb052a8503c52a8503c52a8503c52a8503cfdb8baa36ea53796de5b916b9889cdb5,9889cdb5,de5b916b,6ea53796,fdb8baa3,52a8503c,52a8503c,52a8503c,52a8503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0001,0004,0004,000a,000d,0004,000f,0002,00,00,00,00,f1,fe,f6,fa,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
464,464,0,00000000000000000000000000000000000000003fff7d7f400000000002c0020001000040024000000140027fc003c0000000000000000000000000033333c003ffffc00000160b0582fbbb052a9503c52a9503c52a9503c52a9503c8a6007d5087fb3eeb8baa3ed821f043b,821f043b,b8baa3ed,087fb3ee,8a6007d5,52a9503c,52a9503c,52a9503c,52a9503c,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0009,0005,0000,0009,0001,0004,0008,000b,00,00,00,00,fd,f5,fd,ff,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
465,465,0,00000000000000000000000000000000000000003efcbc7c000002000000c0010002400180004000000240003fc003c0000000000000000000000000033333c003ffffc00000160b0582eabb052aa503c52aa503c52aa503c52aa503c6fc24885990e5f01bc40508a5083f764,5083f764,bc40508a,990e5f01,6fc24885,52aa503c,52aa503c,52aa503c,52aa503c,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0000,0009,0000,0001,0006,0009,0004,0003,00,08,00,00,f0,f1,f2,fb,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
466,466,0,00000000000000000000000000000000000000003cffbe7f8001000000010000c00300008003000180020002bfc003c0000000000000000000000000033333c003ffffc00000160b0582e22a052ab503c52ab503c52ab503c52ab503c9c5c10fe3003ea28aadd0b6f0c40fa59,0c40fa59,aadd0b6f,3003ea28,9c5c10fe,52ab503c,52ab503c,52ab503c,52ab503c,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,000a,0008,0006,000c,0002,000c,0003,0004,00,00,04,00,fe,f9,fe,f3,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
467,467,0,00000000000000000000000000000000000000003d3dfd3ec0000000000040034001800340010001c00140023fc003c0000000000000000000000000033333c003ffffc00000160b0582e32a052ac503c52ac503c52ac503c52ac503ca3edd29c9624c2e56b95749cb59070f9,b59070f9,6b95749c,9624c2e5,a3edd29c,52ac503c,52ac503c,52ac503c,52ac503c,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0582c160b,0,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,0,0,0,f,f,0008,0005,0007,0004,000d,0006,000d,0001,00,00,00,00,fb,f4,f7,f4,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
