Sample in Buffer,Sample in Window,TRIGGER,ila_data[865:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb011d578f811d578f811d578f811d578f85db63b839f263f83ddbe3ba3dcb63ba3,dcb63ba3,ddbe3ba3,9f263f83,5db63b83,11d578f8,11d578f8,11d578f8,11d578f8,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
1,1,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb0c5e63e8bc5e63e8bc5e63e8bc5e63e8b9e4cedc69e4cedc69e4cedc69e4cedc6,9e4cedc6,9e4cedc6,9e4cedc6,9e4cedc6,c5e63e8b,c5e63e8b,c5e63e8b,c5e63e8b,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
2,2,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e2ba0b10f2f3fb10f2f3fb10f2f3fb10f2f3f99d36a3299d36a3299d36a3299d36a32,99d36a32,99d36a32,99d36a32,99d36a32,b10f2f3f,b10f2f3f,b10f2f3f,b10f2f3f,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
3,3,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22a070266a4370266a4370266a4370266a433eed2e2f3eed2e2f3eed2e2f3eed2e2f,3eed2e2f,3eed2e2f,3eed2e2f,3eed2e2f,70266a43,70266a43,70266a43,70266a43,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
4,4,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582f22a0e56175efe56175efe56175efe56175efd9a857d5d9a857d5d9a857d5d9a857d5,d9a857d5,d9a857d5,d9a857d5,d9a857d5,e56175ef,e56175ef,e56175ef,e56175ef,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
5,5,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb04a03ccdc4a03ccdc4a03ccdc4a03ccdc967998b0d4799cb0967198b0967998b0,967998b0,967198b0,d4799cb0,967998b0,4a03ccdc,4a03ccdc,4a03ccdc,4a03ccdc,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
6,6,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582fbbb0bdebd96fbdebd96fbdebd96fbdebd96fd975debed975debed975debed975debe,d975debe,d975debe,d975debe,d975debe,bdebd96f,bdebd96f,bdebd96f,bdebd96f,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
7,7,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e2ba02d7d2ff12d7d2ff12d7d2ff12d7d2ff1eb6a29ebeb6a29ebeb6a29ebeb6a29eb,eb6a29eb,eb6a29eb,eb6a29eb,eb6a29eb,2d7d2ff1,2d7d2ff1,2d7d2ff1,2d7d2ff1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
8,8,0,00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00020160b0582e22a06c4438286c4438286c4438286c443828df963c3cdf963c3cdf963c3cdf963c3c,df963c3c,df963c3c,df963c3c,df963c3c,6c443828,6c443828,6c443828,6c443828,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0582c160b,8,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00
