Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000003cd6fcd768d6fcd74c50bd1e54a00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf533ba58d533ba58d533ba58d533ba58d344f1430344f1430344f1430344f1430,344f1430,344f1430,344f1430,344f1430,533ba58d,533ba58d,533ba58d,533ba58d,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f479528,35d3,35bf,35da,35bf,f,0,0,00000,00000
1,1,0,0000000000003cd6fcd768d6fcd74c50bd1e54a40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf286081fd286081fd286081fd286081fd2470be572470be572470be572470be57,2470be57,2470be57,2470be57,2470be57,286081fd,286081fd,286081fd,286081fd,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f479529,35d3,35bf,35da,35bf,f,0,0,00000,00000
2,2,0,0000000000003cd6fcd768d6fcd74c50bd1e54a80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf7cae689e7cae689e7cae689e7cae689ee9637b5be9637b5be9637b5be9637b5b,e9637b5b,e9637b5b,e9637b5b,e9637b5b,7cae689e,7cae689e,7cae689e,7cae689e,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952a,35d3,35bf,35da,35bf,f,0,0,00000,00000
3,3,0,0000000000003cd6fcd768d6fcd74c50bd1e54ac0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebff6b648e1f6b648e1f6b648e1f6b648e1207f54ce207f54ce207f54ce207f54ce,207f54ce,207f54ce,207f54ce,207f54ce,f6b648e1,f6b648e1,f6b648e1,f6b648e1,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952b,35d3,35bf,35da,35bf,f,0,0,00000,00000
4,4,0,0000000000003cd6fcd768d6fcd74c50bd1e54b00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfa99dd2c6a99dd2c6a99dd2c6a99dd2c69a278a189a278a189a278a189a278a18,9a278a18,9a278a18,9a278a18,9a278a18,a99dd2c6,a99dd2c6,a99dd2c6,a99dd2c6,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952c,35d3,35bf,35da,35bf,f,0,0,00000,00000
5,5,0,0000000000003cd6fcd768d6fcd74c50bd1e54b40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf143040fe143040fe143040fe143040fe92385f2b92385f2b92385f2b92385f2b,92385f2b,92385f2b,92385f2b,92385f2b,143040fe,143040fe,143040fe,143040fe,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952d,35d3,35bf,35da,35bf,f,0,0,00000,00000
6,6,0,0000000000003cd6fcd768d6fcd74c50bd1e54b80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebfbe57344fbe57344fbe57344fbe57344f74b1bdad74b1bdad74b1bdad74b1bdad,74b1bdad,74b1bdad,74b1bdad,74b1bdad,be57344f,be57344f,be57344f,be57344f,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952e,35d3,35bf,35da,35bf,f,0,0,00000,00000
7,7,0,0000000000003cd6fcd768d6fcd74c50bd1e54bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf7b5b24707b5b24707b5b24707b5b2470103faa67103faa67103faa67103faa67,103faa67,103faa67,103faa67,103faa67,7b5b2470,7b5b2470,7b5b2470,7b5b2470,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f47952f,35d3,35bf,35da,35bf,f,0,0,00000,00000
8,8,0,0000000000003cd6fcd768d6fcd74c50bd1e54c00000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf54cee96354cee96354cee96354cee963cd13c50ccd13c50ccd13c50ccd13c50c,cd13c50c,cd13c50c,cd13c50c,cd13c50c,54cee963,54cee963,54cee963,54cee963,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,142f479530,35d3,35bf,35da,35bf,f,0,0,00000,00000
