Sample in Buffer,Sample in Window,TRIGGER,ila_data[617:0],receiver_0[31:0],userdata_rx_0[31:0],receiver_1[31:0],userdata_rx_1[31:0],userdata_rx_2[31:0],receiver_2[31:0],userdata_rx_3[31:0],receiver_3[31:0],userdata_tx_0[31:0],transmitter_0[31:0],userdata_tx_1[31:0],transmitter_1[31:0],userdata_tx_2[31:0],transmitter_2[31:0],transmitter_3[31:0],userdata_tx_3[31:0],prbs_match_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
584,584,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f32a3d69732a3d69732a3d69732a3d6975242b0733ce655ac5242b0733ce655ac,3ce655ac,3ce655ac,5242b073,5242b073,3ce655ac,3ce655ac,5242b073,5242b073,32a3d697,32a3d697,32a3d697,32a3d697,32a3d697,32a3d697,32a3d697,32a3d697,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
585,585,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f974975f4974975f4974975f4974975f47d57318ede81a9d97d57318ede81a9d9,de81a9d9,de81a9d9,7d57318e,7d57318e,de81a9d9,de81a9d9,7d57318e,7d57318e,974975f4,974975f4,974975f4,974975f4,974975f4,974975f4,974975f4,974975f4,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
586,586,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb84764d0b84764d0b84764d0b84764d01903bcee0c764fd81903bcee0c764fd8,0c764fd8,0c764fd8,1903bcee,1903bcee,0c764fd8,0c764fd8,1903bcee,1903bcee,b84764d0,b84764d0,b84764d0,b84764d0,b84764d0,b84764d0,b84764d0,b84764d0,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
587,587,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f2d1f83412d1f83412d1f83412d1f83412b08e60508f0355e2b08e60508f0355e,08f0355e,08f0355e,2b08e605,2b08e605,08f0355e,08f0355e,2b08e605,2b08e605,2d1f8341,2d1f8341,2d1f8341,2d1f8341,2d1f8341,2d1f8341,2d1f8341,2d1f8341,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
588,588,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f937758c9937758c9937758c993775cc9da1ff584d1f7ebcfdb1ff584d1f7ebcf,d1f7ebcf,d1f7ebcf,db1ff584,db1ff584,d1f7ebcf,d1f7ebcf,da1ff584,da1ff584,93775cc9,93775cc9,937758c9,937758c9,937758c9,937758c9,937758c9,937758c9,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
589,589,0,2b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fa71faeb0a71faeb0a71faeb0a71faeb0a131f592e1a9328ba131f592e1a9328b,e1a9328b,e1a9328b,a131f592,a131f592,e1a9328b,e1a9328b,a131f592,a131f592,a71faeb0,a71faeb0,a71faeb0,a71faeb0,a71faeb0,a71faeb0,a71faeb0,a71faeb0,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,0,1
590,590,0,2a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fd559321dd559321dd559321dd559321d452ad465cc2fa35f452ad465cc2fa35f,cc2fa35f,cc2fa35f,452ad465,452ad465,cc2fa35f,cc2fa35f,452ad465,452ad465,d559321d,d559321d,d559321d,d559321d,d559321d,d559321d,d559321d,d559321d,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,0,1
591,591,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000fb72c531db72c531db72c531db72c531d9d82eda0df1904399d82eda0df190439,df190439,df190439,9d82eda0,9d82eda0,df190439,df190439,9d82eda0,9d82eda0,b72c531d,b72c531d,b72c531d,b72c531d,b72c531d,b72c531d,b72c531d,b72c531d,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
592,592,0,3a0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f1053c0ec1053c0ec1053c0ec1053c0ec6284dae7c2a20b5b6284dae7c2a20b5b,c2a20b5b,c2a20b5b,6284dae7,6284dae7,c2a20b5b,c2a20b5b,6284dae7,6284dae7,1053c0ec,1053c0ec,1053c0ec,1053c0ec,1053c0ec,1053c0ec,1053c0ec,1053c0ec,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,0,1,0,1,1,1
593,593,0,3b0000000000000000000000000000000000000000f0f0f0f00000000000000000000000000000000000000000f43f9dbf103f9dbf10bf9dbf103f9dff13118a5077ab187137108a6077eb5a713,7eb5a713,7eb5a713,7108a607,7108a607,7ab18713,7ab18713,3118a507,3118a507,03f9dff1,03f9dff1,0bf9dbf1,0bf9dbf1,03f9dbf1,03f9dbf1,43f9dbf1,43f9dbf1,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,1,1,0,1,1,1
