Sample in Buffer,Sample in Window,TRIGGER,ila_data[969:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,gtwiz_userclk_tx_reset_int,gtwiz_userclk_tx_usrclk_int,gtwiz_userclk_tx_usrclk2_int,gtwiz_userclk_tx_active_int,gtwiz_userclk_rx_reset_int,gtwiz_userclk_rx_usrclk_int,gtwiz_userclk_rx_usrclk2_int,gtwiz_userclk_rx_active_int,drpaddr_int[35:0],drpclk_int[3:0],drpdi_int[3:0],drpen_int[3:0],drpwe_int[3:0],eyescanreset_int[3:0],rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],rxrate_int[11:0],tx8b10ben_int[3:0],txdiffctrl_int[15:0],txpostcursor_int[19:0],txprecursor_int[19:0],drpdo_int[63:0],drprdy_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
633,633,0,2ba7ac87a591e5e2cc5bae661000000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2a0503c54ce503c54ce503c54ce503c54ce0a9fb0c32accb0c32accb0c345b8b0c3,45b8b0c3,2accb0c3,2accb0c3,0a9fb0c3,503c54ce,503c54ce,503c54ce,503c54ce,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99840,978b,9647,b21e,ae9e
634,634,0,2ba9ac89a593e5e4cc5bae661200000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0503caa67503caa67503caa67503caa67f586b0c33dd3b0c33dd3b0c36f74b0c3,6f74b0c3,3dd3b0c3,3dd3b0c3,f586b0c3,503caa67,503caa67,503caa67,503caa67,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99848,9793,964f,b226,aea6
635,635,0,2bab6c8b6595a5e68c5bae6613c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ab0503cd533503cd533503cd533503cd533eab3b0c3f189b0c3f189b0c3d74ab0c3,d74ab0c3,f189b0c3,f189b0c3,eab3b0c3,503cd533,503cd533,503cd533,503cd533,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9984f,979a,9656,b22d,aead
636,636,0,2bad6c8d6597a5e88c5bae6615c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0503cea99503cea99503cea99503cea99e559b0c377b4b0c377b4b0c31b25b0c3,1b25b0c3,77b4b0c3,77b4b0c3,e559b0c3,503cea99,503cea99,503cea99,503cea99,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99857,97a2,965e,b235,aeb5
637,637,0,2baf6c8f6599a5ea8c5bae6617c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3a0503cee96503cee96503cee96503cfe96fdacb0c3db5ab0c3db5ab0c392f2b0c3,92f2b0c3,db5ab0c3,db5ab0c3,fdacb0c3,503cfe96,503cee96,503cee96,503cee96,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9985f,97aa,9666,b23d,aebd
638,638,0,2bb12c91259b65ec4c5bae6619c0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa2b0503c774b503c774b503c774b503c774b9d3cb0c3b9adb0c39d2db0c339e9b0c3,39e9b0c3,9d2db0c3,b9adb0c3,9d3cb0c3,503c774b,503c774b,503c774b,503c774b,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99867,97b1,966d,b244,aec4
639,639,0,2bb32c93259d65ee4c5bae661bc0000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fbab0503c3ba5503c3ba5503c3ba5503c3ba531f6b0c37c7bb0c37c7bb0c3bbc4b0c3,bbc4b0c3,7c7bb0c3,7c7bb0c3,31f6b0c3,503c3ba5,503c3ba5,503c3ba5,503c3ba5,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9986f,97b9,9675,b24c,aecc
640,640,0,2bb4ec94e59f25f00c5bae661d80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3bb0503c9dd2503c9dd2503c9dd2503c9dd2676bb0c34e5db0c34e5db0c3528db0c3,528db0c3,4e5db0c3,4e5db0c3,676bb0c3,503c9dd2,503c9dd2,503c9dd2,503c9dd2,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99876,97c0,967c,b253,aed3
641,641,0,2bb6ec96e5a125f20c5bae661f80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582e3ba0503ccee9503ccee9503ccee9503ccee9cc45b0c3b83eb0c3b83eb0c32936b0c3,2936b0c3,b83eb0c3,b83eb0c3,cc45b0c3,503ccee9,503ccee9,503ccee9,503ccee9,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb9987e,97c8,9684,b25b,aedb
642,642,0,2bb8ec98e5a325f40c5bae662180000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fc0000000000000000000000000033333c003ffffc00030160b0582fa3a0503cb1bd503cb1bd503cb1bd503cb1bd863db0c3d36fb0c3d36fb0c37464b0c3,7464b0c3,d36fb0c3,d36fb0c3,863db0c3,503cb1bd,503cb1bd,503cb1bd,503cb1bd,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0582c160b,c,0,0,0,0,f,f,f,f,f,000,f,cccc,00000,00000,0000000000000000,0,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,316eb99886,97d0,968c,b263,aee3
