Sample in Buffer,Sample in Window,TRIGGER,ila_data[717:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c2603c94c2603c94c2603c94c2603c94bf603c94bf603c94bf603c94bf603c,94bf603c,94bf603c,94bf603c,94bf603c,94c2603c,94c2603c,94c2603c,94c2603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
1,1,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c3603c94c3603c94c3603c94c3603c94c0603c94c0603c94c0603c94c0603c,94c0603c,94c0603c,94c0603c,94c0603c,94c3603c,94c3603c,94c3603c,94c3603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
2,2,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c4603c94c4603c94c4603c94c4603c94c1603c94c1603c94c1603c94c1603c,94c1603c,94c1603c,94c1603c,94c1603c,94c4603c,94c4603c,94c4603c,94c4603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
3,3,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c5603c94c5603c94c5603c94c5603c94c2603c94c2603c94c2603c94c2603c,94c2603c,94c2603c,94c2603c,94c2603c,94c5603c,94c5603c,94c5603c,94c5603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
4,4,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c6603c94c6603c94c6603c94c6603c94c3603c94c3603c94c3603c94c3603c,94c3603c,94c3603c,94c3603c,94c3603c,94c6603c,94c6603c,94c6603c,94c6603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
5,5,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094c7603c94c7603c94c7603c94c7603c94c4603c94c4603c94c4603c94c4603c,94c4603c,94c4603c,94c4603c,94c4603c,94c7603c,94c7603c,94c7603c,94c7603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
6,6,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c8603c94c8603c94c8603c94c8603c94c5603c94c5603c94c5603c94c5603c,94c5603c,94c5603c,94c5603c,94c5603c,94c8603c,94c8603c,94c8603c,94c8603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
7,7,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094c9603c94c9603c94c9603c94c9603c94c6603c94c6603c94c6603c94c6603c,94c6603c,94c6603c,94c6603c,94c6603c,94c9603c,94c9603c,94c9603c,94c9603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
8,8,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ca603c94ca603c94ca603c94ca603c94c7603c94c7603c94c7603c94c7603c,94c7603c,94c7603c,94c7603c,94c7603c,94ca603c,94ca603c,94ca603c,94ca603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
9,9,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094cb603c94cb603c94cb603c94cb603c94c8603c94c8603c94c8603c94c8603c,94c8603c,94c8603c,94c8603c,94c8603c,94cb603c,94cb603c,94cb603c,94cb603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
10,10,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094cc603c94cc603c94cc603c94cc603c94c9603c94c9603c94c9603c94c9603c,94c9603c,94c9603c,94c9603c,94c9603c,94cc603c,94cc603c,94cc603c,94cc603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
11,11,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094cd603c94cd603c94cd603c94cd603c94ca603c94ca603c94ca603c94ca603c,94ca603c,94ca603c,94ca603c,94ca603c,94cd603c,94cd603c,94cd603c,94cd603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
12,12,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094ce603c94ce603c94ce603c94ce603c94cb603c94cb603c94cb603c94cb603c,94cb603c,94cb603c,94cb603c,94cb603c,94ce603c,94ce603c,94ce603c,94ce603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
13,13,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094cf603c94cf603c94cf603c94cf603c94cc603c94cc603c94cc603c94cc603c,94cc603c,94cc603c,94cc603c,94cc603c,94cf603c,94cf603c,94cf603c,94cf603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
14,14,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d0603c94d0603c94d0603c94d0603c94cd603c94cd603c94cd603c94cd603c,94cd603c,94cd603c,94cd603c,94cd603c,94d0603c,94d0603c,94d0603c,94d0603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
15,15,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d1603c94d1603c94d1603c94d1603c94ce603c94ce603c94ce603c94ce603c,94ce603c,94ce603c,94ce603c,94ce603c,94d1603c,94d1603c,94d1603c,94d1603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
16,16,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094d2603c94d2603c94d2603c94d2603c94cf603c94cf603c94cf603c94cf603c,94cf603c,94cf603c,94cf603c,94cf603c,94d2603c,94d2603c,94d2603c,94d2603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
17,17,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094d3603c94d3603c94d3603c94d3603c94d0603c94d0603c94d0603c94d0603c,94d0603c,94d0603c,94d0603c,94d0603c,94d3603c,94d3603c,94d3603c,94d3603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
18,18,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d4603c94d4603c94d4603c94d4603c94d1603c94d1603c94d1603c94d1603c,94d1603c,94d1603c,94d1603c,94d1603c,94d4603c,94d4603c,94d4603c,94d4603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
19,19,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d5603c94d5603c94d5603c94d5603c94d2603c94d2603c94d2603c94d2603c,94d2603c,94d2603c,94d2603c,94d2603c,94d5603c,94d5603c,94d5603c,94d5603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
20,20,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d6603c94d6603c94d6603c94d6603c94d3603c94d3603c94d3603c94d3603c,94d3603c,94d3603c,94d3603c,94d3603c,94d6603c,94d6603c,94d6603c,94d6603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
21,21,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094d7603c94d7603c94d7603c94d7603c94d4603c94d4603c94d4603c94d4603c,94d4603c,94d4603c,94d4603c,94d4603c,94d7603c,94d7603c,94d7603c,94d7603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
22,22,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094d8603c94d8603c94d8603c94d8603c94d5603c94d5603c94d5603c94d5603c,94d5603c,94d5603c,94d5603c,94d5603c,94d8603c,94d8603c,94d8603c,94d8603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
23,23,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094d9603c94d9603c94d9603c94d9603c94d6603c94d6603c94d6603c94d6603c,94d6603c,94d6603c,94d6603c,94d6603c,94d9603c,94d9603c,94d9603c,94d9603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
24,24,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094da603c94da603c94da603c94da603c94d7603c94d7603c94d7603c94d7603c,94d7603c,94d7603c,94d7603c,94d7603c,94da603c,94da603c,94da603c,94da603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
25,25,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094db603c94db603c94db603c94db603c94d8603c94d8603c94d8603c94d8603c,94d8603c,94d8603c,94d8603c,94d8603c,94db603c,94db603c,94db603c,94db603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
26,26,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094dc603c94dc603c94dc603c94dc603c94d9603c94d9603c94d9603c94d9603c,94d9603c,94d9603c,94d9603c,94d9603c,94dc603c,94dc603c,94dc603c,94dc603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
27,27,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094dd603c94dd603c94dd603c94dd603c94da603c94da603c94da603c94da603c,94da603c,94da603c,94da603c,94da603c,94dd603c,94dd603c,94dd603c,94dd603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
28,28,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094de603c94de603c94de603c94de603c94db603c94db603c94db603c94db603c,94db603c,94db603c,94db603c,94db603c,94de603c,94de603c,94de603c,94de603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
29,29,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094df603c94df603c94df603c94df603c94dc603c94dc603c94dc603c94dc603c,94dc603c,94dc603c,94dc603c,94dc603c,94df603c,94df603c,94df603c,94df603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
30,30,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e0603c94e0603c94e0603c94e0603c94dd603c94dd603c94dd603c94dd603c,94dd603c,94dd603c,94dd603c,94dd603c,94e0603c,94e0603c,94e0603c,94e0603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
31,31,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094e1603c94e1603c94e1603c94e1603c94de603c94de603c94de603c94de603c,94de603c,94de603c,94de603c,94de603c,94e1603c,94e1603c,94e1603c,94e1603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
32,32,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094e2603c94e2603c94e2603c94e2603c94df603c94df603c94df603c94df603c,94df603c,94df603c,94df603c,94df603c,94e2603c,94e2603c,94e2603c,94e2603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
33,33,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e3603c94e3603c94e3603c94e3603c94e0603c94e0603c94e0603c94e0603c,94e0603c,94e0603c,94e0603c,94e0603c,94e3603c,94e3603c,94e3603c,94e3603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
34,34,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e4603c94e4603c94e4603c94e4603c94e1603c94e1603c94e1603c94e1603c,94e1603c,94e1603c,94e1603c,94e1603c,94e4603c,94e4603c,94e4603c,94e4603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
35,35,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e5603c94e5603c94e5603c94e5603c94e2603c94e2603c94e2603c94e2603c,94e2603c,94e2603c,94e2603c,94e2603c,94e5603c,94e5603c,94e5603c,94e5603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
36,36,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094e6603c94e6603c94e6603c94e6603c94e3603c94e3603c94e3603c94e3603c,94e3603c,94e3603c,94e3603c,94e3603c,94e6603c,94e6603c,94e6603c,94e6603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
37,37,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094e7603c94e7603c94e7603c94e7603c94e4603c94e4603c94e4603c94e4603c,94e4603c,94e4603c,94e4603c,94e4603c,94e7603c,94e7603c,94e7603c,94e7603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
38,38,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e8603c94e8603c94e8603c94e8603c94e5603c94e5603c94e5603c94e5603c,94e5603c,94e5603c,94e5603c,94e5603c,94e8603c,94e8603c,94e8603c,94e8603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
39,39,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094e9603c94e9603c94e9603c94e9603c94e6603c94e6603c94e6603c94e6603c,94e6603c,94e6603c,94e6603c,94e6603c,94e9603c,94e9603c,94e9603c,94e9603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
40,40,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ea603c94ea603c94ea603c94ea603c94e7603c94e7603c94e7603c94e7603c,94e7603c,94e7603c,94e7603c,94e7603c,94ea603c,94ea603c,94ea603c,94ea603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
41,41,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094eb603c94eb603c94eb603c94eb603c94e8603c94e8603c94e8603c94e8603c,94e8603c,94e8603c,94e8603c,94e8603c,94eb603c,94eb603c,94eb603c,94eb603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
42,42,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094ec603c94ec603c94ec603c94ec603c94e9603c94e9603c94e9603c94e9603c,94e9603c,94e9603c,94e9603c,94e9603c,94ec603c,94ec603c,94ec603c,94ec603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
43,43,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ed603c94ed603c94ed603c94ed603c94ea603c94ea603c94ea603c94ea603c,94ea603c,94ea603c,94ea603c,94ea603c,94ed603c,94ed603c,94ed603c,94ed603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
44,44,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ee603c94ee603c94ee603c94ee603c94eb603c94eb603c94eb603c94eb603c,94eb603c,94eb603c,94eb603c,94eb603c,94ee603c,94ee603c,94ee603c,94ee603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
45,45,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeb094ef603c94ef603c94ef603c94ef603c94ec603c94ec603c94ec603c94ec603c,94ec603c,94ec603c,94ec603c,94ec603c,94ef603c,94ef603c,94ef603c,94ef603c,0,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
46,46,0,000000000000080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffa094f0603c94f0603c94f0603c94f0603c94ed603c94ed603c94ed603c94ed603c,94ed603c,94ed603c,94ed603c,94ed603c,94f0603c,94f0603c,94f0603c,94f0603c,0,0,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,2,0,0,00000,00000
