Sample in Buffer,Sample in Window,TRIGGER,ila_data[821:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int,rx8b10ben_int[3:0],rxcommadeten_int[3:0],rxlpmen_int[3:0],rxmcommaalignen_int[3:0],rxpcommaalignen_int[3:0],tx8b10ben_int[3:0],gtpowergood_int[3:0],rxbyteisaligned_int[3:0],rxbyterealign_int[3:0],rxcommadet_int[3:0],rxpmaresetdone_int[3:0],txpmaresetdone_int[3:0],ch0_rxctrl0_int[15:0],ch1_rxctrl0_int[15:0],ch2_rxctrl0_int[15:0],ch3_rxctrl0_int[15:0],ch0_rxctrl1_int[15:0],ch1_rxctrl1_int[15:0],ch2_rxctrl1_int[15:0],ch3_rxctrl1_int[15:0],ch0_rxctrl2_int[7:0],ch1_rxctrl2_int[7:0],ch2_rxctrl2_int[7:0],ch3_rxctrl2_int[7:0],ch0_rxctrl3_int[7:0],ch1_rxctrl3_int[7:0],ch2_rxctrl3_int[7:0],ch3_rxctrl3_int[7:0],ch0_txctrl0_int[15:0],ch1_txctrl0_int[15:0],ch2_txctrl0_int[15:0],ch3_txctrl0_int[15:0],ch0_txctrl1_int[15:0],ch1_txctrl1_int[15:0],ch2_txctrl1_int[15:0],ch3_txctrl1_int[15:0],ch0_txctrl2_int[7:0],ch1_txctrl2_int[7:0],ch2_txctrl2_int[7:0],ch3_txctrl2_int[7:0],hb0_rxdata_nml_ctr[39:0],ch0_rxdata_err_ctr[15:0],ch1_rxdata_err_ctr[15:0],ch2_rxdata_err_ctr[15:0],ch3_rxdata_err_ctr[15:0],rxchanisaligned_int[3:0],rxchanrealign_int[3:0],rxchanbondseq_int[3:0],rxchbondi_int[19:0],rxchbondo_int[19:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
781,781,0,000000000000092fcd2fcd2fcd2fcc0472ddaf880000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbf13c50c101fc5041012c50c1012c71cc56b648e176b648e176b648e176b648e17,6b648e17,6b648e17,6b648e17,6b648e17,12c71cc5,12c50c10,1fc50410,13c50c10,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76be2,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
782,782,0,000000000000092fcd2fcd2fcd2fcc0472ddafa80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf44f1430444f1430444f1430444f14304dad92385dad92385dad92385dad92385,dad92385,dad92385,dad92385,dad92385,44f14304,44f14304,44f14304,44f14304,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76bea,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
783,783,0,000000000000092fcd2fcd2fcd2fcc0472ddafc80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafd13c50c1d13c50c1d13c50c1d13c50c1f6b648e1f6b648e1f6b648e1f6b648e1,f6b648e1,f6b648e1,f6b648e1,f6b648e1,d13c50c1,d13c50c1,d13c50c1,d13c50c1,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76bf2,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
784,784,0,000000000000092fcd2fcd2fcd2fcc0472ddafe80000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf344f1430344f1430344f1430344f1430bdad9238bdad9238bdad9238bdad9238,bdad9238,bdad9238,bdad9238,bdad9238,344f1430,344f1430,344f1430,344f1430,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76bfa,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
785,785,0,000000000000092fcd2fcd2fcd2fcc0472ddb0080000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbfcd13c50ccd13c50ccd13c50ccd13c50c17cae68917cae68917cae68917cae689,17cae689,17cae689,17cae689,17cae689,cd13c50c,cd13c50c,cd13c50c,cd13c50c,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c02,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
786,786,0,000000000000092fcd2fcd2fcd2fcc0472ddb0240000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbf044fe899040fe299450fea99250dfa4b85f2b9a285f2b9a285f2b9a285f2b9a2,85f2b9a2,85f2b9a2,85f2b9a2,85f2b9a2,250dfa4b,450fea99,040fe299,044fe899,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c09,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
787,787,0,000000000000092fcd2fcd2fcd2fcc0472ddb0440000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeafc103faa6c103faa6c103faa6c103faa6e17cae68e17cae68e17cae68e17cae68,e17cae68,e17cae68,e17cae68,e17cae68,c103faa6,c103faa6,c103faa6,c103faa6,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c11,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
788,788,0,000000000000092fcd2fcd2fcd2fcc0472ddb0640000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffeaf3040fea93040fea93040fea93040fea9385f2b9a385f2b9a385f2b9a385f2b9a,385f2b9a,385f2b9a,385f2b9a,385f2b9a,3040fea9,3040fea9,3040fea9,3040fea9,f,0,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c19,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
789,789,0,000000000000092fcd2fcd2fcd2fcc0472ddb0840000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03fffffffebf0c103faa0c103faa0c103faa0c103faa8e17cae68e17cae68e17cae68e17cae6,8e17cae6,8e17cae6,8e17cae6,8e17cae6,0c103faa,0c103faa,0c103faa,0c103faa,f,1,1,0,1,0,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c21,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
790,790,0,000000000000092fcd2fcd2fcd2fcc0472ddb0a40000000000000000000000000000000000000003c3c3c3c00000000000000000000000000000000000000003fc03ffffffffbf43040fea43040fea43040fea43040feaa278a182a278a182a278a182a278a182,a278a182,a278a182,a278a182,a278a182,43040fea,43040fea,43040fea,43040fea,f,1,1,0,1,1,1,f,f,f,f,f,f,f,f,0,0,f,f,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,f0,f0,f0,f0,0000,0000,0000,0000,0000,0000,0000,0000,00,00,00,00,011cb76c29,4bf3,4bf3,4bf3,4bf3,2,0,0,00000,00000
